Quarter,Time,Down,ToGo,Location,HOU,IND,Detail,EPB,EPA
2,1:25,1,10,HOU 29,12,7,Joe Mixon left tackle for 4 yards (tackle by DeForest Buckner),0.870,0.870
2,0:56,2,6,HOU 33,12,7,C.J. Stroud pass complete short right to Nico Collins for 8 yards (tackle by Jaylon Jones and Kenny Moore),0.870,1.660
2,0:35,1,10,HOU 41,12,7,C.J. Stroud pass complete short right to Dalton Schultz for 5 yards (tackle by E.J. Speed),1.660,1.800
2,0:28,,,,,,Timeout #2 by Houston Texans,,
2,0:28,2,5,HOU 46,12,7,C.J. Stroud pass incomplete deep right intended for Nico Collins,1.800,1.090
2,0:23,3,5,HOU 46,12,7,C.J. Stroud pass complete short middle to Nico Collins for 16 yards (tackle by Jaylon Jones and Nick Cross),1.090,3.050
2,0:18,,,,,,Timeout #3 by Houston Texans,,
2,0:18,1,10,IND 38,12,7,C.J. Stroud pass complete short middle to Dalton Schultz for 7 yards (tackle by Julian Blackmon and E.J. Speed),3.050,3.450
3,15:00,,,IND 35,12,7,Spencer Shrader kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,HOU 30,12,7,Joe Mixon left tackle for no gain (tackle by E.J. Speed),0.940,0.390
3,14:28,2,10,HOU 30,12,7,C.J. Stroud pass complete short right to Stefon Diggs for 10 yards (tackle by Kenny Moore and Julius Brents),0.390,1.600
3,13:52,1,10,HOU 40,12,7,C.J. Stroud pass incomplete short right,1.600,1.050
3,13:41,2,10,HOU 40,12,7,Joe Mixon up the middle for 8 yards (tackle by Julian Blackmon and Julius Brents),1.050,1.420
3,13:15,3,2,HOU 48,12,7,C.J. Stroud pass complete short right to Tank Dell for 11 yards (tackle by Julius Brents),1.420,2.850
3,12:32,1,10,IND 41,12,7,C.J. Stroud pass incomplete deep middle intended for Tank Dell (defended by Jaylon Jones),2.850,2.310
3,12:23,2,10,IND 41,12,7,Joe Mixon left guard for 5 yards (tackle by Julian Blackmon and Zaire Franklin),2.310,2.280
3,11:44,3,5,IND 36,12,7,C.J. Stroud pass complete short right to Dare Ogunbowale for 3 yards (tackle by E.J. Speed),2.280,1.200
3,11:00,4,2,IND 33,15,7,Ka'imi Fairbairn 51 yard field goal good,1.200,3.000
3,10:55,,,HOU 35,15,7,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
3,10:55,1,10,IND 30,15,7,Jonathan Taylor up the middle for 2 yards (tackle by Jalen Pitre),0.940,0.660
3,10:21,2,8,IND 32,15,7,Jonathan Taylor right guard for 5 yards (tackle by Will Anderson),0.660,0.630
3,9:41,3,3,IND 37,15,7,Anthony Richardson sacked by Folorunso Fatukasi for -2 yards,0.630,-1.040
3,9:04,4,5,IND 35,15,7,Rigoberto Sanchez punts 55 yards fair catch by Steven Sims at HOU-10,-1.040,0.380
3,8:55,1,10,HOU 10,15,7,Joe Mixon right tackle for 3 yards (tackle by Julian Blackmon and Tyquan Lewis),-0.380,-0.560
3,8:17,2,7,HOU 13,15,7,C.J. Stroud pass complete short left to Dalton Schultz for no gain (tackle by E.J. Speed). Penalty on Tyquan Lewis: Defensive Offside 5 yards (accepted) (no play),-0.560,0.070
3,8:08,2,2,HOU 18,15,7,Joe Mixon up the middle for 7 yards (tackle by Nick Cross and Julius Brents),0.070,0.610
3,7:23,1,10,HOU 25,15,7,C.J. Stroud pass incomplete deep right intended for Tank Dell,0.610,0.060
3,7:17,2,10,HOU 25,15,7,C.J. Stroud pass complete short right to Xavier Hutchinson for 3 yards (tackle by Kenny Moore and Nick Cross),0.060,-0.230
3,6:35,3,7,HOU 28,15,7,C.J. Stroud sacked by and DeForest Buckner for -10 yards and Dayo Odeyingbo for -10 yards,-0.230,-2.240
3,5:49,4,17,HOU 18,15,7,blocked by Segun Olubi,-2.240,-6.060
3,5:43,1,5,HOU 5,15,13,Jonathan Taylor up the middle for 5 yards touchdown,6.060,7.000
3,5:40,,,HOU 2,15,13,Two Point Attempt: Jonathan Taylor rushes conversion fails.,1.000,-1.000
3,5:40,,,IND 35,15,13,Spencer Shrader kicks off 65 yards touchback.,0.000,0.940
3,5:40,1,10,HOU 30,15,13,C.J. Stroud pass incomplete short left intended for Brevin Jordan,0.940,0.390
3,5:36,2,10,HOU 30,15,13,Joe Mixon left end for 13 yards (tackle by Nick Cross),0.390,1.800
3,4:49,1,10,HOU 43,15,13,Joe Mixon left tackle for 4 yards (tackle by Julian Blackmon),1.800,1.790
3,4:16,2,6,HOU 47,15,13,C.J. Stroud pass complete short left to Nico Collins for 7 yards (tackle by Jaylon Jones),1.790,2.520
3,3:29,1,10,IND 46,15,13,Tank Dell right end for 2 yards (tackle by E.J. Speed). Penalty on Nico Collins: Offensive Holding 10 yards (accepted),2.520,1.990
3,3:03,1,18,HOU 46,15,13,Joe Mixon left guard for 3 yards (tackle by Julian Blackmon),1.990,1.300
3,2:21,2,15,HOU 49,15,13,C.J. Stroud pass complete short left to Joe Mixon for 1 yard (tackle by DeForest Buckner),1.300,0.760
3,1:40,3,14,HOU 50,15,13,C.J. Stroud pass complete short middle to Nico Collins for 19 yards (tackle by Julian Blackmon),0.760,3.510
3,0:49,1,10,IND 31,15,13,Joe Mixon left end for 8 yards (tackle by Nick Cross),3.510,4.050
3,0:07,2,2,IND 23,15,13,Joe Mixon right tackle for 10 yards (tackle by Jaylon Jones and Nick Cross). Penalty on Raekwon Davis: Defensive Holding 5 yards (accepted),4.050,5.370
4,15:00,1,8,IND 8,15,13,C.J. Stroud pass complete short left to Stefon Diggs for no gain (tackle by E.J. Speed),5.370,4.570
4,14:50,2,8,IND 8,15,13,Joe Mixon left guard for no gain (tackle by Grover Stewart and Tyquan Lewis),4.570,3.580
4,13:56,3,8,IND 8,15,13,C.J. Stroud pass short right is intercepted by Kenny Moore at IND-3 and returned for no gain (tackle by C.J. Stroud). Penalty on Jaylon Jones: Defensive Holding 5 yards (accepted) (no play),3.580,6.510
4,13:45,1,3,IND 3,21,13,Joe Mixon left end for 3 yards touchdown,6.510,7.000
4,13:41,,,IND 15,22,13,Ka'imi Fairbairn kicks extra point good,0.000,0.000
4,13:41,,,HOU 35,22,13,Ka'imi Fairbairn kicks off 65 yards touchback. touchback.,0.000,0.940
4,13:34,1,10,IND 30,22,13,Anthony Richardson pass incomplete deep left intended for Adonai Mitchell. Penalty on Kamari Lassiter: Illegal Contact 5 yards (accepted) (no play),0.940,1.270
4,13:34,1,10,IND 35,22,13,Anthony Richardson pass incomplete short middle intended for Michael Pittman (defended by Jimmie Ward),1.270,0.720
4,13:30,2,10,IND 35,22,13,Anthony Richardson pass complete short left to Michael Pittman for 8 yards (tackle by Henry To'oTo'o and Kamari Lassiter),0.720,1.090
4,13:07,3,2,IND 43,22,13,Jonathan Taylor up the middle for 3 yards (tackle by Azeez Al-Shaair and Henry To'oTo'o),1.090,1.990
4,12:22,1,10,IND 46,22,19,Anthony Richardson pass complete deep right to Ashton Dulin for 54 yards touchdown,1.990,7.000
4,12:12,,,HOU 15,22,20,Spencer Shrader kicks extra point good,0.000,0.000
4,12:12,,,IND 35,22,20,Spencer Shrader kicks off 65 yards touchback.,0.000,0.940
4,12:12,1,10,HOU 30,22,20,C.J. Stroud pass complete short right to Joe Mixon for 11 yards (tackle by Zaire Franklin),0.940,1.660
4,11:29,1,10,HOU 41,22,20,Joe Mixon left end for 8 yards (tackle by Julian Blackmon),1.660,2.200
4,10:45,2,2,HOU 49,22,20,Tank Dell left end for 17 yards (tackle by Jaylon Jones),2.200,3.310
4,9:56,1,10,IND 34,22,20,Dameon Pierce up the middle for 9 yards (tackle by Nick Cross),3.310,3.990
4,9:15,2,1,IND 25,22,20,Dameon Pierce right end for 3 yards (tackle by Zaire Franklin),3.990,4.110
4,8:31,1,10,IND 22,22,20,C.J. Stroud pass complete short left to Tank Dell for 6 yards (tackle by Julius Brents),4.110,4.460
4,7:48,2,4,IND 16,22,20,Joe Mixon left end for 7 yards (tackle by Jaylon Jones),4.460,5.140
4,7:04,1,9,IND 9,22,20,Joe Mixon left tackle for 7 yards (tackle by Nick Cross and Julian Blackmon),5.140,5.720
4,6:22,,,,,,Timeout #1 by Houston Texans,,
4,6:22,2,2,IND 2,22,20,Joe Mixon up the middle for -2 yards (tackle by Jaylon Jones),5.720,4.490
4,5:38,3,4,IND 4,22,20,C.J. Stroud scrambles up the middle for 2 yards (tackle by Zaire Franklin),4.490,3.250
4,4:45,4,2,IND 2,28,20,C.J. Stroud pass complete short left to Stefon Diggs for 2 yards touchdown,3.250,7.000
4,4:42,,,IND 15,29,20,Ka'imi Fairbairn kicks extra point good,0.000,0.000
4,4:42,,,HOU 35,29,20,Ka'imi Fairbairn kicks off 59 yards returned by Anthony Gould for 26 yards (tackle by Myles Bryant),0.000,1.070
4,4:36,1,10,IND 32,29,20,Anthony Richardson pass incomplete deep right intended for Adonai Mitchell,1.070,0.530
4,4:31,2,10,IND 32,29,20,Anthony Richardson pass incomplete short right intended for Michael Pittman (defended by Danielle Hunter),0.530,-0.160
4,4:26,3,10,IND 32,29,20,Penalty on Anthony Richardson: False Start 5 yards (accepted) (no play),-0.160,-0.820
4,4:26,3,15,IND 27,29,20,Anthony Richardson pass complete deep middle to Alec Pierce for 57 yards (tackle by Jimmie Ward),-0.820,4.510
4,3:49,1,10,HOU 16,29,20,Anthony Richardson scrambles left end for 10 yards (tackle by Mario Edwards),4.510,5.830
4,3:23,1,6,HOU 6,29,20,Anthony Richardson pass incomplete short middle intended for Mo Alie-Cox (defended by Henry To'oTo'o),5.830,4.950
4,3:21,2,6,HOU 6,29,20,Jonathan Taylor up the middle for 5 yards (tackle by Azeez Al-Shaair and Calen Bullock),4.950,5.170
4,3:00,3,1,HOU 1,29,20,Jonathan Taylor up the middle for -2 yards (tackle by Derek Stingley),5.170,3.040
4,2:20,4,3,HOU 3,29,26,Anthony Richardson scrambles right end for 3 yards touchdown,3.040,7.000
4,2:14,,,HOU 15,29,27,Spencer Shrader kicks extra point good,0.000,0.000
4,2:14,,,IND 35,29,27,Spencer Shrader kicks off 65 yards touchback.,0.000,0.940
4,2:14,1,10,HOU 30,29,27,Joe Mixon left end for no gain (tackle by Tyquan Lewis),0.940,0.390
4,2:09,,,,,,Timeout #1 by Indianapolis Colts,,
4,2:09,2,10,HOU 30,29,27,Joe Mixon right end for 4 yards (tackle by DeForest Buckner and Grover Stewart),0.390,0.230
4,2:00,3,6,HOU 34,29,27,Penalty on Kenyon Green: False Start 5 yards (accepted) (no play),0.230,-0.430
4,2:00,3,11,HOU 29,29,27,C.J. Stroud pass complete short right to Nico Collins for 12 yards,-0.430,1.660
4,1:56,1,10,HOU 41,29,27,Joe Mixon up the middle for 4 yards (tackle by Tyquan Lewis),1.660,1.660
4,1:52,,,,,,Timeout #2 by Indianapolis Colts,,
4,1:52,2,6,HOU 45,29,27,Joe Mixon left end for 3 yards (tackle by Zaire Franklin),1.660,1.360
4,1:48,,,,,,Timeout #3 by Indianapolis Colts,,
4,1:48,3,3,HOU 48,29,27,Joe Mixon right tackle for 9 yards (tackle by Nick Cross),1.360,2.720
4,1:01,,,,,,Timeout #2 by Houston Texans,,
4,1:01,1,10,IND 43,29,27,C.J. Stroud kneels for -1 yards,2.720,2.040
4,0:36,2,11,IND 44,29,27,C.J. Stroud kneels for -1 yards,2.040,1.220
