Quarter,Time,Down,ToGo,Location,GNB,PHI,Detail,EPB,EPA
2,8:47,1,10,GNB 48,12,7,Jalen Hurts right end for 1 yard (tackle by Quay Walker),2.390,1.980
2,8:04,2,9,GNB 47,12,7,Jalen Hurts pass complete short left to DeVonta Smith for 25 yards (tackle by Javon Bullard),1.980,4.110
2,7:19,1,10,GNB 22,12,7,Jalen Hurts pass complete short left to Saquon Barkley for 5 yards (tackle by Quay Walker),4.110,4.290
2,6:40,2,5,GNB 17,12,7,Jalen Hurts right guard for 4 yards (tackle by Edgerrin Cooper and Tedarrell Slaton),4.290,4.390
2,6:08,3,1,GNB 13,12,7,Jalen Hurts up the middle for 2 yards (tackle by Quay Walker),4.390,4.840
2,5:38,1,10,GNB 11,12,13,Saquon Barkley right guard for 11 yards touchdown,4.840,7.000
2,5:34,,,GNB 15,12,14,Jake Elliott kicks extra point good,0.000,0.000
2,5:34,,,PHI 35,12,14,Braden Mann kicks off 65 yards touchback.,0.000,0.940
2,5:34,1,10,GNB 30,12,14,Jordan Love pass incomplete short right intended for Josh Jacobs,0.940,0.390
2,5:29,2,10,GNB 30,12,14,Jordan Love pass incomplete deep left intended for Luke Musgrave (defended by Quinyon Mitchell),0.390,-0.300
2,5:22,3,10,GNB 30,18,14,Jordan Love pass complete deep right to Jayden Reed for 70 yards touchdown,-0.300,7.000
2,5:11,,,PHI 15,18,14,Penalty on Rasheed Walker: False Start 5 yards (accepted) (no play),0.000,0.000
2,5:11,,,PHI 20,19,14,Brayden Narveson kicks extra point good,0.000,0.000
2,5:11,,,GNB 35,19,14,Brayden Narveson kicks off 71 yards returned by Kenneth Gainwell for 29 yards (tackle by Zayne Anderson),0.000,0.480
2,5:06,1,10,PHI 23,19,14,Jalen Hurts pass incomplete short middle intended for A.J. Brown,0.480,-0.070
2,5:01,2,10,PHI 23,19,14,Jalen Hurts pass complete short left to A.J. Brown for 13 yards (tackle by Jaire Alexander),-0.070,1.330
2,4:20,1,10,PHI 36,19,14,Jalen Hurts pass incomplete short right,1.330,0.790
2,4:11,2,10,PHI 36,19,14,Saquon Barkley right end for 3 yards (tackle by Karl Brooks),0.790,0.500
2,3:33,3,7,PHI 39,19,14,Jalen Hurts pass complete short left to Dallas Goedert for 21 yards (tackle by Jaire Alexander),0.500,2.920
2,2:54,1,10,GNB 40,19,14,Saquon Barkley up the middle for 2 yards (tackle by Lukas Van Ness),2.920,2.640
2,2:10,2,8,GNB 38,19,14,Jalen Hurts pass incomplete deep right intended for Johnny Wilson,2.640,1.950
2,2:03,3,8,GNB 38,19,14,Jalen Hurts up the middle for 5 yards (tackle by Rashan Gary and Kenny Clark),1.950,1.190
2,1:59,,,,,,Timeout #1 by Philadelphia Eagles,,
2,1:59,4,3,GNB 33,19,14,Jalen Hurts pass complete short left to DeVonta Smith for 7 yards (tackle by Isaiah McDuffie),1.190,3.840
2,1:24,1,10,GNB 26,19,14,Kenneth Gainwell up the middle for 2 yards (tackle by Kenny Clark),3.840,3.570
2,0:53,2,8,GNB 24,19,14,Jalen Hurts pass complete short left to Kenneth Gainwell for 10 yards (tackle by Xavier McKinney and Quay Walker),3.570,4.650
2,0:43,,,,,,Timeout #2 by Philadelphia Eagles,,
2,0:43,1,10,GNB 14,19,14,Jalen Hurts sacked by Keisean Nixon for -6 yards,4.650,3.280
2,0:31,,,,,,Timeout #3 by Philadelphia Eagles,,
2,0:31,2,16,GNB 20,19,14,Penalty on Dallas Goedert: False Start 5 yards (accepted) (no play),3.280,2.610
2,0:31,2,21,GNB 25,19,14,Jalen Hurts pass complete short left to Dallas Goedert for 5 yards (tackle by Javon Bullard),2.610,2.610
2,0:05,3,16,GNB 20,19,14,Jalen Hurts spiked the ball,2.610,2.120
2,0:04,4,16,GNB 20,19,17,Jake Elliott 38 yard field goal good,2.120,3.000
3,15:00,,,GNB 35,19,17,Brayden Narveson kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,PHI 30,19,17,Saquon Barkley right tackle for 3 yards (tackle by Eric Wilson),0.940,0.800
3,14:22,2,7,PHI 33,19,23,Jalen Hurts pass complete deep right to A.J. Brown for 67 yards touchdown,0.800,7.000
3,14:09,,,GNB 15,19,24,Jake Elliott kicks extra point good,0.000,0.000
3,14:09,,,PHI 35,19,24,Braden Mann kicks off 65 yards touchback.,0.000,0.940
3,14:09,1,10,GNB 30,19,24,Jordan Love pass incomplete deep left,0.940,0.390
3,13:59,2,10,GNB 30,19,24,Josh Jacobs right guard for 5 yards. Josh Jacobs fumbles (forced by Darius Slay) recovered by Bo Melton at GB-39,0.390,0.890
3,13:31,3,1,GNB 39,19,24,Jordan Love pass incomplete short left intended for Bo Melton. Penalty on Quinyon Mitchell: Defensive Pass Interference 15 yards (declined) . Penalty on Zack Baun: Roughing the Passer 16 yards (accepted) (no play),0.890,2.590
3,13:25,1,10,PHI 45,19,24,Jordan Love pass complete short left to Tucker Kraft for 29 yards (tackle by Reed Blankenship),2.590,4.510
3,12:45,1,10,PHI 16,19,24,Josh Jacobs left guard for 1 yard (tackle by Zack Baun and C.J. Gardner-Johnson),4.510,4.050
3,12:06,2,9,PHI 15,19,24,Jordan Love pass incomplete short right intended for Tucker Kraft,4.050,3.220
3,12:01,3,9,PHI 15,19,24,Jordan Love pass incomplete short right intended for Dontayvion Wicks. Penalty on Avonte Maddox: Defensive Pass Interference 13 yards (accepted) (no play),3.220,6.740
3,11:58,1,2,PHI 2,25,24,Jordan Love pass complete short left to Christian Watson for 2 yards touchdown,6.740,7.000
3,11:55,,,PHI 15,26,24,Brayden Narveson kicks extra point good,0.000,0.000
3,11:55,,,GNB 35,26,24,Brayden Narveson kicks off 65 yards touchback.,0.000,0.940
3,11:55,1,10,PHI 30,26,24,Jalen Hurts pass incomplete short right intended for Dallas Goedert (defended by Rashan Gary),0.940,0.390
3,11:50,2,10,PHI 30,26,24,Saquon Barkley right end for 2 yards (tackle by Edgerrin Cooper),0.390,-0.030
3,11:25,3,8,PHI 32,26,24,Jalen Hurts sacked by Rashan Gary for -6 yards,-0.030,-1.630
3,10:33,4,14,PHI 26,26,24,Braden Mann punts 54 yards fair catch by Jayden Reed at GB-20,-1.630,-0.280
3,10:26,1,10,GNB 20,26,24,Jordan Love pass complete short left to Romeo Doubs for 12 yards (tackle by Quinyon Mitchell),0.280,1.070
3,9:46,1,10,GNB 32,26,24,Emanuel Wilson right guard for no gain (tackle by Zack Baun). Penalty on Tucker Kraft: Illegal Shift 5 yards (accepted) (no play),1.070,0.740
3,9:23,1,15,GNB 27,26,24,Jordan Love pass incomplete deep left intended for Jayden Reed,0.740,-0.150
3,9:18,2,15,GNB 27,26,24,Jordan Love pass incomplete short middle intended for Romeo Doubs,-0.150,-0.820
3,9:13,3,15,GNB 27,26,24,Jordan Love pass incomplete short left intended for Emanuel Wilson (defended by Nakobe Dean). Penalty on Tucker Kraft: Illegal Shift 5 yards (declined),-0.820,-1.570
3,9:08,4,15,GNB 27,26,24,Daniel Whelan punts returned by Britain Covey for no gain (tackle by Eric Wilson). Penalty on Isaiah McDuffie: Illegal Formation 5 yards (offset) . Penalty on Tristin McCollum: Illegal Blindside Block 15 yards (offset) (no play),-1.570,-1.570
3,8:56,4,15,GNB 27,26,24,Daniel Whelan punts 41 yards fair catch by Britain Covey at PHI-32,-1.570,-1.070
3,8:47,1,10,PHI 32,26,24,Saquon Barkley left tackle for 8 yards (tackle by Keisean Nixon),1.070,1.610
3,8:12,2,2,PHI 40,26,24,Jalen Hurts left end for no gain (tackle by Preston Smith),1.610,0.890
3,7:32,3,2,PHI 40,26,24,Jalen Hurts pass incomplete short right,0.890,-0.720
3,7:27,4,2,PHI 40,26,24,Braden Mann punts 47 yards fair catch by Jayden Reed at GB-13,-0.720,0.320
3,7:21,1,10,GNB 13,26,24,Josh Jacobs up the middle for 9 yards (tackle by Reed Blankenship and Bryce Huff),-0.320,0.490
3,6:37,2,1,GNB 22,26,24,Josh Jacobs left end for no gain (tackle by C.J. Gardner-Johnson and Quinyon Mitchell). Penalty on Rasheed Walker: Offensive Holding 10 yards (accepted) (no play),0.490,-0.850
3,6:14,2,11,GNB 12,26,24,Jordan Love pass short middle intended for Luke Musgrave is intercepted by Reed Blankenship at GB-25 and returned for 1 yard (tackle by Dontayvion Wicks),-0.850,-3.970
3,6:08,1,10,GNB 24,26,24,Jalen Hurts pass complete short right to DeVonta Smith for 8 yards (tackle by Isaiah McDuffie),3.970,4.650
3,5:35,2,2,GNB 16,26,24,Saquon Barkley left guard for 5 yards (tackle by Lukas Van Ness and Javon Bullard),4.650,4.840
3,5:04,1,10,GNB 11,26,24,Saquon Barkley up the middle for 9 yards (tackle by Keisean Nixon and Javon Bullard),4.840,5.850
3,4:32,2,1,GNB 2,26,30,Saquon Barkley up the middle for 2 yards touchdown,5.850,7.000
3,4:26,,,GNB 15,26,31,Jake Elliott kicks extra point good,0.000,0.000
3,4:26,,,PHI 35,26,31,Braden Mann kicks off 65 yards touchback.,0.000,0.940
3,4:26,1,10,GNB 30,26,31,Jordan Love pass complete short left to Romeo Doubs for 9 yards (tackle by Nakobe Dean),0.940,1.610
3,3:48,2,1,GNB 39,26,31,Josh Jacobs up the middle for 3 yards (tackle by Zack Baun),1.610,1.730
3,3:10,1,10,GNB 42,26,31,Jordan Love pass incomplete short left intended for Dontayvion Wicks (defended by Quinyon Mitchell),1.730,1.190
3,3:07,2,10,GNB 42,26,31,Jordan Love pass complete short right to Josh Jacobs for 11 yards (tackle by Jalen Carter and C.J. Gardner-Johnson),1.190,2.460
3,2:32,1,10,PHI 47,26,31,Josh Jacobs right guard for 22 yards (tackle by Reed Blankenship),2.460,3.910
3,1:51,1,10,PHI 25,26,31,Josh Jacobs right end for no gain (tackle by Zack Baun),3.910,3.360
3,1:10,2,10,PHI 25,26,31,Jordan Love pass complete short left to Emanuel Wilson for no gain (tackle by Zack Baun),3.360,2.680
3,0:24,3,10,PHI 25,26,31,Jordan Love pass incomplete short left intended for Jayden Reed,2.680,1.800
3,0:21,4,10,PHI 25,26,31,Brayden Narveson 43 yard field goal no good,1.800,-1.140
3,0:17,1,10,PHI 33,26,31,Saquon Barkley left guard for 34 yards (tackle by Javon Bullard),1.140,3.380
4,15:00,1,10,GNB 33,26,31,Jalen Hurts pass incomplete short right intended for A.J. Brown (defended by Edgerrin Cooper),3.380,2.840
4,14:57,2,10,GNB 33,26,31,Jalen Hurts pass complete short right to Grant Calcaterra for 11 yards (tackle by Javon Bullard),2.840,4.110
4,14:28,1,10,GNB 22,26,31,Jalen Hurts pass complete short left to A.J. Brown for 11 yards (tackle by Javon Bullard and Keisean Nixon),4.110,4.840
4,13:51,1,10,GNB 11,26,31,Jalen Hurts left guard for -3 yards (tackle by Keisean Nixon and Preston Smith),4.840,3.690
4,13:14,2,13,GNB 14,26,31,Jalen Hurts pass incomplete short left intended for Jahan Dotson (defended by Keisean Nixon),3.690,3.030
4,13:09,3,13,GNB 14,26,31,Jalen Hurts pass deep middle intended for A.J. Brown is intercepted by Jaire Alexander in end zone and returned for 17 yards (tackle by DeVonta Smith),3.030,0.320
4,12:53,1,10,GNB 13,26,31,Josh Jacobs left tackle for 32 yards (tackle by Nakobe Dean),-0.320,1.930
4,12:16,1,10,GNB 45,26,31,Josh Jacobs left tackle for -1 yards (tackle by Nakobe Dean),1.930,1.250
4,11:36,2,11,GNB 44,26,31,Jordan Love pass complete short middle to Christian Watson for 6 yards (tackle by Quinyon Mitchell),1.250,1.360
4,10:56,3,5,GNB 50,26,31,Jordan Love pass complete deep left to Jayden Reed for 26 yards (tackle by Reed Blankenship),1.360,3.970
4,10:11,1,10,PHI 24,26,31,Emanuel Wilson left guard for 9 yards (tackle by Quinyon Mitchell and Jalen Carter),3.970,4.850
4,9:28,2,1,PHI 15,26,31,Jordan Love pass complete short right to Emanuel Wilson for 2 yards (tackle by Zack Baun),4.850,4.710
4,8:48,1,10,PHI 13,26,31,Josh Jacobs right guard for 5 yards (tackle by Zack Baun and Reed Blankenship),4.710,4.960
4,8:06,2,5,PHI 8,26,31,Jordan Love pass incomplete short left,4.960,4.100
4,8:00,3,5,PHI 8,26,31,Jordan Love pass incomplete short middle intended for Romeo Doubs,4.100,2.970
4,7:56,4,5,PHI 8,29,31,Brayden Narveson 26 yard field goal good,2.970,3.000
4,7:52,,,GNB 35,29,31,Brayden Narveson kicks off 65 yards touchback.,0.000,0.940
4,7:52,1,10,PHI 30,29,31,Saquon Barkley left end for -2 yards (tackle by Quay Walker),0.940,0.120
4,7:08,2,12,PHI 28,29,31,Jalen Hurts pass incomplete deep right. Penalty on Jaire Alexander: Defensive Holding 5 yards (accepted) (no play),0.120,1.140
4,6:59,1,10,PHI 33,29,31,Saquon Barkley up the middle for 9 yards (tackle by Isaiah McDuffie),1.140,1.810
4,6:17,2,1,PHI 42,29,31,Saquon Barkley up the middle for 2 yards (tackle by Edgerrin Cooper and Rashan Gary),1.810,1.860
4,5:33,,,,,,Timeout #1 by Philadelphia Eagles,,
4,5:33,1,10,PHI 44,29,31,Jalen Hurts scrambles right tackle for 8 yards (tackle by Javon Bullard),1.860,2.400
4,4:54,2,2,GNB 48,29,31,Jalen Hurts pass complete short right to Kenneth Gainwell for no gain (tackle by Eric Stokes). Penalty on Lane Johnson: Illegal Formation 5 yards (accepted) (no play),2.400,1.720
4,4:48,2,7,PHI 47,29,31,Jalen Hurts pass incomplete short right intended for A.J. Brown (defended by Jaire Alexander). Penalty on Cam Jurgens: Ineligible Downfield Pass 5 yards (declined),1.720,1.030
4,4:32,3,7,PHI 47,29,31,Jalen Hurts scrambles up the middle for 6 yards (tackle by Quay Walker and Karl Brooks). Penalty on Kenny Clark: Defensive Holding 5 yards (accepted),1.030,2.790
4,4:32,1,10,GNB 42,29,31,Saquon Barkley left tackle for 2 yards (tackle by Isaiah McDuffie and Eric Wilson),2.790,2.510
4,3:48,2,8,GNB 40,29,31,Jalen Hurts scrambles left end for 8 yards (tackle by Eric Stokes and Quay Walker),2.510,3.450
4,3:04,1,10,GNB 32,29,31,Saquon Barkley up the middle for -3 yards (tackle by Devonte Wyatt),3.450,2.500
4,2:22,2,13,GNB 35,29,31,Jalen Hurts pass complete short left to DeVonta Smith for 16 yards (tackle by Xavier McKinney),2.500,4.310
4,2:15,,,,,,Timeout #1 by Green Bay Packers,,
4,2:15,1,10,GNB 19,29,31,Saquon Barkley up the middle for 2 yards (tackle by Isaiah McDuffie and Tedarrell Slaton),4.310,4.030
4,2:10,,,,,,Timeout #2 by Green Bay Packers,,
4,2:10,2,8,GNB 17,29,31,Jalen Hurts pass complete short left to DeVonta Smith for 11 yards (tackle by Javon Bullard and Eric Stokes),4.030,5.830
4,2:00,1,6,GNB 6,29,31,Saquon Barkley up the middle for 2 yards (tackle by Javon Bullard),5.830,5.340
4,1:57,,,,,,Timeout #3 by Green Bay Packers,,
4,1:57,2,4,GNB 4,29,31,Saquon Barkley right guard for 3 yards (tackle by Quay Walker and Tedarrell Slaton),5.340,5.170
4,1:12,,,,,,Timeout #2 by Philadelphia Eagles,,
4,1:12,3,1,GNB 1,29,31,Jalen Hurts aborted snap recovered by Saquon Barkley at GB-2,5.170,3.040
4,0:30,,,,,,Timeout #3 by Philadelphia Eagles,,
4,0:30,4,3,GNB 3,29,34,Jake Elliott 21 yard field goal good. Penalty on Xavier McKinney: Defensive Offside 5 yards (declined),3.040,3.000
4,0:27,,,PHI 35,29,34,Braden Mann kicks off 73 yards returned by Keisean Nixon for 24 yards (tackle by Will Shipley and Nolan Smith),0.000,-0.140
4,0:22,1,10,GNB 16,29,34,Jordan Love pass complete deep left to Jayden Reed for 33 yards (tackle by Quinyon Mitchell),-0.140,2.190
4,0:15,1,10,GNB 49,29,34,Josh Jacobs left end for 4 yards (tackle by Zack Baun),2.190,2.190
4,0:06,2,6,PHI 47,29,34,Malik Willis pass incomplete short left intended for Romeo Doubs,2.190,1.490
4,0:03,3,6,PHI 47,29,34,Malik Willis sacked by Zack Baun for -4 yards,1.490,-0.130
