Quarter,Time,Down,ToGo,Location,NWE,TEN,Detail,EPB,EPA
2,0:35,1,10,NWE 47,3,7,Mason Rudolph pass complete short right to Calvin Ridley for 12 yards (tackle by Christian Gonzalez),2.460,3.250
2,0:27,,,,,,Timeout #2 by Tennessee Titans,,
2,0:27,1,10,NWE 35,3,7,Tony Pollard up the middle for 3 yards (tackle by Deatrich Wise and Marte Mapu). Penalty on Daniel Brunskill: Offensive Holding 10 yards (accepted),3.250,2.790
2,0:22,,,,,,Timeout #3 by Tennessee Titans,,
2,0:22,1,17,NWE 42,3,7,Mason Rudolph pass incomplete short left,2.790,1.760
2,0:17,2,17,NWE 42,3,7,Penalty on TEN: Delay of Game 5 yards (accepted) (no play),1.760,1.080
2,0:17,2,22,NWE 47,3,7,Mason Rudolph pass incomplete short left intended for Nick Westbrook-Ikhine (defended by Jonathan Jones),1.080,0.430
2,0:11,,,,,,Timeout #1 by New England Patriots,,
2,0:11,3,22,NWE 47,3,7,Mason Rudolph pass incomplete short right,0.430,0.130
2,0:03,,,,,,Timeout #2 by New England Patriots,,
2,0:03,4,22,NWE 47,3,7,Mason Rudolph pass incomplete deep right,0.130,2.060
3,15:00,,,TEN 35,3,7,Nick Folk kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,NWE 30,3,7,Drake Maye aborted snap recovered by Rhamondre Stevenson at NE-22 Rhamondre Stevenson for no gain (tackle by Harold Landry and Amani Hooker),0.940,0.120
3,14:21,2,12,NWE 28,3,7,Drake Maye pass complete short right to Kendrick Bourne for 7 yards (tackle by Jarvis Brownlee),0.120,0.370
3,13:42,3,5,NWE 35,3,7,Drake Maye scrambles left tackle for no gain (tackle by Jack Gibbens and Roger McCreary). Penalty on Ben Brown: Offensive Holding 10 yards (accepted) (no play),0.370,-0.960
3,13:18,3,15,NWE 25,3,7,Drake Maye scrambles up the middle for 22 yards (tackle by Kenneth Murray). Penalty on Arden Key: Illegal Use of Hands / Defense 5 yards (accepted),-0.960,2.390
3,12:57,1,10,TEN 48,3,7,Rhamondre Stevenson right end for no gain (tackle by James Lynch and Kenneth Murray). Penalty on Ja'Lynn Polk: Illegal Shift 5 yards (accepted) (no play),2.390,2.060
3,12:28,1,15,NWE 47,3,7,Drake Maye pass complete deep right to Demario Douglas for 21 yards,2.060,3.450
3,12:02,1,10,TEN 32,3,7,Penalty on Demontrey Jacobs: False Start 5 yards (accepted) (no play),3.450,3.120
3,11:37,1,15,TEN 37,3,7,Antonio Gibson up the middle for -1 yards (tackle by Arden Key),3.120,2.090
3,11:07,2,16,TEN 38,3,7,Drake Maye scrambles up the middle for 13 yards (tackle by Jack Gibbens and Mike Brown). Penalty on Jarvis Brownlee: Defensive Holding 5 yards (accepted),2.090,4.240
3,10:34,1,10,TEN 20,3,7,Drake Maye pass complete short left to Hunter Henry for 7 yards (tackle by Jack Gibbens and Mike Brown),4.240,4.830
3,10:08,2,3,TEN 13,3,7,Drake Maye pass complete short left to Demario Douglas for 4 yards (tackle by Jarvis Brownlee),4.830,5.140
3,9:31,1,9,TEN 9,3,7,Drake Maye pass complete short left to Hunter Henry for 3 yards (tackle by Jarvis Brownlee),5.140,4.950
3,8:57,2,6,TEN 6,3,7,Drake Maye pass complete short right to Hunter Henry for no gain (tackle by Roger McCreary and Jack Gibbens),4.950,4.040
3,8:12,3,6,TEN 6,3,7,Drake Maye pass incomplete short middle intended for Austin Hooper (defended by Jack Gibbens). Penalty on Roger McCreary: Face Mask (15 Yards) 3 yards (accepted) (no play),4.040,6.510
3,8:07,1,3,TEN 3,3,7,Rhamondre Stevenson right guard for 2 yards (tackle by Amani Hooker),6.510,5.910
3,7:43,2,1,TEN 1,9,7,Rhamondre Stevenson up the middle for 1 yard touchdown,5.910,7.000
3,7:39,,,TEN 15,10,7,Joey Slye kicks extra point good,0.000,0.000
3,7:39,,,NWE 35,10,7,Joey Slye kicks off 65 yards touchback. touchback.,0.000,0.940
3,7:39,1,10,TEN 30,10,7,Tony Pollard left guard for 8 yards (tackle by Raekwon McMillan and Jaylinn Hawkins),0.940,1.470
3,7:00,2,2,TEN 38,10,7,Tony Pollard right end for 6 yards (tackle by Raekwon McMillan),1.470,1.860
3,6:20,1,10,TEN 44,10,7,Mason Rudolph pass incomplete deep middle intended for Calvin Ridley,1.860,1.320
3,6:15,2,10,TEN 44,10,7,Mason Rudolph pass incomplete short left,1.320,0.630
3,6:12,3,10,TEN 44,10,7,Mason Rudolph pass complete short middle to Nick Westbrook-Ikhine for 13 yards (tackle by Christian Elliss),0.630,2.720
3,5:55,1,10,NWE 43,10,7,Tony Pollard right tackle for -4 yards (tackle by Raekwon McMillan),2.720,1.640
3,5:20,2,14,NWE 47,10,7,Mason Rudolph pass complete short middle to Tony Pollard for 12 yards (tackle by Christian Elliss),1.640,2.540
3,4:41,3,2,NWE 35,10,7,Tyler Boyd left end for 3 yards (tackle by Christian Gonzalez),2.540,3.450
3,4:01,1,10,NWE 32,10,7,Julius Chestnut left guard for 3 yards (tackle by Davon Godchaux and Deatrich Wise),3.450,3.310
3,3:27,2,7,NWE 29,10,7,Mason Rudolph pass complete deep right to Chigoziem Okonkwo for 21 yards (tackle by Jonathan Jones),3.310,5.370
3,2:48,1,8,NWE 8,10,7,Tony Pollard right end for no gain touchdown. Penalty on Josh Whyle: Offensive Holding 10 yards (accepted) (no play),5.370,4.240
3,2:42,1,18,NWE 18,10,7,Tony Pollard left end for no gain (tackle by Keion White),4.240,3.150
3,1:59,2,18,NWE 18,10,7,Mason Rudolph scrambles up the middle for 3 yards (tackle by Keion White),3.150,2.930
3,1:19,3,15,NWE 15,10,7,Julius Chestnut right end for 12 yards (tackle by Dell Pettus),2.930,3.040
3,0:36,4,3,NWE 3,10,10,Nick Folk 21 yard field goal good,3.040,3.000
3,0:34,,,TEN 35,10,10,Nick Folk kicks off 65 yards touchback.,0.000,0.940
3,0:34,1,10,NWE 30,10,10,Drake Maye sacked by and Sebastian Joseph-Day for -6 yards and Jack Gibbens for -6 yards,0.940,-0.420
4,15:00,2,16,NWE 24,10,10,Drake Maye sacked by Jeffery Simmons for -7 yards,-0.420,-2.360
4,14:21,3,23,NWE 17,10,10,Drake Maye pass complete short left to Antonio Gibson for 12 yards (tackle by Mike Brown),-2.360,-1.440
4,13:48,4,11,NWE 29,10,10,Bryce Baringer punts 45 yards downed by Christian Elliss. Penalty on Darrell Baker: Offensive Holding 10 yards (accepted),-1.440,0.140
4,13:36,1,10,TEN 16,10,10,Mason Rudolph pass complete short middle to Chigoziem Okonkwo for 9 yards (tackle by Jahlani Tavai),-0.140,0.690
4,13:01,2,1,TEN 25,10,10,Mason Rudolph pass complete short left to Nick Westbrook-Ikhine for 14 yards (tackle by Marte Mapu),0.690,1.530
4,12:27,1,10,TEN 39,10,10,Tony Pollard right end for -4 yards (tackle by Marcus Jones),1.530,0.450
4,11:41,2,14,TEN 35,10,10,Mason Rudolph pass complete short middle to Tony Pollard for 5 yards (tackle by Sione Takitaki),0.450,0.430
4,11:06,3,9,TEN 40,10,10,Mason Rudolph pass complete short right to Nick Westbrook-Ikhine for 7 yards (tackle by Marco Wilson),0.430,-0.260
4,10:17,,,,,,Timeout #1 by New England Patriots,,
4,10:17,4,2,TEN 47,10,10,Ryan Stonehouse punts 44 yards fair catch by Marcus Jones at NE-9,-0.260,0.380
4,10:09,1,10,NWE 9,10,10,Rhamondre Stevenson right tackle for 3 yards (tackle by T'Vondre Sweat and Jarvis Brownlee),-0.380,-0.560
4,9:29,2,7,NWE 12,10,10,Drake Maye pass complete short middle to Hunter Henry for 13 yards (tackle by Mike Brown),-0.560,0.610
4,8:51,1,10,NWE 25,10,10,Drake Maye pass complete short right to Demario Douglas for -1 yards (tackle by Roger McCreary),0.610,-0.070
4,8:12,2,11,NWE 24,10,10,Drake Maye pass complete short right to Demario Douglas for 11 yards (tackle by Harold Landry),-0.070,1.270
4,7:41,1,10,NWE 35,10,10,Drake Maye pass complete short left to Demario Douglas for -3 yards (tackle by Darrell Baker),1.270,0.320
4,7:03,2,13,NWE 32,10,10,Drake Maye sacked by Arden Key for -4 yards. Drake Maye fumbles (forced by Arden Key) recovered by Jeffery Simmons at NE-26,0.320,-3.840
4,6:53,1,10,NWE 26,10,10,Mason Rudolph pass complete short right to Calvin Ridley for 6 yards (tackle by Dell Pettus),3.840,4.110
4,6:20,2,4,NWE 20,10,10,Tony Pollard left end for 11 yards (tackle by Marcus Jones),4.110,5.140
4,5:37,1,9,NWE 9,10,10,Tony Pollard up the middle for 2 yards (tackle by Anfernee Jennings),5.140,4.760
4,4:54,2,7,NWE 7,10,10,Tony Pollard up the middle for 1 yard (tackle by Jaquelin Roy),4.760,4.040
4,4:32,3,6,NWE 6,10,16,Mason Rudolph pass complete short left to Nick Westbrook-Ikhine for 6 yards touchdown,4.040,7.000
4,4:27,,,NWE 15,10,17,Nick Folk kicks extra point good,0.000,0.000
4,4:27,,,TEN 35,10,17,Nick Folk kicks off 65 yards touchback.,0.000,0.940
4,4:27,1,10,NWE 30,10,17,Drake Maye pass complete short middle to Kayshon Boutte for 7 yards (tackle by Jarvis Brownlee),0.940,1.340
4,4:02,2,3,NWE 37,10,17,Rhamondre Stevenson up the middle for 3 yards (tackle by Jeffery Simmons and Jack Gibbens),1.340,1.600
4,3:25,1,10,NWE 40,10,17,Drake Maye scrambles left end for 3 yards (tackle by Mike Brown),1.600,1.460
4,3:18,2,7,NWE 43,10,17,Drake Maye pass incomplete short left intended for Kendrick Bourne,1.460,0.760
4,3:13,3,7,NWE 43,10,17,Drake Maye pass complete short left to Kendrick Bourne for no gain (tackle by Mike Brown). Penalty on Ben Brown: Offensive Holding 10 yards (accepted) (no play),0.760,-0.560
4,3:05,3,17,NWE 33,10,17,Drake Maye pass incomplete deep right intended for Demario Douglas,-0.560,-1.180
4,2:58,4,17,NWE 33,10,17,Bryce Baringer punts 60 yards returned by Jha'Quan Jackson for 7 yards. Jha'Quan Jackson fumbles (forced by Marcellas Dial) recovered by Jha'Quan Jackson at TEN-14,-1.180,0.280
4,2:47,1,10,TEN 14,10,17,Tony Pollard up the middle for 1 yard (tackle by Jahlani Tavai and Davon Godchaux),-0.280,-0.640
4,2:43,,,,,,Timeout #2 by New England Patriots,,
4,2:43,2,9,TEN 15,10,17,Tony Pollard right end for 2 yards (tackle by Anfernee Jennings),-0.640,-1.040
4,2:37,,,,,,Timeout #3 by New England Patriots,,
4,2:37,3,7,TEN 17,10,17,Tony Pollard right guard for no gain (tackle by Anfernee Jennings and Daniel Ekuale),-1.040,-2.320
4,2:00,4,7,TEN 17,10,17,Ryan Stonehouse punts 58 yards returned by Marcus Jones for 25 yards (tackle by James Williams),-2.320,-2.260
4,1:45,1,10,TEN 50,10,17,Drake Maye pass incomplete short middle intended for Demario Douglas,2.260,1.710
4,1:37,2,10,TEN 50,10,17,Drake Maye pass complete short right to Kayshon Boutte for 11 yards (tackle by Darrell Baker),1.710,2.980
4,1:20,1,10,TEN 39,10,17,Drake Maye pass complete short left to Rhamondre Stevenson for 9 yards (tackle by Roger McCreary and Jack Gibbens),2.980,3.660
4,0:58,2,1,TEN 30,10,17,Drake Maye scrambles left end for 7 yards (tackle by Jack Gibbens),3.660,4.040
4,0:40,,,,,,Timeout #1 by Tennessee Titans,,
4,0:40,1,10,TEN 23,10,17,Drake Maye pass incomplete deep middle intended for Kendrick Bourne (defended by Amani Hooker) (defended by Jarvis Brownlee),4.040,3.500
4,0:34,2,10,TEN 23,10,17,Drake Maye pass complete short left to Rhamondre Stevenson for 8 yards (tackle by Kenneth Murray),3.500,4.050
4,0:28,3,2,TEN 15,10,17,Drake Maye pass incomplete short middle,4.050,2.570
4,0:21,4,2,TEN 15,10,17,Drake Maye pass complete short middle to Hunter Henry for 10 yards (tackle by Amani Hooker and Mike Brown),2.570,6.060
4,0:08,1,5,TEN 5,10,17,Drake Maye spiked the ball,6.060,5.150
4,0:08,,,,,,Timeout #2 by Tennessee Titans,,
4,0:08,2,5,TEN 5,10,17,Drake Maye pass incomplete short right intended for Kayshon Boutte (defended by Harold Landry),5.150,4.260
4,0:04,3,5,TEN 5,16,17,Drake Maye pass complete short right to Rhamondre Stevenson for 5 yards touchdown,4.260,7.000
4,0:00,,,TEN 15,17,17,Joey Slye kicks extra point good,0.000,0.000
,,,,,,,Titans won the coin toss Titans to receive the overtime kickoff.,,
OT,10:00,,,NWE 35,17,17,Joey Slye kicks off 67 yards returned by Jha'Quan Jackson for 24 yards. Jha'Quan Jackson fumbles (tackle by Brenden Schooler recovered by James Williams at TEN-22,0.000,0.410
OT,9:56,1,10,TEN 22,17,17,Mason Rudolph pass complete short right to Calvin Ridley for 16 yards (tackle by Christian Elliss),0.410,1.470
OT,9:21,1,10,TEN 38,17,17,Tony Pollard right guard for 7 yards (tackle by Jaylinn Hawkins and Daniel Ekuale),1.470,1.870
OT,8:44,2,3,TEN 45,17,17,Tony Pollard right end for 5 yards (tackle by Daniel Ekuale),1.870,2.260
OT,8:07,1,10,NWE 50,17,17,Julius Chestnut left guard for 5 yards (tackle by Jahlani Tavai),2.260,2.390
OT,7:32,2,5,NWE 45,17,17,Mason Rudolph pass incomplete short right intended for Josh Whyle,2.390,1.690
OT,7:23,3,5,NWE 45,17,17,Mason Rudolph pass complete short middle to Calvin Ridley for 14 yards (tackle by Christian Gonzalez),1.690,3.510
OT,6:41,1,10,NWE 31,17,17,Tony Pollard right tackle for 4 yards (tackle by Jahlani Tavai),3.510,3.510
OT,6:03,2,6,NWE 27,17,17,Tony Pollard right tackle for 3 yards (tackle by Jahlani Tavai),3.510,3.200
OT,5:24,3,3,NWE 24,17,17,Tony Pollard up the middle for 9 yards (tackle by Daniel Ekuale),3.200,4.580
OT,4:40,,,,,,Timeout #1 by New England Patriots,,
OT,4:40,1,10,NWE 15,17,17,Tony Pollard right tackle for 3 yards (tackle by Marte Mapu),4.580,4.450
OT,4:01,2,7,NWE 12,17,17,Tony Pollard up the middle for 5 yards (tackle by Keion White and Marte Mapu),4.450,4.680
OT,3:23,,,,,,Timeout #2 by New England Patriots,,
OT,3:23,3,2,NWE 7,17,17,Mason Rudolph aborted snap recovered by Mason Rudolph at NE-7,4.680,3.020
OT,2:34,4,1,NWE 6,17,20,Nick Folk 25 yard field goal good,3.020,3.000
OT,2:32,,,TEN 35,17,20,Nick Folk kicks off 65 yards touchback.,0.000,0.940
OT,2:32,1,10,NWE 30,17,20,Drake Maye pass incomplete deep left intended for Hunter Henry (defended by Mike Brown),0.940,0.390
OT,2:25,2,10,NWE 30,17,20,Drake Maye scrambles right end for 11 yards (tackle by Darrell Baker),0.390,1.660
OT,2:17,1,10,NWE 41,17,20,Drake Maye pass deep middle intended for Kayshon Boutte is intercepted by Amani Hooker at TEN-11 and returned for 2 yards,1.660,0.000
