Quarter,Time,Down,ToGo,Location,HOU,NYJ,Detail,EPB,EPA
1,9:31,2,7,NYJ 46,0,0,Joe Mixon right guard for 6 yards (tackle by Isaiah Oliver),2.190,2.280
1,9:07,3,1,NYJ 40,0,0,Joe Mixon left end for 29 yards (tackle by Sauce Gardner and Jalen Mills),2.280,4.840
1,8:18,1,10,NYJ 11,0,0,Dare Ogunbowale right end for -1 yards (tackle by Quinnen Williams),4.840,3.980
1,7:38,2,11,NYJ 12,0,0,C.J. Stroud sacked by Micheal Clemons for -6 yards. C.J. Stroud fumbles (forced by Micheal Clemons) recovered by Will McDonald at NYJ-18,3.980,-0.040
1,7:33,1,10,NYJ 18,0,0,Breece Hall up the middle for 12 yards. Breece Hall fumbles recovered by Breece Hall at NYJ-30 (tackle by Derek Stingley),0.040,0.940
1,7:11,1,10,NYJ 30,0,0,Breece Hall right guard for 1 yard (tackle by Danielle Hunter),0.940,0.530
1,6:37,2,9,NYJ 31,0,0,Aaron Rodgers pass incomplete short right intended for Davante Adams,0.530,-0.160
1,6:33,3,9,NYJ 31,0,0,Aaron Rodgers pass incomplete deep right intended for Mike Williams,-0.160,-1.310
1,6:29,4,9,NYJ 31,0,0,Thomas Morstead punts 56 yards,-1.310,0.320
1,6:23,1,10,HOU 13,0,0,Joe Mixon left guard for 7 yards (tackle by Samuel Eguavoen),-0.320,0.220
1,5:45,2,3,HOU 20,0,0,Joe Mixon left end for 2 yards (tackle by D.J. Reed and Jalen Mills). Penalty on Cade Stover: Offensive Holding 10 yards (accepted),0.220,-0.850
1,5:24,2,11,HOU 12,0,0,C.J. Stroud sacked by Quinnen Williams for -4 yards,-0.850,-2.010
1,4:41,3,15,HOU 8,0,0,C.J. Stroud pass complete short left to Tank Dell for 9 yards (tackle by Isaiah Oliver),-2.010,-2.320
1,3:59,4,6,HOU 17,0,0,Tommy Townsend punts 52 yards fair catch by Xavier Gipson at NYJ-31,-2.320,-1.000
1,3:50,1,10,NYJ 31,0,0,Breece Hall right tackle for 8 yards (tackle by Jalen Pitre),1.000,1.540
1,3:17,2,2,NYJ 39,0,0,Breece Hall left end for 16 yards (tackle by Denico Autry and Calen Bullock),1.540,2.590
1,2:35,1,10,HOU 45,0,0,Aaron Rodgers pass complete short left to Breece Hall for -2 yards (tackle by Henry To'oTo'o),2.590,1.770
1,1:51,2,12,HOU 47,0,0,Aaron Rodgers pass complete short left to Davante Adams for 5 yards (tackle by Kamari Lassiter),1.770,1.750
1,1:09,3,7,HOU 42,0,0,Aaron Rodgers pass complete short right to Garrett Wilson for 8 yards (tackle by Eric Murray),1.750,3.310
1,0:31,1,10,HOU 34,0,0,Breece Hall left tackle for no gain (tackle by Folorunso Fatukasi). Penalty on Folorunso Fatukasi: Face Mask (15 Yards) 15 yards (accepted) (no play),3.310,4.310
2,15:00,1,10,HOU 19,0,0,Malachi Corley right end for no gain touchdown Replay Assistant challenged the runner broke the plane ruling and the original play was overturned. Malachi Corley right end for 18 yards. Malachi Corley fumbles ball out of bounds in end zone,4.310,-0.280
2,14:54,1,10,HOU 20,0,0,Joe Mixon left tackle for 2 yards (tackle by Brandin Echols and Samuel Eguavoen),0.280,0.000
2,14:16,2,8,HOU 22,0,0,C.J. Stroud scrambles right end for 3 yards (tackle by Quincy Williams),0.000,-0.300
2,13:29,3,5,HOU 25,0,0,C.J. Stroud pass incomplete deep right intended for John Metchie,-0.300,-1.700
2,13:23,4,5,HOU 25,0,0,Tommy Townsend punts 56 yards fair catch by Xavier Gipson at NYJ-19,-1.700,-0.150
2,13:15,1,10,NYJ 19,0,0,Aaron Rodgers pass complete short right to Davante Adams for 3 yards (tackle by Eric Murray),0.150,0.070
2,12:32,2,7,NYJ 22,0,0,Breece Hall left tackle for 1 yard (tackle by Tim Settle),0.070,-0.550
2,12:01,3,6,NYJ 23,0,0,Aaron Rodgers pass complete short right to Tyler Conklin for no gain. Tyler Conklin fumbles (forced by Jalen Pitre) recovered by Neville Hewitt at NYJ-25 touchdown Replay Assistant challenged the pass completion ruling and the original play was overturned. Aaron Rodgers pass incomplete short right intended for Tyler Conklin (defended by Jalen Pitre),-0.550,-1.830
2,11:55,4,6,NYJ 23,0,0,Thomas Morstead punts 75 yards downed by Jarrick Bernard-Converse,-1.830,0.380
2,11:44,1,10,HOU 2,0,0,Joe Mixon left tackle for 5 yards (tackle by Javon Kinlaw),-0.380,-0.420
2,11:05,2,5,HOU 7,0,0,Joe Mixon up the middle for 6 yards (tackle by Braiden McGregor),-0.420,-0.320
2,10:26,1,10,HOU 13,0,0,Joe Mixon left guard for 3 yards (tackle by Jamien Sherwood),-0.320,-0.440
2,9:45,2,7,HOU 16,0,0,Joe Mixon up the middle for 10 yards (tackle by Sauce Gardner and Jalen Mills),-0.440,0.670
2,9:09,1,10,HOU 26,0,0,C.J. Stroud pass complete short right to Dalton Schultz for 7 yards (tackle by Jalen Mills),0.670,1.070
2,8:23,2,3,HOU 33,0,0,Joe Mixon left guard for no gain (tackle by Brandin Echols and Isaiah Oliver). Penalty on Robert Woods: Offensive Holding 10 yards (accepted) (no play),1.070,-0.280
2,8:01,2,13,HOU 23,0,0,C.J. Stroud pass complete deep right to Robert Woods for 32 yards (tackle by Sauce Gardner),-0.280,2.590
2,7:31,1,10,NYJ 45,0,0,C.J. Stroud scrambles right end for 4 yards (tackle by Quincy Williams),2.590,2.580
2,6:53,2,6,NYJ 41,0,0,C.J. Stroud pass incomplete deep right intended for Dalton Schultz. Penalty on Sauce Gardner: Defensive Holding 5 yards (accepted) (no play),2.580,3.180
2,6:49,1,10,NYJ 36,0,0,Joe Mixon right guard for 11 yards (tackle by Brandin Echols and Jalen Mills),3.180,3.910
2,6:32,1,10,NYJ 25,0,0,Joe Mixon left end for -2 yards (tackle by Brandin Echols),3.910,3.090
2,5:44,2,12,NYJ 27,0,0,C.J. Stroud scrambles right end for 12 yards (tackle by Samuel Eguavoen),3.090,4.580
2,4:54,1,10,NYJ 15,0,0,Joe Mixon left guard for -2 yards (tackle by Leonard Taylor),4.580,3.680
2,4:11,2,12,NYJ 17,0,0,C.J. Stroud pass incomplete short left,3.680,2.980
2,4:05,3,12,NYJ 17,0,0,C.J. Stroud pass complete short left to Tank Dell for 14 yards (tackle by Jarius Monroe and Sauce Gardner),2.980,6.510
2,3:25,1,3,NYJ 3,6,0,Joe Mixon left end for 3 yards touchdown,6.510,7.000
2,3:21,,,NYJ 15,7,0,Ka'imi Fairbairn kicks extra point good,0.000,0.000
2,3:21,,,HOU 35,7,0,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
2,3:21,1,10,NYJ 30,7,0,Aaron Rodgers pass complete short right to Davante Adams for 12 yards (tackle by Jalen Pitre),0.940,1.730
2,2:51,1,10,NYJ 42,7,0,Breece Hall left guard for -1 yards (tackle by Henry To'oTo'o),1.730,1.050
2,2:14,2,11,NYJ 41,7,0,Aaron Rodgers pass complete short left to Garrett Wilson for 1 yard (tackle by Kamari Lassiter and Jalen Pitre),1.050,0.500
2,2:00,3,10,NYJ 42,7,0,Aaron Rodgers sacked by Denico Autry for -9 yards,0.500,-1.180
2,1:55,,,,,,Timeout #1 by Houston Texans,,
2,1:55,4,19,NYJ 33,7,0,Thomas Morstead punts 38 yards fair catch by Steven Sims at HOU-29,-1.180,-0.870
2,1:49,1,10,HOU 29,7,0,Joe Mixon left tackle for 3 yards (tackle by Isaiah Oliver),0.870,0.730
2,1:15,2,7,HOU 32,7,0,Joe Mixon right guard for 3 yards (tackle by Micheal Clemons and Kendall Sheffield),0.730,0.430
2,0:52,3,4,HOU 35,7,0,C.J. Stroud pass complete short left to Tank Dell for 31 yards (tackle by D.J. Reed),0.430,3.310
2,0:43,1,10,NYJ 34,7,0,C.J. Stroud pass incomplete deep right intended for Xavier Hutchinson,3.310,2.770
2,0:38,2,10,NYJ 34,7,0,C.J. Stroud pass incomplete short right intended for Dare Ogunbowale,2.770,2.080
2,0:33,3,10,NYJ 34,7,0,C.J. Stroud sacked by Solomon Thomas for -4 yards,2.080,0.720
2,0:27,,,,,,Timeout #2 by Houston Texans,,
2,0:27,4,14,NYJ 38,7,0,Ka'imi Fairbairn 56 yard field goal no good,0.720,-1.990
2,0:22,1,10,NYJ 46,7,0,Aaron Rodgers pass complete short right to Davante Adams for 5 yards (tackle by Derek Stingley),1.990,2.130
2,0:19,2,5,HOU 49,7,0,Aaron Rodgers pass incomplete deep right intended for Davante Adams (defended by Derek Stingley),2.130,1.420
2,0:15,3,5,HOU 49,7,0,Aaron Rodgers pass incomplete short right intended for Davante Adams (defended by Derek Stingley),1.420,0.000
2,0:12,4,5,HOU 49,7,0,Penalty on Thomas Morstead: Delay of Game 5 yards (accepted) (no play),0.000,-0.320
2,0:12,4,10,NYJ 46,7,0,Thomas Morstead punts 54 yards touchback.,-0.320,-0.280
2,0:04,1,10,HOU 20,7,0,C.J. Stroud kneels for -1 yards,0.280,-0.460
3,15:00,,,HOU 35,7,0,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,NYJ 30,7,0,Breece Hall left end for 5 yards (tackle by Kamari Lassiter),0.940,1.070
3,14:23,2,5,NYJ 35,7,0,Breece Hall left end for 4 yards (tackle by Folorunso Fatukasi),1.070,0.890
3,13:43,3,1,NYJ 39,7,0,Braelon Allen left end for 4 yards (tackle by Neville Hewitt and Folorunso Fatukasi),0.890,1.800
3,13:06,1,10,NYJ 43,7,0,Braelon Allen left tackle for 5 yards (tackle by Kurt Hinish and Eric Murray),1.800,1.930
3,12:27,2,5,NYJ 48,7,0,Aaron Rodgers pass complete short right to Garrett Wilson for 8 yards (tackle by Jalen Pitre),1.930,2.650
3,11:47,1,10,HOU 44,7,0,Aaron Rodgers pass incomplete short left intended for Braelon Allen,2.650,2.110
3,11:45,2,10,HOU 44,7,0,Aaron Rodgers pass complete short left to Davante Adams for 12 yards (tackle by Calen Bullock),2.110,3.450
3,11:05,1,10,HOU 32,7,0,Breece Hall up the middle for 7 yards (tackle by Neville Hewitt and Jalen Pitre),3.450,3.850
3,10:31,2,3,HOU 25,7,0,Aaron Rodgers pass complete short middle to Mike Williams for 6 yards (tackle by Neville Hewitt and Jalen Pitre),3.850,4.310
3,9:48,1,10,HOU 19,7,0,Breece Hall left tackle for -2 yards (tackle by Tim Settle),4.310,3.490
3,9:09,2,12,HOU 21,7,6,Aaron Rodgers pass complete short left to Garrett Wilson for 21 yards touchdown,3.490,7.000
3,9:03,,,HOU 15,7,7,Riley Patterson kicks extra point good,0.000,0.000
3,9:03,,,NYJ 35,7,7,Riley Patterson kicks off 64 yards returned by Steven Sims for 28 yards (tackle by Kenny Yeboah). Penalty on Kenny Yeboah: Face Mask (15 Yards) 15 yards (accepted),0.000,1.860
3,8:56,1,10,HOU 44,7,7,C.J. Stroud scrambles left end for 3 yards (tackle by Quincy Williams),1.860,1.720
3,8:15,2,7,HOU 47,7,7,Joe Mixon up the middle for 6 yards (tackle by D.J. Reed),1.720,1.820
3,7:55,3,1,NYJ 47,7,7,C.J. Stroud scrambles right end for 7 yards (tackle by Michael Carter),1.820,2.920
3,7:17,1,10,NYJ 40,7,7,J.J. Taylor left guard for 9 yards (tackle by Quinnen Williams),2.920,3.590
3,6:32,2,1,NYJ 31,7,7,J.J. Taylor left guard for 7 yards (tackle by Jalen Mills and Isaiah Oliver),3.590,3.970
3,5:48,1,10,NYJ 24,7,7,C.J. Stroud pass incomplete short right intended for Tank Dell,3.970,3.430
3,5:43,2,10,NYJ 24,7,7,Joe Mixon left guard for -1 yards (tackle by Jamien Sherwood),3.430,2.610
3,4:59,3,11,NYJ 25,7,7,C.J. Stroud sacked by Jamien Sherwood for -11 yards,2.610,0.880
3,4:16,4,22,NYJ 36,10,7,Ka'imi Fairbairn 54 yard field goal good,0.880,3.000
3,4:11,,,HOU 35,10,7,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
3,4:11,1,10,NYJ 30,10,7,Aaron Rodgers pass incomplete short right intended for Garrett Wilson,0.940,0.390
3,4:06,2,10,NYJ 30,10,7,Aaron Rodgers pass complete short left to Breece Hall for 13 yards (tackle by Calen Bullock and Eric Murray),0.390,1.800
3,3:12,1,10,NYJ 43,10,7,Breece Hall right end for 4 yards (tackle by Neville Hewitt),1.800,1.790
3,2:42,2,6,NYJ 47,10,7,Braelon Allen up the middle for 2 yards (tackle by Neville Hewitt and Eric Murray),1.790,1.350
3,1:59,3,4,NYJ 49,10,7,Aaron Rodgers pass complete short left to Garrett Wilson for 3 yards (tackle by Jalen Pitre),1.350,0.070
3,1:17,4,1,HOU 48,10,7,Aaron Rodgers pass complete short left to Davante Adams for 17 yards (tackle by Eric Murray),0.070,3.510
3,0:47,1,10,HOU 31,10,7,Aaron Rodgers pass incomplete short middle intended for Breece Hall (defended by Danielle Hunter),3.510,2.970
3,0:44,2,10,HOU 31,10,7,Aaron Rodgers pass complete short right to Garrett Wilson for 9 yards (tackle by Derek Stingley),2.970,3.470
3,0:12,3,1,HOU 22,10,7,Breece Hall right end for no gain (tackle by Neville Hewitt and Derek Stingley),3.470,2.140
4,15:00,4,1,HOU 22,10,7,Aaron Rodgers pass incomplete deep right intended for Tyler Conklin. Penalty on Derek Stingley: Illegal Contact 5 yards (accepted) (no play),2.140,4.440
4,14:53,1,10,HOU 17,10,7,Aaron Rodgers pass complete short right to Jeremy Ruckert for 4 yards (tackle by Henry To'oTo'o),4.440,4.500
4,14:10,2,6,HOU 13,10,7,Aaron Rodgers pass complete short left to Tyler Conklin for -3 yards (tackle by Jalen Pitre),4.500,3.190
4,13:35,3,9,HOU 16,10,7,Aaron Rodgers scrambles left guard for no gain (tackle by Henry To'oTo'o and Danielle Hunter). Penalty on Olumuyiwa Fashanu: Offensive Holding 10 yards (accepted) (no play),3.190,2.020
4,13:01,3,19,HOU 26,10,13,Aaron Rodgers pass incomplete deep left intended for Garrett Wilson NYJ challenged the runner was in bounds ruling and the original play was overturned. Aaron Rodgers pass complete deep left to Garrett Wilson for 26 yards touchdown,2.020,7.000
4,12:54,,,HOU 15,10,14,Riley Patterson kicks extra point good,0.000,0.000
4,12:54,,,NYJ 35,10,14,Riley Patterson kicks off 65 yards returned by Steven Sims for 26 yards (tackle by Irvin Charles),0.000,0.670
4,12:49,1,10,HOU 26,10,14,C.J. Stroud pass complete deep left to Tank Dell for 50 yards (tackle by D.J. Reed),0.670,3.970
4,12:05,1,10,NYJ 24,10,14,Joe Mixon right end for 2 yards (tackle by Quincy Williams),3.970,3.700
4,11:31,2,8,NYJ 22,10,14,J.J. Taylor up the middle for 7 yards (tackle by Isaiah Oliver),3.700,4.170
4,10:57,3,1,NYJ 15,10,14,C.J. Stroud sacked by Jamien Sherwood for no gain,4.170,2.590
4,10:30,4,1,NYJ 15,10,14,Joe Mixon right tackle for 2 yards (tackle by Quincy Williams),2.590,4.710
4,9:53,1,10,NYJ 13,10,14,Joe Mixon right guard for 3 yards (tackle by Jamien Sherwood),4.710,4.580
4,9:10,2,7,NYJ 10,10,14,Joe Mixon pass incomplete short right intended for C.J. Stroud,4.580,3.650
4,9:03,3,7,NYJ 10,10,14,C.J. Stroud sacked by Micheal Clemons for -15 yards,3.650,1.800
4,8:23,4,22,NYJ 25,10,14,Ka'imi Fairbairn yard field goal good. Penalty on Eric Watts: Unnecessary Roughness / Defense 13 yards (accepted) (no play),1.800,4.780
4,8:19,1,10,NYJ 12,10,14,Joe Mixon left tackle for 3 yards (tackle by Jarius Monroe and Jalen Mills),4.780,4.640
4,7:47,2,7,NYJ 9,10,14,Joe Mixon left guard for no gain (tackle by Jalen Mills),4.640,3.700
4,7:02,3,7,NYJ 9,10,14,C.J. Stroud pass incomplete short right intended for John Metchie,3.700,2.830
4,6:57,4,7,NYJ 9,10,14,Ka'imi Fairbairn 27 yard field goal no good,2.830,-0.280
4,6:54,1,10,NYJ 20,10,14,Breece Hall left end for 2 yards (tackle by Kamari Lassiter and Neville Hewitt),0.280,0.000
4,6:13,2,8,NYJ 22,10,14,Breece Hall left end for 13 yards (tackle by Kamari Lassiter),0.000,1.270
4,5:29,1,10,NYJ 35,10,14,Aaron Rodgers pass complete short left to Garrett Wilson for 5 yards (tackle by Kamari Lassiter),1.270,1.400
4,4:48,2,5,NYJ 40,10,14,Breece Hall right tackle for 4 yards (tackle by Khalil Davis and Henry To'oTo'o),1.400,1.220
4,4:00,,,,,,Timeout #1 by New York Jets,,
4,4:00,3,1,NYJ 44,10,14,Aaron Rodgers pass complete short right to Kenny Yeboah for 12 yards (tackle by Calen Bullock),1.220,2.650
4,3:55,1,10,HOU 44,10,14,Braelon Allen up the middle for -2 yards (tackle by Jalen Pitre),2.650,1.840
4,3:12,2,12,HOU 46,10,14,Aaron Rodgers pass complete short left to Garrett Wilson for 9 yards (tackle by Jalen Pitre),1.840,2.350
4,3:02,,,,,,Timeout #1 by Houston Texans,,
4,3:02,3,3,HOU 37,10,20,Aaron Rodgers pass complete deep right to Davante Adams for 37 yards touchdown,2.350,7.000
4,2:56,,,HOU 15,10,21,Riley Patterson kicks extra point good,0.000,0.000
4,2:56,,,NYJ 35,10,21,Riley Patterson kicks off 66 yards returned by Steven Sims for 31 yards (tackle by Jarrick Bernard-Converse),0.000,0.940
4,2:48,1,10,HOU 30,10,21,C.J. Stroud pass incomplete deep right intended for Xavier Hutchinson,0.940,0.390
4,2:42,2,10,HOU 30,10,21,C.J. Stroud pass incomplete deep left intended for Dalton Schultz,0.390,-0.300
4,2:33,3,10,HOU 30,10,21,Penalty on C.J. Stroud: Delay of Game 5 yards (accepted) (no play),-0.300,-0.960
4,2:33,3,15,HOU 25,10,21,C.J. Stroud pass complete short left to Tank Dell for 6 yards (tackle by Quincy Williams),-0.960,-1.310
4,2:06,4,9,HOU 31,10,21,C.J. Stroud pass incomplete short middle intended for Tank Dell. Penalty on Isaiah Oliver: Defensive Pass Interference 12 yards (accepted) (no play),-1.310,1.800
4,2:01,1,10,HOU 43,10,21,C.J. Stroud pass incomplete deep right intended for Dalton Schultz,1.800,1.250
4,1:55,2,10,HOU 43,10,21,C.J. Stroud pass incomplete deep right intended for Tank Dell,1.250,0.560
4,1:49,3,10,HOU 43,10,21,C.J. Stroud pass complete short right to Dalton Schultz for 8 yards (tackle by Jamien Sherwood),0.560,0.000
4,1:26,4,2,NYJ 49,10,21,C.J. Stroud scrambles right end for 25 yards (tackle by Jalen Mills),0.000,3.970
4,1:20,1,10,NYJ 24,10,21,C.J. Stroud pass incomplete short middle intended for Cade Stover (defended by Sauce Gardner),3.970,3.430
4,1:17,2,10,NYJ 24,10,21,C.J. Stroud pass incomplete deep right intended for Dare Ogunbowale,3.430,2.740
4,1:11,3,10,NYJ 24,10,21,C.J. Stroud pass complete short right to Robert Woods for 12 yards (tackle by Sauce Gardner),2.740,4.780
4,1:05,1,10,NYJ 12,10,21,C.J. Stroud pass incomplete short right intended for Xavier Hutchinson (defended by Jalen Mills),4.780,4.100
4,1:00,2,10,NYJ 12,10,21,C.J. Stroud scrambles right end for 6 yards (tackle by Jamien Sherwood). Penalty on Sauce Gardner: Defensive Holding 3 yards (accepted),4.100,6.510
4,0:52,1,3,NYJ 3,10,21,C.J. Stroud pass incomplete short right intended for Dare Ogunbowale,6.510,5.530
4,0:47,2,3,NYJ 3,10,21,C.J. Stroud sacked by and Haason Reddick for -8 yards and Quinnen Williams for -8 yards,5.530,3.120
4,0:42,,,,,,Timeout #2 by Houston Texans,,
4,0:42,3,11,NYJ 11,13,21,Ka'imi Fairbairn 29 yard field goal good,3.120,3.000
4,0:39,,,HOU 35,13,21,Ka'imi Fairbairn kicks onside 8 yards returned by Davante Adams for no gain,0.000,2.720
4,0:38,1,10,HOU 43,13,21,Aaron Rodgers kneels for -1 yards,2.720,2.040
