Quarter,Time,Down,ToGo,Location,LAR,CHI,Detail,EPB,EPA
2,8:53,2,10,LAR 45,6,0,Roschon Johnson left guard for 1 yard (tackle by Braden Fiske and Kobie Turner),2.040,1.490
2,8:13,3,9,LAR 44,6,0,Caleb Williams pass complete to Roschon Johnson for no gain. Penalty on Darnell Wright: Illegal Formation 5 yards (accepted) (no play),1.490,0.830
2,7:40,3,14,LAR 49,6,0,Caleb Williams sacked by Braden Fiske for -12 yards. Caleb Williams fumbles (forced by Braden Fiske) recovered by Matt Pryor at CHI-39 (tackle by Braden Fiske),0.830,-0.780
2,6:52,4,26,CHI 39,6,0,Tory Taylor punts 61 yards touchback.,-0.780,-0.280
2,6:51,1,10,LAR 20,6,0,Matthew Stafford sacked by Montez Sweat for -4 yards. Matthew Stafford fumbles (forced by Montez Sweat) recovered by Kyler Gordon at LA-16 (tackle by Montez Sweat),0.280,-4.510
2,6:42,1,10,LAR 16,6,0,Caleb Williams pass incomplete short right intended for D.J. Moore,4.510,3.900
2,6:36,2,10,LAR 16,6,0,D'Andre Swift right guard for 1 yard (tackle by Kamren Curl),3.900,3.220
2,5:53,3,9,LAR 15,6,0,Caleb Williams pass incomplete intended for Keenan Allen. Penalty on Tre'Davious White: Defensive Pass Interference 14 yards (accepted) (no play),3.220,6.970
2,5:46,1,1,LAR 1,6,6,Roschon Johnson right guard for 1 yard touchdown,6.970,7.000
2,5:42,,,LAR 15,6,7,Cairo Santos kicks extra point good,0.000,0.000
2,5:42,,,CHI 35,6,7,Cairo Santos kicks off 65 yards touchback.,0.000,0.940
2,5:42,1,10,LAR 30,6,7,Ronnie Rivers left end for 8 yards (tackle by Jaquan Brisker),0.940,1.470
2,5:03,2,2,LAR 38,6,7,Ronnie Rivers left end for -1 yards (tackle by Jaquan Brisker),1.470,0.630
2,4:20,3,3,LAR 37,6,7,Matthew Stafford pass complete short middle to Jordan Whittington for 10 yards (tackle by Tyrique Stevenson),0.630,2.060
2,3:41,1,10,LAR 47,6,7,Matthew Stafford pass complete deep middle to Tutu Atwell for 22 yards (tackle by Tremaine Edmunds),2.060,3.510
2,2:58,1,10,CHI 31,6,7,Matthew Stafford pass incomplete short right intended for Colby Parkinson (defended by Montez Sweat),3.510,2.970
2,2:53,2,10,CHI 31,6,7,Matthew Stafford pass complete short middle to Jordan Whittington for 7 yards (tackle by Kyler Gordon),2.970,3.200
2,2:16,3,3,CHI 24,6,7,Ronnie Rivers right guard for 4 yards (tackle by Kevin Byard),3.200,4.240
2,2:00,1,10,CHI 20,6,7,Ronnie Rivers left tackle for 5 yards (tackle by Jaquan Brisker),4.240,4.450
2,1:19,2,5,CHI 15,6,7,Matthew Stafford pass complete short left to Colby Parkinson for 1 yard. Penalty on Tutu Atwell: Offensive Pass Interference 10 yards (accepted) (no play),4.450,3.020
2,1:13,2,15,CHI 25,6,7,Matthew Stafford pass incomplete short middle intended for Jordan Whittington,3.020,2.340
2,1:09,3,15,CHI 25,6,7,Matthew Stafford pass incomplete short left intended for Tutu Atwell (defended by Darrell Taylor),2.340,1.800
2,1:05,4,15,CHI 25,6,7,Joshua Karty 43 yard field goal no good,1.800,-1.140
2,1:01,1,10,CHI 33,6,7,Caleb Williams pass complete short right to Keenan Allen for 8 yards (tackle by Ahkello Witherspoon),1.140,1.670
2,0:54,,,,,,Timeout #1 by Chicago Bears,,
2,0:54,2,2,CHI 41,6,7,Caleb Williams pass complete short middle to D'Andre Swift for 27 yards (tackle by Kamren Curl),1.670,3.450
2,0:40,1,10,LAR 32,6,7,Caleb Williams pass complete to D'Andre Swift for 11 yards Replay Assistant challenged the short of the line to gain ruling and the original play was overturned. Caleb Williams pass complete short right to D'Andre Swift for 8 yards (tackle by Troy Reeder),3.450,3.980
2,0:35,2,2,LAR 24,6,7,D'Andre Swift right end for 7 yards (tackle by Byron Young),3.980,4.440
2,0:30,1,10,LAR 17,6,7,Caleb Williams pass incomplete deep right intended for Rome Odunze,4.440,3.850
2,0:24,2,10,LAR 17,6,7,Caleb Williams sacked by Michael Hoecht for -5 yards,3.850,2.540
2,0:18,,,,,,Timeout #2 by Chicago Bears,,
2,0:18,3,15,LAR 22,6,7,Caleb Williams pass incomplete deep right intended for D.J. Moore,2.540,1.990
2,0:13,4,15,LAR 22,6,10,Cairo Santos 40 yard field goal good,1.990,3.000
2,0:09,,,CHI 35,6,10,Cairo Santos kicks off 65 yards touchback.,0.000,0.940
2,0:09,1,10,LAR 30,6,10,Matthew Stafford kneels for -1 yards,0.940,0.260
3,15:00,,,CHI 35,6,10,Cairo Santos kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,LAR 30,6,10,Kyren Williams left end for 9 yards (tackle by Jaylon Johnson),0.940,1.610
3,14:24,2,1,LAR 39,6,10,Kyren Williams left guard for 3 yards (tackle by Jaquan Brisker and T.J. Edwards),1.610,1.730
3,13:42,1,10,LAR 42,6,10,Kyren Williams right guard for 12 yards (tackle by Kevin Byard),1.730,2.520
3,13:07,1,10,CHI 46,6,10,Matthew Stafford pass complete short middle to Kyren Williams for 1 yard (tackle by Andrew Billings and Gervon Dexter),2.520,2.110
3,12:27,2,9,CHI 45,6,10,Matthew Stafford pass incomplete intended for Tutu Atwell. Penalty on Tyrique Stevenson: Defensive Pass Interference 14 yards (accepted) (no play),2.110,3.510
3,12:19,1,10,CHI 31,6,10,Ronnie Rivers right end for 11 yards (tackle by Chris Williams),3.510,4.240
3,11:41,1,10,CHI 20,6,10,Kyren Williams right guard for 2 yards (tackle by T.J. Edwards),4.240,3.960
3,11:02,2,8,CHI 18,6,10,Matthew Stafford pass complete short left to Colby Parkinson for 7 yards (tackle by Jaylon Johnson),3.960,4.590
3,10:22,3,1,CHI 11,6,10,Kyren Williams right guard for 2 yards (tackle by Andrew Billings and Kyler Gordon),4.590,5.140
3,9:45,1,9,CHI 9,6,10,Matthew Stafford pass incomplete short left intended for Jordan Whittington,5.140,4.380
3,9:34,2,9,CHI 9,6,10,Matthew Stafford pass complete short left to Kyren Williams for 2 yards (tackle by Tyrique Stevenson),4.380,3.810
3,8:59,3,7,CHI 7,6,10,Matthew Stafford pass incomplete short right intended for Tutu Atwell,3.810,2.970
3,8:54,4,7,CHI 7,9,10,Joshua Karty 25 yard field goal good,2.970,3.000
3,8:50,,,LAR 35,9,10,Ethan Evans kicks off 66 yards returned by DeAndre Carter for 27 yards (tackle by Jaylen McCollough and Omar Speights),0.000,0.670
3,8:43,1,10,CHI 26,9,10,D'Andre Swift right guard for 4 yards (tackle by Troy Reeder and Christian Rozeboom),0.670,0.670
3,8:04,2,6,CHI 30,9,10,Caleb Williams pass complete short right to Cole Kmet for 10 yards (tackle by Christian Rozeboom),0.670,1.600
3,7:26,1,10,CHI 40,9,10,D'Andre Swift left end for 9 yards (tackle by Quentin Lake),1.600,2.270
3,6:50,2,1,CHI 49,9,10,Caleb Williams pass complete short left to D'Andre Swift for 11 yards (tackle by Christian Rozeboom),2.270,2.920
3,6:10,1,10,LAR 40,9,10,D'Andre Swift right tackle for no gain (tackle by Kobie Turner and Byron Young),2.920,2.370
3,5:30,2,10,LAR 40,9,10,Caleb Williams pass complete short left to D'Andre Swift for 7 yards (tackle by Troy Reeder and Kamren Kinchens),2.370,2.610
3,4:48,3,3,LAR 33,9,10,Roschon Johnson left guard for 8 yards (tackle by Kamren Kinchens and Byron Young),2.610,3.910
3,4:16,1,10,LAR 25,9,10,Caleb Williams pass complete short left to Keenan Allen for 6 yards (tackle by Kamren Kinchens),3.910,4.200
3,3:44,2,4,LAR 19,9,10,Roschon Johnson left guard for 5 yards (tackle by Jared Verse),4.200,4.650
3,3:18,1,10,LAR 14,9,10,Caleb Williams pass incomplete short left intended for D.J. Moore,4.650,4.000
3,3:11,2,10,LAR 14,9,10,Caleb Williams left end for 5 yards (tackle by Quentin Lake),4.000,4.050
3,2:43,3,5,LAR 9,9,16,Caleb Williams pass complete short middle to D.J. Moore for 9 yards touchdown,4.050,7.000
3,2:37,,,LAR 15,9,17,Cairo Santos kicks extra point good,0.000,0.000
3,2:37,,,CHI 35,9,17,Cairo Santos kicks off 65 yards touchback.,0.000,0.940
3,2:37,1,10,LAR 30,9,17,Matthew Stafford pass complete short left to Jordan Whittington for 16 yards (tackle by Kevin Byard),0.940,1.990
3,1:58,1,10,LAR 46,9,17,Matthew Stafford pass complete deep left to Tutu Atwell for 25 yards (tackle by Jaquan Brisker),1.990,3.640
3,1:29,1,10,CHI 29,9,17,Kyren Williams up the middle for 7 yards (tackle by DeMarcus Walker and Kyler Gordon),3.640,4.050
3,0:53,2,3,CHI 22,9,17,Kyren Williams right end for 14 yards (tackle by Kevin Byard),4.050,5.370
3,0:20,1,8,CHI 8,9,17,Kyren Williams right guard for 5 yards (tackle by Kevin Byard and T.J. Edwards),5.370,5.530
4,15:00,2,3,CHI 3,15,17,Kyren Williams left guard for 3 yards touchdown,5.530,7.000
4,14:55,,,CHI 2,15,17,Two Point Attempt: Matthew Stafford pass incomplete,1.000,-1.000
4,14:55,,,LAR 35,15,17,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
4,14:55,1,10,CHI 30,15,17,Caleb Williams pass complete short left to D.J. Moore for 7 yards (tackle by Tre'Davious White),0.940,1.340
4,14:13,2,3,CHI 37,15,17,Caleb Williams pass complete short right to D'Andre Swift for 5 yards (tackle by Christian Rozeboom),1.340,1.730
4,13:25,1,10,CHI 42,15,17,Penalty on Cole Kmet: False Start 5 yards (accepted) (no play),1.730,1.400
4,13:09,1,15,CHI 37,15,17,D'Andre Swift left tackle for 5 yards (tackle by Michael Hoecht and Kamren Kinchens),1.400,1.190
4,12:56,2,10,CHI 42,15,17,Caleb Williams pass complete deep middle to Cole Kmet for 22 yards (tackle by Christian Rozeboom),1.190,3.180
4,12:33,1,10,LAR 36,15,23,D'Andre Swift left guard for 36 yards touchdown,3.180,7.000
4,12:26,,,LAR 15,15,24,Cairo Santos kicks extra point good,0.000,0.000
4,12:26,,,CHI 35,15,24,Cairo Santos kicks off 65 yards touchback.,0.000,0.940
4,12:26,1,10,LAR 30,15,24,Matthew Stafford pass complete deep middle to Demarcus Robinson for 18 yards (tackle by Jaquan Brisker),0.940,2.130
4,11:50,1,10,LAR 48,15,24,Ronnie Rivers left end for -1 yards (tackle by Jaylon Johnson and Jaquan Brisker),2.130,1.450
4,11:07,2,11,LAR 47,15,24,Matthew Stafford pass complete deep middle to Tutu Atwell for 17 yards (tackle by Jaquan Brisker),1.450,3.180
4,10:24,1,10,CHI 36,15,24,Matthew Stafford pass incomplete short left intended for Tyler Johnson,3.180,2.640
4,10:15,,,,,,Timeout #1 by Los Angeles Rams,,
4,10:15,2,10,CHI 36,15,24,Matthew Stafford sacked by Jaquan Brisker for -9 yards,2.640,0.760
4,9:34,3,19,CHI 45,15,24,Matthew Stafford pass complete short middle to Colby Parkinson for 11 yards (tackle by Kyler Gordon),0.760,1.060
4,8:52,4,8,CHI 34,18,24,Joshua Karty 52 yard field goal good,1.060,3.000
4,8:47,,,LAR 35,18,24,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
4,8:47,1,10,CHI 30,18,24,D'Andre Swift right guard for -1 yards (tackle by Jared Verse),0.940,0.260
4,8:09,2,11,CHI 29,18,24,Caleb Williams pass complete short right to D'Andre Swift for 9 yards (tackle by Bobby Brown and Christian Rozeboom),0.260,0.760
4,7:25,3,2,CHI 38,18,24,Penalty on Cole Kmet: False Start 5 yards (accepted) (no play),0.760,0.100
4,7:25,3,7,CHI 33,18,24,Caleb Williams sacked by Quentin Lake for -7 yards,0.100,-1.630
4,6:35,4,14,CHI 26,18,24,Tory Taylor punts 66 yards out of bounds,-1.630,0.380
4,6:25,1,10,LAR 8,18,24,Kyren Williams right end for -1 yards (tackle by Tremaine Edmunds),-0.380,-0.850
4,5:44,2,11,LAR 7,18,24,Kyren Williams right guard for 4 yards (tackle by Kyler Gordon),-0.850,-1.070
4,5:08,3,7,LAR 11,18,24,Matthew Stafford pass complete short left to Kyren Williams for 5 yards (tackle by Jaylon Johnson and Jaquan Brisker),-1.070,-2.390
4,4:28,4,2,LAR 16,18,24,Ethan Evans punts 67 yards returned by DeAndre Carter for 16 yards (tackle by Jake Hummel and Ronnie Rivers). Penalty on Cam Lampkin: Player Out of Bounds on a Punt 5 yards (accepted),-2.390,-1.470
4,4:14,1,10,CHI 38,18,24,D'Andre Swift right guard for 7 yards (tackle by Neville Gallimore and Christian Rozeboom),1.470,1.870
4,3:28,2,3,CHI 45,18,24,D'Andre Swift right guard for 2 yards (tackle by Neville Gallimore),1.870,1.420
4,2:49,3,1,CHI 47,18,24,Roschon Johnson right tackle for 3 yards (tackle by Bobby Brown and Quentin Lake),1.420,2.260
4,2:35,,,,,,Timeout #2 by Los Angeles Rams,,
4,2:35,1,10,LAR 50,18,24,D'Andre Swift left end for 3 yards (tackle by Christian Rozeboom and Jared Verse),2.260,2.120
4,2:29,,,,,,Timeout #3 by Los Angeles Rams,,
4,2:29,2,7,LAR 47,18,24,D'Andre Swift left tackle for 2 yards (tackle by Quentin Lake and Braden Fiske),2.120,1.690
4,2:00,3,5,LAR 45,18,24,Caleb Williams left end for 2 yards (tackle by Braden Fiske),1.690,0.400
4,1:13,,,,,,Timeout #1 by Chicago Bears,,
4,1:13,4,3,LAR 43,18,24,Tory Taylor punts 35 yards,0.400,0.380
4,1:03,1,10,LAR 8,18,24,Matthew Stafford pass short left intended for Demarcus Robinson is intercepted by Jaquan Brisker at LA-18 and returned for no gain (tackle by Tutu Atwell),-0.380,-4.370
4,0:56,1,10,LAR 18,18,24,Caleb Williams kneels for -1 yards,4.370,3.670
4,0:33,2,11,LAR 19,18,24,Caleb Williams kneels for -1 yards,3.670,2.870
