Quarter,Time,Down,ToGo,Location,JAX,HOU,Detail,EPB,EPA
2,14:54,4,4,JAX 16,10,7,Logan Cooke punts 58 yards fair catch by Robert Woods at HOU-26,-2.390,-0.670
2,14:46,1,10,HOU 26,10,7,C.J. Stroud sacked by Jeremiah Ledbetter for -1 yards,0.670,-0.010
2,14:06,2,11,HOU 25,10,7,Penalty on Shaq Mason: False Start 5 yards (accepted) (no play),-0.010,-0.680
2,13:45,2,16,HOU 20,10,7,C.J. Stroud pass complete short middle to Cade Stover for 27 yards (tackle by Andre Cisco),-0.680,2.060
2,13:07,1,10,HOU 47,10,7,C.J. Stroud pass complete short right to Robert Woods for 10 yards (tackle by Ventrell Miller),2.060,2.720
2,12:29,1,10,JAX 43,10,7,Cam Akers right guard for no gain (tackle by DaVon Hamilton),2.720,2.180
2,11:48,2,10,JAX 43,10,7,Cam Akers left end for 2 yards (tackle by Jarrian Jones and Travon Walker),2.180,1.750
2,11:01,3,8,JAX 41,10,7,C.J. Stroud pass complete short middle to Dare Ogunbowale for 9 yards (tackle by Chad Muma),1.750,3.450
2,10:16,1,10,JAX 32,10,7,C.J. Stroud pass complete short left to Stefon Diggs for 20 yards (tackle by Antonio Johnson and Andre Cisco),3.450,4.780
2,9:33,1,10,JAX 12,10,7,C.J. Stroud pass incomplete short left intended for Nico Collins (defended by Montaric Brown),4.780,4.100
2,9:29,2,10,JAX 12,10,7,Cam Akers left end for -2 yards (tackle by Ventrell Miller),4.100,3.060
2,8:46,3,12,JAX 14,10,7,C.J. Stroud pass incomplete short right intended for Nico Collins. Penalty on Antonio Johnson: Defensive Holding 5 yards (accepted) (no play),3.060,5.140
2,8:38,1,9,JAX 9,10,7,C.J. Stroud pass incomplete short left intended for Nico Collins. Penalty on Kenyon Green: Ineligible Downfield Pass 5 yards (accepted) (no play),5.140,4.440
2,8:35,1,14,JAX 14,10,7,J.J. Taylor left tackle for 7 yards (tackle by Andre Cisco),4.440,4.760
2,7:58,2,7,JAX 7,10,7,J.J. Taylor left tackle for 4 yards (tackle by Josh Hines-Allen),4.760,4.720
2,7:23,3,3,JAX 3,10,13,C.J. Stroud pass complete short middle to Nico Collins for 3 yards touchdown,4.720,7.000
2,7:19,,,JAX 15,10,14,Ka'imi Fairbairn kicks extra point good,0.000,0.000
2,7:19,,,HOU 35,10,14,Ka'imi Fairbairn kicks off 63 yards returned by Devin Duvernay for 25 yards (tackle by Jake Hansen),0.000,0.740
2,7:14,1,10,JAX 27,10,14,Travis Etienne right tackle for 4 yards (tackle by Calen Bullock and Danielle Hunter),0.740,0.740
2,6:32,2,6,JAX 31,10,14,Trevor Lawrence pass complete short right to Brian Thomas for 16 yards (tackle by Kamari Lassiter),0.740,2.060
2,5:50,1,10,JAX 47,10,14,Trevor Lawrence pass complete short left to Travis Etienne for 10 yards (tackle by Jalen Pitre),2.060,2.720
2,5:09,1,10,HOU 43,10,14,Trevor Lawrence pass complete short right to Christian Kirk for 6 yards (tackle by Eric Murray),2.720,2.990
2,4:39,2,4,HOU 37,10,14,Trevor Lawrence pass complete short right to Brenton Strange for 3 yards (tackle by Henry To'oTo'o),2.990,2.680
2,3:57,3,1,HOU 34,10,14,Trevor Lawrence pass incomplete short right intended for Travis Etienne,2.680,1.100
2,3:54,4,1,HOU 34,13,14,Cam Little 52 yard field goal good,1.100,3.000
2,3:49,,,JAX 35,13,14,Cam Little kicks off 65 yards touchback.,0.000,0.940
2,3:49,1,10,HOU 30,13,14,Cam Akers left end for 2 yards (tackle by Ventrell Miller and Josh Hines-Allen),0.940,0.660
2,3:06,2,8,HOU 32,13,14,Cam Akers left end for 2 yards (tackle by Ventrell Miller). Penalty on Kenyon Green: Offensive Holding 10 yards (accepted),0.660,-0.420
2,2:40,2,16,HOU 24,13,14,Cam Akers left end for 9 yards (tackle by Montaric Brown),-0.420,0.100
2,2:00,3,7,HOU 33,13,14,C.J. Stroud pass complete short right to Nico Collins for 23 yards (tackle by Antonio Johnson),0.100,2.650
2,1:02,1,10,JAX 44,13,14,C.J. Stroud pass complete short right to Stefon Diggs for 5 yards (tackle by Montaric Brown). Penalty on Dare Ogunbowale: Offensive Holding 10 yards (accepted),2.650,2.320
2,1:02,1,15,JAX 49,13,14,C.J. Stroud pass complete short middle to Dare Ogunbowale for no gain (tackle by Deantre Prince and Chad Muma). Penalty on Kenyon Green: Ineligible Downfield Pass 5 yards (accepted) (no play),2.320,1.990
2,0:53,1,20,HOU 46,13,14,C.J. Stroud pass complete short right to Nico Collins for 14 yards (tackle by Daniel Thomas),1.990,2.650
2,0:31,2,6,JAX 40,13,14,C.J. Stroud pass complete short right to Stefon Diggs for 6 yards (tackle by Ronald Darby),2.650,3.310
2,0:27,,,,,,Timeout #1 by Houston Texans,,
2,0:27,1,10,JAX 34,13,14,C.J. Stroud pass incomplete deep right,3.310,2.770
2,0:19,2,10,JAX 34,13,14,C.J. Stroud pass complete deep left to Dalton Schultz for 23 yards (tackle by Montaric Brown and Ventrell Miller),2.770,4.840
2,0:10,,,,,,Timeout #2 by Houston Texans,,
2,0:10,1,10,JAX 11,13,14,C.J. Stroud pass incomplete short middle intended for Nico Collins,4.840,4.140
2,0:05,,,,,,Timeout #1 by Jacksonville Jaguars,,
2,0:05,2,10,JAX 11,13,17,Ka'imi Fairbairn 30 yard field goal good,4.140,3.000
2,0:03,,,HOU 35,13,17,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
2,0:03,1,10,JAX 30,13,17,Trevor Lawrence kneels for -1 yards,0.940,0.260
3,15:00,,,JAX 35,13,17,Cam Little kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,HOU 30,13,17,J.J. Taylor right end for 4 yards (tackle by Jarrian Jones),0.940,0.930
3,14:21,2,6,HOU 34,13,17,C.J. Stroud pass incomplete short left intended for Stefon Diggs (defended by Montaric Brown),0.930,0.230
3,14:15,3,6,HOU 34,13,17,C.J. Stroud pass incomplete short left intended for Dalton Schultz (defended by Antonio Johnson),0.230,-1.110
3,14:11,4,6,HOU 34,13,17,Tommy Townsend punts 50 yards out of bounds,-1.110,0.140
3,14:01,1,10,JAX 16,13,17,Penalty on Tim Settle: Encroachment 5 yards (accepted) (no play),-0.140,0.740
3,14:01,1,5,JAX 21,13,17,Trevor Lawrence pass complete deep right to Christian Kirk for 20 yards (tackle by Jalen Pitre),0.740,1.660
3,13:33,1,10,JAX 41,13,17,Trevor Lawrence pass incomplete deep right intended for Christian Kirk,1.660,1.120
3,13:26,2,10,JAX 41,13,17,Trevor Lawrence pass incomplete short left intended for Gabriel Davis,1.120,0.430
3,13:21,3,10,JAX 41,13,17,Trevor Lawrence pass complete deep middle to Brian Thomas for 19 yards (tackle by Kamari Lassiter),0.430,2.920
3,13:09,1,10,HOU 40,13,17,Penalty on Brian Thomas: Unsportsmanlike Conduct / Offense 15 yards (accepted) (no play),2.920,1.930
3,12:56,1,10,JAX 45,13,17,Tank Bigsby up the middle for 1 yard (tackle by Azeez Al-Shaair),1.930,1.520
3,12:05,2,9,JAX 46,13,17,Trevor Lawrence pass incomplete short right intended for Luke Farrell,1.520,0.830
3,12:03,3,9,JAX 46,13,17,Trevor Lawrence sacked by Eric Murray for -14 yards,0.830,-1.240
3,11:21,4,23,JAX 32,13,17,Logan Cooke punts 48 yards returned by Steven Sims for 10 yards (tackle by Logan Cooke),-1.240,-0.940
3,11:08,1,10,HOU 30,13,17,Cam Akers left tackle for 3 yards (tackle by Ventrell Miller),0.940,0.800
3,10:33,2,7,HOU 33,13,17,C.J. Stroud pass incomplete short middle intended for Stefon Diggs (defended by Montaric Brown),0.800,0.100
3,10:29,3,7,HOU 33,13,17,C.J. Stroud pass incomplete short right intended for Stefon Diggs,0.100,-1.180
3,10:23,4,7,HOU 33,13,17,Tommy Townsend punts 41 yards fair catch by Devin Duvernay at JAC-26,-1.180,-0.670
3,10:16,1,10,JAX 26,13,17,Travis Etienne right tackle for 12 yards (tackle by Derek Stingley),0.670,1.470
3,9:38,1,10,JAX 38,13,17,Travis Etienne left guard for 3 yards (tackle by Henry To'oTo'o and Folorunso Fatukasi),1.470,1.330
3,8:57,2,7,JAX 41,13,17,Trevor Lawrence pass complete deep left to Brian Thomas for 32 yards (tackle by Kamari Lassiter) HOU challenged the pass completion ruling and the play was upheld.,1.330,3.780
3,8:27,1,10,HOU 27,13,17,Brian Thomas right end for 13 yards (tackle by Derek Barnett),3.780,4.650
3,7:43,1,10,HOU 14,13,17,Travis Etienne left tackle for 6 yards (tackle by Tim Settle),4.650,5.090
3,6:59,2,4,HOU 8,13,17,Travis Etienne left end for no gain (tackle by Azeez Al-Shaair),5.090,4.280
3,6:21,3,4,HOU 8,19,17,Trevor Lawrence pass complete short right to Christian Kirk for 8 yards touchdown,4.280,7.000
3,6:16,,,HOU 15,20,17,Cam Little kicks extra point good,0.000,0.000
3,6:16,,,JAX 35,20,17,Cam Little kicks off 65 yards touchback.,0.000,0.940
3,6:16,1,10,HOU 30,20,17,C.J. Stroud pass complete short middle to Nico Collins for 11 yards (tackle by Montaric Brown),0.940,1.660
3,5:44,1,10,HOU 41,20,17,J.J. Taylor up the middle for no gain (tackle by Antonio Johnson),1.660,1.120
3,5:10,2,10,HOU 41,20,17,C.J. Stroud pass incomplete short left intended for Robert Woods,1.120,0.430
3,5:04,3,10,HOU 41,20,17,C.J. Stroud pass complete short right to Nico Collins for 6 yards (tackle by Jarrian Jones and Ronald Darby),0.430,-0.260
3,4:38,4,4,HOU 47,20,17,Tommy Townsend punts 41 yards fair catch by Devin Duvernay at JAC-12,-0.260,0.350
3,4:32,1,10,JAX 12,20,17,Trevor Lawrence scrambles right end for 6 yards (tackle by Jalen Pitre),-0.350,-0.070
3,3:55,2,4,JAX 18,20,17,Travis Etienne up the middle for 13 yards (tackle by Will Anderson),-0.070,1.000
3,3:20,1,10,JAX 31,20,17,Travis Etienne left guard for no gain (tackle by Henry To'oTo'o and Mario Edwards),1.000,0.460
3,2:37,2,10,JAX 31,20,17,Trevor Lawrence pass complete short right to Brian Thomas for 7 yards (tackle by Will Anderson),0.460,0.700
3,1:54,3,3,JAX 38,20,17,Tank Bigsby right guard for 58 yards (tackle by Calen Bullock),0.700,6.280
3,1:16,1,4,HOU 4,20,17,Tank Bigsby right guard for 2 yards (tackle by Azeez Al-Shaair),6.280,5.720
3,0:47,2,2,HOU 2,20,17,Tank Bigsby right guard for 1 yard (tackle by Henry To'oTo'o and Danielle Hunter),5.720,5.170
3,0:02,3,1,HOU 1,20,17,Trevor Lawrence pass incomplete short left intended for Gabriel Davis (defended by Derek Stingley),5.170,3.550
4,15:00,4,1,HOU 1,20,17,Trevor Lawrence up the middle for no gain (tackle by Folorunso Fatukasi and Mario Edwards),3.550,0.380
4,14:57,1,10,HOU 1,20,17,C.J. Stroud pass complete short right to Nico Collins for 15 yards (tackle by Antonio Johnson),-0.380,-0.140
4,14:18,1,10,HOU 16,20,17,C.J. Stroud pass complete short middle to Stefon Diggs for 10 yards (tackle by Andre Cisco),-0.140,0.670
4,13:42,1,10,HOU 26,20,17,Cam Akers right guard for 15 yards (tackle by Yasir Abdullah and Chad Muma),0.670,1.660
4,13:00,1,10,HOU 41,20,17,Cam Akers right end for no gain (tackle by Ventrell Miller). Penalty on Shaq Mason: Offensive Holding 10 yards (accepted) (no play),1.660,1.000
4,12:35,1,20,HOU 31,20,17,C.J. Stroud pass incomplete short left intended for J.J. Taylor,1.000,-0.230
4,12:31,2,20,HOU 31,20,17,C.J. Stroud pass complete short right to Stefon Diggs for no gain. Penalty on Dalton Schultz: Illegal Shift 5 yards (accepted) (no play),-0.230,-0.910
4,12:06,2,25,HOU 26,20,17,C.J. Stroud pass complete short right to John Metchie for 7 yards (tackle by Arik Armstead),-0.910,-0.630
4,11:21,3,18,HOU 33,20,17,C.J. Stroud pass complete short right to Dare Ogunbowale for 31 yards (tackle by Jarrian Jones),-0.630,3.180
4,10:34,1,10,JAX 36,20,17,Steven Sims left end for no gain (tackle by Ventrell Miller),3.180,2.640
4,9:52,2,10,JAX 36,20,17,C.J. Stroud scrambles up the middle for no gain (tackle by Yasir Abdullah). Penalty on Laremy Tunsil: Offensive Holding 10 yards (accepted) (no play),2.640,1.290
4,9:23,2,20,JAX 46,20,17,C.J. Stroud pass incomplete short left intended for Stefon Diggs,1.290,0.630
4,9:18,3,20,JAX 46,20,17,C.J. Stroud sacked by Roy Robertson-Harris for -10 yards,0.630,-0.460
4,8:41,4,30,HOU 44,20,17,Tommy Townsend punts 49 yards returned by Devin Duvernay for 2 yards (tackle by Henry To'oTo'o),-0.460,0.380
4,8:31,1,10,JAX 9,20,17,Travis Etienne left tackle for 3 yards (tackle by Kamari Lassiter). Penalty on Folorunso Fatukasi: Defensive Holding 5 yards (accepted),-0.380,-0.060
4,8:07,1,10,JAX 17,20,17,Travis Etienne left end for 2 yards (tackle by Mario Edwards and Eric Murray),-0.060,-0.250
4,7:19,2,8,JAX 19,20,17,Trevor Lawrence pass complete short left to Brian Thomas for 10 yards (tackle by Henry To'oTo'o),-0.250,0.870
4,6:41,1,10,JAX 29,20,17,D'Ernest Johnson up the middle for -1 yards (tackle by Tim Settle),0.870,0.190
4,5:54,2,11,JAX 28,20,17,Trevor Lawrence pass incomplete deep middle intended for Christian Kirk (defended by Calen Bullock),0.190,-0.490
4,5:45,,,,,,Timeout #1 by Jacksonville Jaguars,,
4,5:45,3,11,JAX 28,20,17,Trevor Lawrence pass incomplete short left intended for Brian Thomas (defended by Derek Stingley),-0.490,-1.500
4,5:40,4,11,JAX 28,20,17,Logan Cooke punts 45 yards out of bounds. Penalty on Steven Sims: Unnecessary Roughness / Defense 13 yards (accepted),-1.500,0.280
4,5:34,1,10,HOU 14,20,17,Cam Akers up the middle for 8 yards (tackle by Chad Muma and DaVon Hamilton),-0.280,0.420
4,4:57,2,2,HOU 22,20,17,C.J. Stroud scrambles right end for 5 yards (tackle by Arik Armstead),0.420,0.740
4,4:50,1,10,HOU 27,20,17,C.J. Stroud pass complete short left to Dalton Schultz for 5 yards (tackle by Chad Muma),0.740,0.870
4,4:17,2,5,HOU 32,20,17,Cam Akers left guard for no gain (tackle by Ventrell Miller). Penalty on Laremy Tunsil: Offensive Holding 10 yards (accepted) (no play),0.870,-0.480
4,4:11,2,15,HOU 22,20,17,C.J. Stroud pass incomplete deep right intended for Robert Woods (defended by Ronald Darby),-0.480,-1.150
4,4:06,3,15,HOU 22,20,17,C.J. Stroud pass incomplete deep middle intended for Nico Collins,-1.150,-1.900
4,4:00,4,15,HOU 22,20,17,Tommy Townsend punts 50 yards returned by Devin Duvernay for no gain (tackle by D'Angelo Ross),-1.900,-0.810
4,3:51,1,10,JAX 28,20,17,Travis Etienne left tackle for 1 yard (tackle by Tim Settle),0.810,0.400
4,3:14,2,9,JAX 29,20,17,Trevor Lawrence pass incomplete short right intended for Gabriel Davis (defended by Jalen Pitre),0.400,-0.300
4,3:08,3,9,JAX 29,20,17,Trevor Lawrence pass incomplete short middle intended for Christian Kirk (defended by Eric Murray),-0.300,-1.440
4,3:05,4,9,JAX 29,20,17,Logan Cooke punts 49 yards returned by Robert Woods for 9 yards (tackle by Ventrell Miller),-1.440,-1.000
4,2:54,1,10,HOU 31,20,17,C.J. Stroud scrambles left end for 11 yards (tackle by Chad Muma). Penalty on Antonio Johnson: Illegal Contact 5 yards (accepted),1.000,2.060
4,2:47,1,10,HOU 47,20,17,C.J. Stroud pass complete deep middle to Nico Collins for 26 yards (tackle by Ventrell Miller),2.060,3.780
4,2:04,1,10,JAX 27,20,17,C.J. Stroud pass complete short right to Dare Ogunbowale for 6 yards (tackle by Ronald Darby),3.780,4.040
4,1:55,2,4,JAX 21,20,17,C.J. Stroud pass complete short middle to Nico Collins for 6 yards (tackle by Ronald Darby),4.040,4.580
4,1:13,1,10,JAX 15,20,17,Dare Ogunbowale up the middle for 6 yards (tackle by Yasir Abdullah and Ventrell Miller),4.580,5.030
4,1:08,,,,,,Timeout #2 by Jacksonville Jaguars,,
4,1:08,2,4,JAX 9,20,17,Dare Ogunbowale up the middle for 1 yard (tackle by Maason Smith),5.030,4.450
4,1:04,,,,,,Timeout #3 by Jacksonville Jaguars,,
4,1:04,3,3,JAX 8,20,17,C.J. Stroud pass complete short left to Dalton Schultz for 6 yards (tackle by Maason Smith),4.450,6.740
4,0:30,,,,,,Timeout #2 by Houston Texans,,
4,0:30,1,2,JAX 2,20,17,C.J. Stroud scrambles up the middle for 1 yard (tackle by Maason Smith and Chad Muma),6.740,5.910
4,0:22,,,,,,Timeout #3 by Houston Texans,,
4,0:22,2,1,JAX 1,20,23,C.J. Stroud pass complete short right to Dare Ogunbowale for 1 yard touchdown,5.910,7.000
4,0:18,,,JAX 15,20,24,Ka'imi Fairbairn kicks extra point good,0.000,0.000
4,0:18,,,HOU 35,20,24,Ka'imi Fairbairn kicks off 60 yards returned by Devin Duvernay for 14 yards (tackle by Neville Hewitt). Penalty on Yasir Abdullah: Offensive Illegal Block Above the Waist 9 yards (accepted),0.000,-0.380
4,0:12,1,10,JAX 10,20,24,Trevor Lawrence pass incomplete deep left intended for Gabriel Davis,-0.380,-0.780
4,0:06,2,10,JAX 10,20,24,Trevor Lawrence pass complete short right to Christian Kirk for 3 yards lateral to Gabriel Davis for -7 yards lateral to Trevor Lawrence for -4 yards. Trevor Lawrence fumbles recovered by Travis Etienne at JAC-1 (tackle by Kamari Lassiter),-0.780,-2.470
