Quarter,Time,Down,ToGo,Location,SEA,DET,Detail,EPB,EPA
4,14:48,1,10,DET 30,27,35,Jahmyr Gibbs left tackle for 7 yards (tackle by Tyrice Knight),0.940,1.340
4,14:10,2,3,DET 37,27,35,Jahmyr Gibbs up the middle for 2 yards (tackle by Jarran Reed),1.340,0.890
4,13:32,3,1,DET 39,27,35,David Montgomery right end for -2 yards (tackle by Tyrel Dodson),0.890,-0.910
4,12:55,4,3,DET 37,27,35,Jack Fox punts 42 yards fair catch by Dee Williams at SEA-21,-0.910,-0.340
4,12:49,1,10,SEA 21,27,35,Geno Smith pass complete short right to Zach Charbonnet for 3 yards (tackle by Carlton Davis),0.340,0.210
4,12:14,2,7,SEA 24,27,35,Geno Smith pass complete short right to AJ Barner for 18 yards (tackle by Terrion Arnold and Brandon Joseph),0.210,1.730
4,11:44,1,10,SEA 42,27,35,Zach Charbonnet up the middle for 12 yards (tackle by Alex Anzalone and Carlton Davis),1.730,2.520
4,11:14,1,10,DET 46,27,35,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 8 yards (tackle by Jack Campbell),2.520,3.060
4,10:28,2,2,DET 38,27,35,Zach Charbonnet right end for 3 yards (tackle by Jack Campbell). Penalty on D.K. Metcalf: Offensive Holding 10 yards (accepted),3.060,2.110
4,10:05,2,9,DET 45,27,35,Geno Smith pass complete short left to Zach Charbonnet for 6 yards (tackle by Amik Robertson),2.110,2.210
4,9:21,3,3,DET 39,27,35,Geno Smith pass incomplete short right intended for Tyler Lockett (defended by Amik Robertson),2.210,0.660
4,9:18,4,3,DET 39,27,35,Geno Smith pass complete to Jaxon Smith-Njigba for no gain (tackle by Amik Robertson). Penalty on Tyler Lockett: Offensive Pass Interference 10 yards (accepted) (no play),0.660,0.000
4,9:02,4,13,DET 49,27,35,Penalty on Zach Charbonnet: False Start 5 yards (accepted) (no play),0.000,-0.320
4,9:02,4,18,SEA 46,27,35,Michael Dickson punts 54 yards touchback.,-0.320,-0.280
4,8:57,1,10,DET 20,27,35,Jared Goff pass complete deep right to Tim Patrick for 29 yards (tackle by Rayshawn Jenkins),0.280,2.190
4,8:15,1,10,DET 49,27,35,Jahmyr Gibbs up the middle for 3 yards (tackle by Tyrel Dodson and Rayshawn Jenkins),2.190,2.050
4,7:41,2,7,SEA 48,27,35,Jahmyr Gibbs up the middle for 8 yards (tackle by K'Von Wallace and Coby Bryant),2.050,2.920
4,7:03,1,10,SEA 40,27,35,Jared Goff pass complete short middle to Sam LaPorta for 30 yards (tackle by Riq Woolen and Tyrel Dodson),2.920,4.910
4,6:17,1,10,SEA 10,27,35,Jared Goff pass incomplete short left intended for Sam LaPorta. Penalty on Brock Wright: Offensive Pass Interference 10 yards (accepted) (no play),4.910,4.240
4,6:13,1,20,SEA 20,27,35,Jahmyr Gibbs left end for 8 yards (tackle by Coby Bryant),4.240,3.860
4,5:36,2,12,SEA 12,27,35,Jahmyr Gibbs up the middle for 4 yards (tackle by Myles Adams),3.860,3.580
4,5:29,,,,,,Timeout #1 by Seattle Seahawks,,
4,5:29,3,8,SEA 8,27,41,Jared Goff pass complete short left to Amon-Ra St. Brown for 8 yards touchdown,3.580,7.000
4,5:23,,,SEA 15,27,42,Jake Bates kicks extra point good,0.000,0.000
4,5:23,,,DET 35,27,42,Jake Bates kicks off 65 yards touchback.,0.000,0.940
4,5:23,1,10,SEA 30,27,42,Geno Smith sacked by and Levi Onwuzurike for -2 yards and Alim McNeill for -2 yards,0.940,0.120
4,4:51,2,12,SEA 28,27,42,Geno Smith pass complete short left to Kenneth Walker for 13 yards (tackle by Amik Robertson),0.120,1.660
4,4:25,1,10,SEA 41,27,42,Geno Smith pass complete short middle to Tyler Lockett for 13 yards (tackle by Amik Robertson),1.660,2.520
4,3:58,1,10,DET 46,27,42,Geno Smith pass incomplete deep left intended for Jaxon Smith-Njigba,2.520,1.980
4,3:54,2,10,DET 46,27,42,Geno Smith pass complete short left to Noah Fant for 10 yards (tackle by Kerby Joseph),1.980,3.180
4,3:18,1,10,DET 36,27,42,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 4 yards (tackle by Amik Robertson),3.180,3.180
4,2:54,2,6,DET 32,27,42,Geno Smith pass incomplete deep right intended for D.K. Metcalf. Penalty on James Houston: Defensive Offside 5 yards (accepted) (no play),3.180,3.850
4,2:45,2,1,DET 27,27,42,Geno Smith pass complete short left to Jake Bobo for 9 yards (tackle by Alex Anzalone),3.850,4.370
4,2:40,1,10,DET 18,27,42,Geno Smith scrambles right end for 11 yards (tackle by Amik Robertson). Penalty on Terrion Arnold: Defensive Holding 4 yards (accepted),4.370,6.510
4,2:33,1,3,DET 3,27,42,Geno Smith pass incomplete short left intended for Tyler Lockett (defended by Alim McNeill),6.510,5.530
4,2:28,2,3,DET 3,27,42,Geno Smith pass incomplete short middle intended for Jaxon Smith-Njigba (defended by Alex Anzalone),5.530,4.720
4,2:25,3,3,DET 3,27,42,Geno Smith pass incomplete short left intended for D.K. Metcalf (defended by Carlton Davis),4.720,3.040
4,2:16,4,3,DET 3,27,42,Geno Smith pass incomplete short left intended for Tyler Lockett,3.040,0.380
4,2:09,1,10,DET 4,27,42,David Montgomery right tackle for no gain (tackle by Tyrel Dodson),-0.380,-0.780
4,2:05,,,,,,Timeout #2 by Seattle Seahawks,,
4,2:05,2,10,DET 4,29,42,Jared Goff sacked by Dre'Mont Jones for -4 yards safety.,-0.780,-2.000
4,2:01,,,DET 20,29,42,Jake Bates kicks off 76 yards returned by Dee Williams for 26 yards (tackle by Jake Bates). Penalty on Dareke Young: Offensive Holding 10 yards (accepted),0.000,0.280
4,1:54,1,10,SEA 20,29,42,Geno Smith pass complete deep right to D.K. Metcalf for 21 yards (tackle by Carlton Davis),0.280,1.660
4,1:48,1,10,SEA 41,29,42,Geno Smith scrambles right end for 11 yards (tackle by Alex Anzalone),1.660,2.390
4,1:20,1,10,DET 48,29,42,Geno Smith pass incomplete short right,2.390,1.850
4,1:16,2,10,DET 48,29,42,Geno Smith pass incomplete short left intended for Jake Bobo. Penalty on Terrion Arnold: Defensive Pass Interference 13 yards (accepted) (no play),1.850,3.250
4,1:11,1,10,DET 35,29,42,Geno Smith pass incomplete deep middle intended for Tyler Lockett. Penalty on Levi Onwuzurike: Roughing the Passer 15 yards (accepted) (no play),3.250,4.240
4,1:06,,,,,,Timeout #1 by Detroit Lions,,
4,1:06,1,10,DET 20,29,42,Geno Smith pass deep middle intended for Jaxon Smith-Njigba is intercepted by Kerby Joseph in end zone and returned for no gain,4.240,-0.280
4,1:00,1,10,DET 20,29,42,Jared Goff kneels for -1 yards,0.280,-0.460
4,0:28,2,11,DET 19,29,42,Jared Goff kneels for -1 yards,-0.460,-1.330
