Quarter,Time,Down,ToGo,Location,MIA,HOU,Detail,EPB,EPA
1,2:24,2,1,MIA 39,0,3,De'Von Achane right tackle for 1 yard (tackle by Mario Edwards),1.610,1.600
1,1:42,1,10,MIA 40,0,3,De'Von Achane up the middle for 5 yards (tackle by Henry To'oTo'o),1.600,1.730
1,0:59,2,5,MIA 45,0,3,Tua Tagovailoa pass complete short left to De'Von Achane for 13 yards (tackle by Kamari Lassiter),1.730,2.790
1,0:51,1,10,HOU 42,0,3,Penalty on Jackson Carman: Unnecessary Roughness / Offense 15 yards (offset) Penalty on Denico Autry: Unnecessary Roughness / Defense 15 yards (offset),2.790,2.790
1,0:35,1,10,HOU 42,0,3,De'Von Achane left end for 5 yards (tackle by Eric Murray),2.790,2.920
2,15:00,2,5,HOU 37,0,3,Tua Tagovailoa pass complete short right to Raheem Mostert for 7 yards (tackle by Jimmie Ward),2.920,3.580
2,14:19,1,10,HOU 30,0,3,Tua Tagovailoa pass complete short left to Malik Washington for 5 yards (tackle by Jimmie Ward),3.580,3.710
2,13:42,2,5,HOU 25,0,3,Raheem Mostert right guard for -2 yards (tackle by Tim Settle),3.710,2.740
2,12:59,3,7,HOU 27,0,3,Tua Tagovailoa scrambles left end for no gain (tackle by Kamari Lassiter and Mario Edwards). Penalty on Robert Jones: Offensive Holding 9 yards (accepted) (no play),2.740,1.550
2,12:26,3,16,HOU 36,0,3,Tua Tagovailoa pass complete short right to De'Von Achane for -1 yards (tackle by Danielle Hunter and Kamari Lassiter),1.550,0.790
2,11:40,4,17,HOU 37,3,3,Jason Sanders 55 yard field goal good,0.790,3.000
2,11:35,,,MIA 35,3,3,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
2,11:35,1,10,HOU 30,3,3,Joe Mixon left end for -2 yards (tackle by Jordyn Brooks),0.940,0.120
2,11:06,2,12,HOU 28,3,3,C.J. Stroud pass complete short right to Nico Collins for -3 yards (tackle by Kader Kohou),0.120,-0.960
2,10:23,3,15,HOU 25,3,3,C.J. Stroud pass incomplete short right intended for Nico Collins,-0.960,-1.700
2,10:18,4,15,HOU 25,3,3,Tommy Townsend punts 57 yards returned by Malik Washington for 8 yards (tackle by Jeff Okudah and Dylan Horton),-1.700,-0.670
2,10:07,1,10,MIA 26,3,3,Tua Tagovailoa pass incomplete deep left intended for Tyreek Hill. Penalty on Mario Edwards: Roughing the Passer 15 yards (accepted) (no play),0.670,1.660
2,10:02,1,10,MIA 41,3,3,Raheem Mostert left guard for 6 yards (tackle by Henry To'oTo'o),1.660,1.930
2,9:36,2,4,MIA 47,3,3,Tua Tagovailoa pass incomplete short left intended for Jaylen Waddle,1.930,1.220
2,9:33,3,4,MIA 47,3,3,Tua Tagovailoa sacked by Will Anderson for -13 yards. Tua Tagovailoa fumbles (forced by Will Anderson) recovered by Tim Settle at MIA-30 and returned for 2 yards (tackle by Jackson Carman),1.220,-3.710
2,9:25,1,10,MIA 28,3,3,C.J. Stroud pass complete short left to Tank Dell for 15 yards (tackle by Kendall Fuller),3.710,4.710
2,8:41,1,10,MIA 13,3,3,Joe Mixon up the middle for 1 yard (tackle by Jalen Ramsey),4.710,4.220
2,8:00,2,9,MIA 12,3,3,Penalty on Benito Jones: Encroachment 5 yards (accepted) (no play),4.220,5.150
2,7:35,2,4,MIA 7,3,3,Joe Mixon left guard for 1 yard (tackle by Calais Campbell and Jalen Ramsey),5.150,4.560
2,6:51,3,3,MIA 6,3,9,C.J. Stroud pass complete short middle to Nico Collins for 6 yards touchdown,4.560,7.000
2,6:45,,,MIA 15,3,10,Ka'imi Fairbairn kicks extra point good,0.000,0.000
2,6:45,,,HOU 35,3,10,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
2,6:45,1,10,MIA 30,3,10,Tua Tagovailoa pass complete short right to Malik Washington for 20 yards (tackle by Henry To'oTo'o),0.940,2.260
2,6:07,1,10,HOU 50,3,10,Tua Tagovailoa pass complete short middle to Jonnu Smith for 8 yards (tackle by Christian Harris),2.260,2.790
2,5:27,2,2,HOU 42,3,10,De'Von Achane left tackle for 3 yards (tackle by Eric Murray and Henry To'oTo'o),2.790,2.980
2,4:50,1,10,HOU 39,3,10,Tua Tagovailoa pass complete short right to Grant Dubose for -2 yards (tackle by Derek Stingley and Jimmie Ward),2.980,2.170
2,4:08,2,12,HOU 41,3,10,Tua Tagovailoa pass complete short left to Jonnu Smith for 5 yards (tackle by Tommy Togiai). Penalty on Eric Murray: Low Block 15 yards (accepted),2.170,4.170
2,3:41,1,10,HOU 21,3,10,De'Von Achane left end for 7 yards (tackle by Christian Harris),4.170,4.740
2,2:58,2,3,HOU 14,3,10,De'Von Achane right end for 3 yards (tackle by Calen Bullock). Penalty on Tyreek Hill: Offensive Holding 10 yards (accepted),4.740,3.630
2,2:30,2,10,HOU 21,3,10,Tua Tagovailoa pass incomplete deep middle intended for Jonnu Smith (defended by Calen Bullock),3.630,2.940
2,2:26,3,10,HOU 21,3,10,Tua Tagovailoa pass complete short middle to De'Von Achane for 3 yards. De'Von Achane fumbles (forced by Henry To'oTo'o) recovered by Aaron Brewer at HOU-18,2.940,2.250
2,2:00,4,7,HOU 18,6,10,Jason Sanders 36 yard field goal good,2.250,3.000
2,1:57,,,MIA 35,6,10,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
2,1:57,1,10,HOU 30,6,10,C.J. Stroud pass complete short left to Dalton Schultz for 9 yards (tackle by Kader Kohou and Anthony Walker),0.940,1.610
2,1:17,2,1,HOU 39,6,10,C.J. Stroud pass incomplete short right intended for Dalton Schultz,1.610,0.890
2,1:14,,,,,,Timeout #1 by Houston Texans,,
2,1:14,3,1,HOU 39,6,10,C.J. Stroud pass complete short left to John Metchie for 10 yards (tackle by Jordyn Brooks and Emmanuel Ogbah),0.890,2.190
2,0:53,1,10,HOU 49,6,10,C.J. Stroud aborted snap recovered by Jordyn Brooks at HOU-49 and returned for 11 yards (tackle by Shaq Mason),2.190,-3.050
2,0:42,1,10,HOU 38,6,10,Tua Tagovailoa pass complete short middle to Durham Smythe for no gain (tackle by Christian Harris). Penalty on Liam Eichenberg: Offensive Holding 10 yards (accepted) (no play),3.050,2.390
2,0:38,,,,,,Timeout #1 by Miami Dolphins,,
2,0:38,1,20,HOU 48,6,10,Tua Tagovailoa pass complete short right to Tyreek Hill for no gain (tackle by Jimmie Ward). Penalty on Danielle Hunter: Defensive Holding 5 yards (accepted) (no play),2.390,2.720
2,0:30,1,10,HOU 43,6,10,Tua Tagovailoa pass complete short right to De'Von Achane for 4 yards (tackle by Jimmie Ward),2.720,2.720
2,0:25,,,,,,Timeout #2 by Miami Dolphins,,
2,0:25,2,6,HOU 39,6,10,Tua Tagovailoa pass short middle intended for Tyreek Hill is intercepted by Calen Bullock at HOU-27 and returned for 68 yards (tackle by De'Von Achane),2.720,-6.060
2,0:13,1,5,MIA 5,6,10,C.J. Stroud sacked by Anthony Walker for no gain,6.060,5.150
2,0:07,,,,,,Timeout #3 by Miami Dolphins,,
2,0:07,2,5,MIA 5,6,10,C.J. Stroud pass incomplete short left intended for John Metchie (defended by Kader Kohou),5.150,4.260
2,0:03,3,5,MIA 5,6,13,Ka'imi Fairbairn 23 yard field goal good,4.260,3.000
3,15:00,,,MIA 35,6,13,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,HOU 30,6,13,Joe Mixon left end for 4 yards (tackle by Jordan Poyer),0.940,0.930
3,14:23,2,6,HOU 34,6,13,C.J. Stroud scrambles up the middle for 3 yards (tackle by Emmanuel Ogbah),0.930,0.630
3,13:39,3,3,HOU 37,6,13,C.J. Stroud pass complete short right to Tank Dell for 11 yards (tackle by Jordyn Brooks),0.630,2.130
3,13:09,1,10,HOU 48,6,13,C.J. Stroud pass complete short middle to Joe Mixon for 8 yards (tackle by Anthony Walker),2.130,2.660
3,12:28,2,2,MIA 44,6,13,C.J. Stroud pass incomplete deep left intended for Nico Collins,2.660,1.950
3,12:23,3,2,MIA 44,6,13,C.J. Stroud pass incomplete deep right intended for John Metchie,1.950,0.330
3,12:17,4,2,MIA 44,6,13,Dare Ogunbowale right end for 35 yards. Dare Ogunbowale fumbles (forced by Patrick McMorris) recovered by Patrick McMorris at MIA-9 Replay Assistant challenged the runner was down by contact ruling and the original play was overturned. Dare Ogunbowale right end for 35 yards. Penalty on Calais Campbell: Unnecessary Roughness / Defense 5 yards (accepted) (tackle by Patrick McMorris),0.330,6.280
3,11:53,1,4,MIA 4,6,13,Joe Mixon left end for -2 yards (tackle by Kendall Fuller),6.280,4.950
3,11:09,2,6,MIA 6,6,19,C.J. Stroud pass complete short right to Nico Collins for 6 yards touchdown,4.950,7.000
3,11:02,,,MIA 15,6,20,Ka'imi Fairbairn kicks extra point good,0.000,0.000
3,11:02,,,HOU 35,6,20,Ka'imi Fairbairn kicks off 59 yards returned by Malik Washington for 21 yards (tackle by Neville Hewitt and Del'Shawn Phillips),0.000,0.740
3,10:57,1,10,MIA 27,6,20,Tua Tagovailoa pass complete short right to Malik Washington for 14 yards (tackle by Tommy Togiai and Calen Bullock),0.740,1.660
3,10:18,1,10,MIA 41,6,20,Raheem Mostert right tackle for 1 yard (tackle by Will Anderson and Tommy Togiai),1.660,1.260
3,9:39,2,9,MIA 42,6,20,Tua Tagovailoa pass incomplete short right intended for Grant Dubose. Penalty on Calen Bullock: Unnecessary Roughness / Defense 15 yards (accepted) (no play),1.260,2.720
3,9:34,1,10,HOU 43,6,20,Tua Tagovailoa pass complete short right to Jonnu Smith for 3 yards (tackle by Christian Harris and Henry To'oTo'o),2.720,2.580
3,8:53,2,7,HOU 40,6,20,Tua Tagovailoa pass complete short right to De'Von Achane for 10 yards (tackle by Henry To'oTo'o and Jimmie Ward),2.580,3.580
3,8:15,1,10,HOU 30,6,20,Tua Tagovailoa pass incomplete short left,3.580,3.030
3,8:08,2,10,HOU 30,6,20,De'Von Achane left tackle for 4 yards (tackle by Derek Barnett),3.030,2.870
3,7:27,3,6,HOU 26,6,20,Tua Tagovailoa pass complete short left to Raheem Mostert for no gain (tackle by Christian Harris). Penalty on Jackson Carman: Offensive Holding 10 yards (accepted) (no play),2.870,1.550
3,7:01,3,16,HOU 36,6,20,Tua Tagovailoa pass complete deep right to Tyreek Hill for 21 yards (tackle by Calen Bullock),1.550,4.580
3,6:24,1,10,HOU 15,6,20,De'Von Achane left end for 1 yard (tackle by Tim Settle),4.580,4.110
3,5:42,2,9,HOU 14,6,20,Tua Tagovailoa pass complete short left to Jonnu Smith for no gain (tackle by Kamari Lassiter),4.110,3.240
3,4:59,3,9,HOU 14,6,20,Tua Tagovailoa pass complete short left to Raheem Mostert for 2 yards (tackle by Christian Harris). Penalty on River Cracraft: Offensive Facemask 15 yards (declined),3.240,2.630
3,4:40,4,7,HOU 12,6,20,Jason Sanders yard field goal good. Penalty on M.J. Stewart: Defensive Offside 5 yards (accepted) (no play),2.630,3.000
3,4:37,4,2,HOU 7,12,20,Tua Tagovailoa pass complete short right to Jonnu Smith for 7 yards touchdown. Penalty on Kamari Lassiter: Illegal Contact 5 yards (declined),3.000,7.000
3,4:30,,,HOU 15,12,20,Jason Sanders kicks extra point no good,0.000,-1.000
3,4:30,,,MIA 35,12,20,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
3,4:30,1,10,HOU 30,12,20,C.J. Stroud pass complete short left to Joe Mixon for 5 yards (tackle by Jevon Holland),0.940,1.070
3,3:44,2,5,HOU 35,12,20,Joe Mixon up the middle for 3 yards (tackle by Quinton Bell and Anthony Walker),1.070,0.760
3,3:03,3,2,HOU 38,12,20,C.J. Stroud sacked by Chop Robinson for -7 yards,0.760,-1.310
3,2:22,4,9,HOU 31,12,20,Tommy Townsend punts 58 yards returned by Malik Washington for 16 yards (tackle by Kris Boyd and M.J. Stewart),-1.310,-0.740
3,2:10,1,10,MIA 27,12,20,Jaylen Wright left guard for 3 yards (tackle by Jake Hansen and Henry To'oTo'o),0.740,0.600
3,1:28,2,7,MIA 30,12,20,Tua Tagovailoa pass complete short left to Jonnu Smith for 6 yards (tackle by Kamari Lassiter),0.600,0.700
3,0:45,3,1,MIA 36,12,20,Raheem Mostert right guard for 1 yard (tackle by Danielle Hunter),0.700,1.400
3,0:18,1,10,MIA 37,12,20,Tua Tagovailoa pass complete short middle to Durham Smythe for 8 yards (tackle by Jimmie Ward),1.400,1.940
4,15:00,2,2,MIA 45,12,20,Raheem Mostert left end for no gain (tackle by Christian Harris),1.940,1.220
4,14:30,3,2,MIA 45,12,20,Tua Tagovailoa pass complete short right to Tyreek Hill for 15 yards (tackle by Derek Stingley),1.220,2.920
4,14:01,1,10,HOU 40,12,20,Raheem Mostert left tackle for 2 yards (tackle by Christian Harris and Denico Autry),2.920,2.640
4,13:21,2,8,HOU 38,12,20,Tua Tagovailoa pass complete short right to Raheem Mostert for 4 yards (tackle by Jimmie Ward and Henry To'oTo'o),2.640,2.480
4,12:48,3,4,HOU 34,12,20,Tua Tagovailoa pass incomplete short left intended for Malik Washington (defended by Jimmie Ward),2.480,1.080
4,12:44,,,,,,Timeout #1 by Miami Dolphins,,
4,12:44,4,4,HOU 34,12,20,Tua Tagovailoa pass complete short left to Jonnu Smith for 9 yards (tackle by Calen Bullock),1.080,3.910
4,12:01,1,10,HOU 25,12,20,Tua Tagovailoa pass complete short right to Jonnu Smith for no gain (tackle by Eric Murray),3.910,3.360
4,11:18,2,10,HOU 25,12,20,Tua Tagovailoa pass complete short left to Malik Washington for 5 yards (tackle by Kamari Lassiter),3.360,3.340
4,10:34,3,5,HOU 20,12,20,Tua Tagovailoa pass short right intended for Tyreek Hill is intercepted by Derek Stingley at HOU-8 and returned for 10 yards (tackle by Tyreek Hill),3.340,-0.040
4,10:26,1,10,HOU 18,12,20,C.J. Stroud pass complete short left to Joe Mixon for 4 yards (tackle by Jordyn Brooks),0.040,0.140
4,9:51,2,6,HOU 22,12,20,Joe Mixon left tackle for 5 yards (tackle by Jordyn Brooks),0.140,-0.020
4,9:17,3,1,HOU 27,12,20,C.J. Stroud scrambles right end for 3 yards (tackle by Anthony Walker),-0.020,0.940
4,8:33,1,10,HOU 30,12,20,Joe Mixon up the middle for 5 yards (tackle by Anthony Walker),0.940,1.070
4,7:50,2,5,HOU 35,12,20,C.J. Stroud pass complete short right to Dalton Schultz for no gain (tackle by Jalen Ramsey and Chop Robinson). Penalty on Blake Fisher: Offensive Holding 10 yards (accepted) (no play),1.070,-0.280
4,7:22,2,15,HOU 25,12,20,C.J. Stroud pass complete short right to Xavier Hutchinson for 13 yards (tackle by Kendall Fuller),-0.280,0.760
4,6:38,3,2,HOU 38,12,20,C.J. Stroud pass complete short right to Dalton Schultz for 4 yards (tackle by Jordyn Brooks),0.760,1.730
4,5:55,1,10,HOU 42,12,20,Joe Mixon left tackle for 1 yard (tackle by Calais Campbell),1.730,1.320
4,5:14,2,9,HOU 43,12,20,C.J. Stroud pass complete short right to Joe Mixon for 1 yard (tackle by Jevon Holland and Anthony Walker),1.320,0.760
4,4:32,3,8,HOU 44,12,20,C.J. Stroud pass incomplete deep right intended for Dalton Schultz,0.760,-0.460
4,4:26,4,8,HOU 44,12,20,Tommy Townsend punts 34 yards out of bounds,-0.460,-0.410
4,4:20,1,10,MIA 22,12,20,Penalty on Liam Eichenberg: False Start 5 yards (accepted) (no play),0.410,-0.120
4,4:20,1,15,MIA 17,12,20,Tua Tagovailoa sacked by Danielle Hunter for -10 yards,-0.120,-1.880
4,3:35,,,,,,Timeout #2 by Miami Dolphins,,
4,3:35,2,25,MIA 7,12,20,Tua Tagovailoa pass incomplete short left intended for Jonnu Smith. Penalty on Aaron Brewer: Offensive Holding 10 yards (declined),-1.880,-3.180
4,3:29,3,25,MIA 7,12,20,Tua Tagovailoa pass complete short right to River Cracraft for 6 yards (tackle by Jimmie Ward and Derek Stingley),-3.180,-2.490
4,3:03,4,19,MIA 13,12,20,Jake Bailey punts 64 yards returned by Tank Dell for 8 yards (tackle by Durham Smythe),-2.490,-1.000
4,2:50,1,10,HOU 31,12,20,Joe Mixon left guard for -2 yards (tackle by Calais Campbell),1.000,0.190
4,2:08,2,12,HOU 29,12,20,Joe Mixon right tackle for 4 yards (tackle by Calais Campbell and Jordyn Brooks),0.190,0.040
4,2:00,3,8,HOU 33,12,20,C.J. Stroud sacked by and Chop Robinson for -7 yards and Zach Sieler for -7 yards,0.040,-1.630
4,1:56,,,,,,Timeout #3 by Miami Dolphins,,
4,1:56,4,15,HOU 26,12,20,Tommy Townsend punts 51 yards downed by Jon Weeks,-1.630,-0.480
4,1:44,1,10,MIA 23,12,20,Tua Tagovailoa pass deep right intended for Tyreek Hill is intercepted by Derek Stingley at HOU-49 and returned for no gain (tackle by Tyreek Hill),0.480,-2.190
4,1:37,1,10,HOU 49,12,20,C.J. Stroud kneels for -1 yards,2.190,1.510
4,0:56,2,11,HOU 48,12,20,C.J. Stroud kneels for no gain,1.510,0.830
4,0:31,3,11,HOU 48,12,20,C.J. Stroud kneels for -1 yards,0.830,-0.260
