Quarter,Time,Down,ToGo,Location,HOU,NWE,Detail,EPB,EPA
2,14:30,1,10,NWE 30,14,0,Drake Maye scrambles up the middle for 11 yards (tackle by Eric Murray),0.940,1.660
2,13:53,1,10,NWE 41,14,0,Drake Maye pass incomplete short middle. Penalty on Vederian Lowe: Ineligible Downfield Pass 5 yards (accepted) (no play),1.660,1.330
2,13:48,1,15,NWE 36,14,0,Drake Maye scrambles left end for 4 yards (tackle by Eric Murray),1.330,0.990
2,13:12,2,11,NWE 40,14,0,Penalty on Demontrey Jacobs: False Start 5 yards (accepted) (no play),0.990,0.310
2,12:56,2,16,NWE 35,14,0,Drake Maye pass complete short right to Demario Douglas for 5 yards (tackle by Derek Stingley),0.310,0.300
2,12:10,3,11,NWE 40,14,0,Drake Maye sacked by Will Anderson for -7 yards,0.300,-1.180
2,11:33,4,18,NWE 33,14,0,Bryce Baringer punts 48 yards fair catch by Steven Sims at HOU-19,-1.180,-0.150
2,11:24,1,10,HOU 19,14,0,Joe Mixon left tackle for 59 yards (tackle by Jaylinn Hawkins),0.150,4.110
2,10:41,1,10,NWE 22,14,0,C.J. Stroud pass incomplete deep middle intended for Tank Dell,4.110,3.560
2,10:37,2,10,NWE 22,14,0,C.J. Stroud pass deep middle (defended by Marte Mapu) intended for Dalton Schultz is intercepted by Marcus Jones in end zone and returned for 35 yards (tackle by Dameon Pierce),3.560,-0.740
2,10:24,1,10,NWE 27,14,0,Antonio Gibson up the middle for 7 yards (tackle by Henry To'oTo'o and Eric Murray),0.740,1.140
2,10:06,2,3,NWE 34,14,0,Drake Maye pass incomplete short middle intended for Hunter Henry,1.140,0.430
2,10:00,3,3,NWE 34,14,0,Drake Maye pass complete short right to Antonio Gibson for 12 yards (tackle by D'Angelo Ross),0.430,1.990
2,9:27,1,10,NWE 46,14,0,Antonio Gibson right guard for 3 yards (tackle by Eric Murray and Will Anderson),1.990,1.860
2,8:51,2,7,NWE 49,14,0,Antonio Gibson right guard for -1 yards (tackle by Jalen Pitre and Will Anderson),1.860,1.030
2,8:09,3,8,NWE 48,14,0,Drake Maye pass incomplete short middle intended for Hunter Henry (defended by Mario Edwards) (defended by Jalen Pitre),1.030,-0.190
2,8:05,4,8,NWE 48,14,0,Bryce Baringer punts 43 yards fair catch by Steven Sims at HOU-9,-0.190,0.380
2,7:58,1,10,HOU 9,14,0,C.J. Stroud pass complete short right to Dameon Pierce for 1 yard (tackle by Jahlani Tavai and Keion White),-0.380,-0.710
2,7:10,2,9,HOU 10,14,0,Dameon Pierce left tackle for 2 yards (tackle by Josh Uche and Davon Godchaux),-0.710,-1.070
2,6:31,3,7,HOU 12,14,0,C.J. Stroud pass complete short right to Tank Dell for 2 yards (tackle by Josh Uche),-1.070,-2.470
2,5:37,4,5,HOU 14,14,0,Tommy Townsend punts 65 yards returned by Marcus Jones for no gain (tackle by Neville Hewitt). Penalty on Marcellas Dial: Defensive Holding 10 yards (accepted),-2.470,0.370
2,5:22,1,10,NWE 11,14,0,Drake Maye pass complete short right to Kayshon Boutte for 6 yards (tackle by Derek Stingley),-0.370,-0.160
2,4:47,2,4,NWE 17,14,0,Drake Maye pass complete short right to Hunter Henry for 5 yards (tackle by Azeez Al-Shaair),-0.160,0.410
2,4:09,1,10,NWE 22,14,0,Antonio Gibson right tackle for 3 yards (tackle by Derek Barnett and Mario Edwards),0.410,0.270
2,3:31,2,7,NWE 25,14,0,Drake Maye sacked by Will Anderson for -5 yards,0.270,-1.090
2,2:52,3,12,NWE 20,14,0,Drake Maye pass incomplete short middle intended for Austin Hooper,-1.090,-2.030
2,2:48,4,12,NWE 20,14,0,Bryce Baringer punts 54 yards returned by Steven Sims for -2 yards (tackle by Brenden Schooler),-2.030,-0.540
2,2:38,1,10,HOU 24,14,0,C.J. Stroud aborted snap recovered by C.J. Stroud at HOU-23 and returned for -1 yards,0.540,-0.140
2,2:00,2,11,HOU 23,14,0,C.J. Stroud pass complete short right to Joe Mixon for 20 yards (tackle by Marco Wilson),-0.140,1.800
2,1:54,1,10,HOU 43,14,0,C.J. Stroud pass incomplete deep left intended for Dalton Schultz,1.800,1.250
2,1:48,2,10,HOU 43,14,0,Dare Ogunbowale left tackle for 4 yards (tackle by Christian Elliss and Marcus Jones),1.250,1.090
2,1:11,3,6,HOU 47,14,0,C.J. Stroud sacked by and Marte Mapu for -9 yards and Christian Elliss for -9 yards,1.090,-0.850
2,1:06,,,,,,Timeout #1 by New England Patriots,,
2,1:06,4,15,HOU 38,14,0,Tommy Townsend punts 46 yards fair catch by Marcus Jones at NE-16,-0.850,0.140
2,0:59,1,10,NWE 16,14,0,Jamycal Hasty left tackle for 2 yards (tackle by Will Anderson),-0.140,-0.350
2,0:36,2,8,NWE 18,14,0,Drake Maye pass complete short right to Demario Douglas for 22 yards (tackle by Derek Stingley),-0.350,1.600
2,0:28,1,10,NWE 40,14,0,Drake Maye pass incomplete short right intended for Ja'Lynn Polk (defended by Derek Stingley),1.600,1.050
2,0:24,2,10,NWE 40,14,0,Drake Maye pass incomplete short right intended for Demario Douglas. Penalty on Eric Murray: Defensive Pass Interference 13 yards (accepted) (no play),1.050,2.460
2,0:16,1,10,HOU 47,14,0,Drake Maye pass complete short middle to Demario Douglas for 7 yards (tackle by Jalen Pitre). Penalty on Eric Murray: Illegal Use of Hands / Defense 5 yards (declined),2.460,2.860
2,0:16,2,3,HOU 40,14,6,Drake Maye pass complete deep right to Kayshon Boutte for 40 yards touchdown,2.860,7.000
2,0:11,,,HOU 15,14,7,Joey Slye kicks extra point good,0.000,0.000
2,0:11,,,NWE 35,14,7,Joey Slye kicks off 65 yards touchback.,0.000,0.940
2,0:11,1,10,HOU 30,14,7,C.J. Stroud kneels for -1 yards,0.940,0.260
3,15:00,,,HOU 35,14,7,Ka'imi Fairbairn kicks off 61 yards returned by Jamycal Hasty for 17 yards (tackle by Del'Shawn Phillips),0.000,0.340
3,14:54,1,10,NWE 21,14,7,Antonio Gibson up the middle for 1 yard (tackle by Mario Edwards),0.340,-0.070
3,14:18,2,9,NWE 22,14,7,Drake Maye sacked by Danielle Hunter for -12 yards. Drake Maye fumbles (forced by Danielle Hunter) recovered by Mario Edwards at NE-10,-0.070,-4.910
3,14:10,1,10,NWE 10,14,7,Joe Mixon right guard for no gain (tackle by Anfernee Jennings),4.910,4.190
3,13:31,2,10,NWE 10,20,7,C.J. Stroud pass complete short middle to Stefon Diggs for 10 yards touchdown,4.190,7.000
3,13:28,,,NWE 15,20,7,Penalty on Stefon Diggs: Taunting / Offense 15 yards (accepted) (no play),0.000,0.000
3,13:28,,,NWE 30,21,7,Ka'imi Fairbairn kicks extra point good,0.000,0.000
3,13:28,,,HOU 35,21,7,Ka'imi Fairbairn kicks off 65 yards returned by Jamycal Hasty for 26 yards (tackle by Jake Hansen),0.000,0.670
3,13:22,1,10,NWE 26,21,7,Antonio Gibson left guard for no gain (tackle by Mario Edwards and Jalen Pitre),0.670,0.130
3,12:48,2,10,NWE 26,21,7,Drake Maye pass complete short left to Kendrick Bourne for 1 yard (tackle by Mario Edwards),0.130,-0.430
3,12:11,3,9,NWE 27,21,7,Drake Maye pass incomplete short middle intended for Demario Douglas,-0.430,-1.570
3,12:08,4,9,NWE 27,21,7,Bryce Baringer punts 58 yards returned by Steven Sims for 5 yards (tackle by Christian Elliss),-1.570,-0.280
3,11:58,1,10,HOU 20,21,7,C.J. Stroud pass complete deep middle to Stefon Diggs for 26 yards (tackle by Jonathan Jones),0.280,1.990
3,11:35,1,10,HOU 46,21,7,C.J. Stroud pass complete short middle to Dalton Schultz for 9 yards (tackle by Raekwon McMillan and Marte Mapu),1.990,2.670
3,10:56,2,1,NWE 45,21,7,Joe Mixon right tackle for 7 yards (tackle by Kyle Dugger and Raekwon McMillan),2.670,3.050
3,10:22,1,10,NWE 38,21,7,C.J. Stroud pass complete short right to Dalton Schultz for 4 yards (tackle by Christian Gonzalez and Anfernee Jennings),3.050,3.050
3,9:35,2,6,NWE 34,21,7,Dare Ogunbowale up the middle for 4 yards (tackle by Jahlani Tavai and Marte Mapu),3.050,2.870
3,8:51,3,2,NWE 30,21,7,C.J. Stroud pass complete short right to Tank Dell for 5 yards (tackle by Marcus Jones),2.870,3.910
3,8:25,1,10,NWE 25,21,7,C.J. Stroud sacked by Jaquelin Roy for -7 yards,3.910,2.420
3,7:44,2,17,NWE 32,21,7,Dameon Pierce up the middle for 11 yards (tackle by Marte Mapu),2.420,3.200
3,7:05,3,6,NWE 21,21,7,C.J. Stroud pass incomplete deep right intended for Stefon Diggs,3.200,2.080
3,7:00,4,6,NWE 21,24,7,Ka'imi Fairbairn 39 yard field goal good,2.080,3.000
3,6:56,,,HOU 35,24,7,Ka'imi Fairbairn kicks off 61 yards returned by Jamycal Hasty for 20 yards (tackle by Del'Shawn Phillips),0.000,0.540
3,6:51,1,10,NWE 24,24,7,Drake Maye pass complete short left to Austin Hooper for 5 yards. Austin Hooper fumbles (tackle by Henry To'oTo'o recovered by Calen Bullock at NE-31,0.540,-3.510
3,6:42,1,10,NWE 31,24,7,Dameon Pierce left tackle for 1 yard (tackle by Davon Godchaux and Marte Mapu),3.510,3.100
3,6:09,2,9,NWE 30,24,7,Dameon Pierce up the middle for 2 yards (tackle by Raekwon McMillan and Davon Godchaux),3.100,2.680
3,5:30,3,7,NWE 28,24,7,C.J. Stroud pass incomplete short middle intended for Xavier Hutchinson (defended by Keion White),2.680,1.590
3,5:26,4,7,NWE 28,27,7,Ka'imi Fairbairn 46 yard field goal good,1.590,3.000
3,5:22,,,HOU 35,27,7,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
3,5:22,1,10,NWE 30,27,7,Terrell Jennings up the middle for 2 yards (tackle by Henry To'oTo'o),0.940,0.660
3,5:01,2,8,NWE 32,27,7,Drake Maye pass complete short right to Hunter Henry for 30 yards (tackle by Eric Murray),0.660,3.050
3,4:13,1,10,HOU 38,27,7,Penalty on Drake Maye: False Start 5 yards (accepted) (no play),3.050,2.720
3,3:56,1,15,HOU 43,27,7,Drake Maye pass complete short left to Jamycal Hasty for 9 yards (tackle by Calen Bullock),2.720,3.050
3,3:13,2,6,HOU 34,27,7,Drake Maye pass complete short middle to Demario Douglas for 17 yards (tackle by Jalen Pitre),3.050,4.440
3,2:31,1,10,HOU 17,27,7,Antonio Gibson up the middle for 4 yards (tackle by Azeez Al-Shaair and Mario Edwards),4.440,4.500
3,1:53,2,6,HOU 13,27,7,Drake Maye pass complete short right to Antonio Gibson for 7 yards (tackle by Henry To'oTo'o and Eric Murray),4.500,5.830
3,1:05,1,6,HOU 6,27,13,Drake Maye pass complete short left to Hunter Henry for 6 yards touchdown,5.830,7.000
3,1:00,,,HOU 15,27,14,Joey Slye kicks extra point good,0.000,0.000
3,1:00,,,NWE 35,27,14,Joey Slye kicks off 65 yards returned by Steven Sims for 25 yards (tackle by Jaylinn Hawkins and Sione Takitaki),0.000,0.610
3,0:55,1,10,HOU 25,27,14,C.J. Stroud pass incomplete short right intended for Cade Stover,0.610,0.060
3,0:51,2,10,HOU 25,27,14,C.J. Stroud pass complete short right to Stefon Diggs for 12 yards (tackle by Jonathan Jones),0.060,1.400
3,0:11,1,10,HOU 37,27,14,Dameon Pierce up the middle for no gain (tackle by Jahlani Tavai and Keion White),1.400,0.860
4,15:00,2,10,HOU 37,27,14,C.J. Stroud pass complete short left to Dalton Schultz for 6 yards (tackle by Jahlani Tavai),0.860,0.960
4,14:17,3,4,HOU 43,27,14,C.J. Stroud pass incomplete short right intended for Dalton Schultz,0.960,-0.520
4,14:14,4,4,HOU 43,27,14,Tommy Townsend punts 35 yards out of bounds,-0.520,-0.410
4,14:07,1,10,NWE 22,27,14,Drake Maye pass short left (defended by Will Anderson) intended for Antonio Gibson is intercepted by Eric Murray at NE-26 and returned for no gain (tackle by Austin Hooper),0.410,-3.840
4,14:03,1,10,NWE 26,27,14,Dameon Pierce up the middle for 6 yards (tackle by Davon Godchaux),3.840,4.110
4,13:23,2,4,NWE 20,33,14,Joe Mixon left end for 20 yards touchdown,4.110,7.000
4,13:14,,,NWE 15,34,14,Ka'imi Fairbairn kicks extra point good,0.000,0.000
4,13:14,,,HOU 35,34,14,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
4,13:14,1,10,NWE 30,34,14,Antonio Gibson left guard for 1 yard (tackle by Neville Hewitt and Jalen Pitre),0.940,0.530
4,12:37,2,9,NWE 31,34,14,Antonio Gibson left tackle for 4 yards (tackle by Derek Barnett and Henry To'oTo'o),0.530,0.370
4,11:57,3,5,NWE 35,34,14,Drake Maye pass complete short left to Antonio Gibson for 5 yards (tackle by D'Angelo Ross and Henry To'oTo'o),0.370,1.600
4,11:24,1,10,NWE 40,34,14,Penalty on Sidy Sow: False Start 5 yards (accepted) (no play),1.600,1.270
4,11:24,1,15,NWE 35,34,14,Drake Maye pass incomplete deep left intended for Ja'Lynn Polk. Penalty on Mario Edwards: Illegal Use of Hands / Defense 5 yards (accepted) (no play),1.270,1.600
4,11:19,1,10,NWE 40,34,14,Jamycal Hasty left tackle for 5 yards (tackle by Will Anderson),1.600,1.730
4,10:49,2,5,NWE 45,34,14,Drake Maye scrambles right end for 15 yards (tackle by Neville Hewitt),1.730,2.920
4,10:15,1,10,HOU 40,34,14,Jamycal Hasty right guard for 5 yards (tackle by Neville Hewitt),2.920,3.050
4,9:35,2,5,HOU 35,34,14,Drake Maye pass incomplete short left intended for Jamycal Hasty,3.050,2.340
4,9:31,3,5,HOU 35,34,20,Drake Maye pass complete short middle to Demario Douglas for 35 yards touchdown,2.340,7.000
4,9:24,,,HOU 15,34,21,Joey Slye kicks extra point good,0.000,0.000
4,9:24,,,NWE 35,34,21,Joey Slye kicks off 65 yards touchback.,0.000,0.940
4,9:24,1,10,HOU 30,34,21,C.J. Stroud pass incomplete short middle intended for Dalton Schultz,0.940,0.390
4,9:20,2,10,HOU 30,34,21,C.J. Stroud pass complete short left to Tank Dell for 5 yards (tackle by Marco Wilson),0.390,0.370
4,8:37,3,5,HOU 35,34,21,C.J. Stroud pass complete short middle to Tank Dell for 11 yards (tackle by Jonathan Jones),0.370,1.990
4,7:58,1,10,HOU 46,40,21,Dameon Pierce right end for 54 yards touchdown Replay Assistant challenged the runner was in bounds ruling and the play was upheld.,1.990,7.000
4,7:47,,,NWE 15,41,21,Ka'imi Fairbairn kicks extra point good,0.000,0.000
4,7:47,,,HOU 35,41,21,Ka'imi Fairbairn kicks off 64 yards returned by Jamycal Hasty for 27 yards (tackle by Myles Bryant),0.000,0.810
4,7:39,1,10,NWE 28,41,21,Drake Maye pass complete short right to Kayshon Boutte for 13 yards (tackle by Eric Murray),0.810,1.660
4,7:14,1,10,NWE 41,41,21,Drake Maye scrambles left end for 2 yards (tackle by Neville Hewitt),1.660,1.390
4,6:38,2,8,NWE 43,41,21,Antonio Gibson up the middle for -3 yards (tackle by Khalil Davis),1.390,0.300
4,6:03,3,11,NWE 40,41,21,Drake Maye sacked by Will Anderson for -10 yards,0.300,-1.370
4,5:24,4,21,NWE 30,41,21,Bryce Baringer punts 56 yards returned by Steven Sims for 8 yards (tackle by Jahlani Tavai and Christian Elliss),-1.370,-0.410
4,5:12,1,10,HOU 22,41,21,Cam Akers left tackle for -2 yards (tackle by Anfernee Jennings),0.410,-0.400
4,4:29,2,12,HOU 20,41,21,Cam Akers right guard for 1 yard (tackle by Jahlani Tavai and Keion White),-0.400,-0.960
4,3:43,3,11,HOU 21,41,21,Davis Mills pass incomplete short left intended for Xavier Hutchinson (defended by Keion White),-0.960,-1.960
4,3:40,4,11,HOU 21,41,21,Tommy Townsend punts 39 yards returned by Marcus Jones for 16 yards. Marcus Jones fumbles ball out of bounds at HOU-44 (forced by Dare Ogunbowale). Marcus Jones fumbles out of bounds,-1.960,-2.650
4,3:31,1,10,HOU 44,41,21,Terrell Jennings up the middle for 5 yards (tackle by M.J. Stewart),2.650,2.780
4,2:58,2,5,HOU 39,41,21,Drake Maye pass incomplete short left,2.780,2.080
4,2:55,3,5,HOU 39,41,21,Drake Maye pass incomplete short right intended for Ja'Lynn Polk,2.080,0.660
4,2:50,4,5,HOU 39,41,21,Drake Maye scrambles up the middle for 6 yards (tackle by Myles Bryant),0.660,3.380
4,2:25,1,10,HOU 33,41,21,Terrell Jennings right guard for 3 yards (tackle by Jake Hansen and Neville Hewitt),3.380,3.240
4,2:00,2,7,HOU 30,41,21,Terrell Jennings up the middle for 4 yards (tackle by Mario Edwards and Jake Hansen),3.240,3.070
4,1:30,3,3,HOU 26,41,21,Drake Maye pass incomplete short right intended for Demario Douglas,3.070,1.840
4,1:23,4,3,HOU 26,41,21,Drake Maye pass complete short right to Demario Douglas for 6 yards (tackle by Myles Bryant),1.840,4.240
4,0:54,1,10,HOU 20,41,21,Terrell Jennings up the middle for -1 yards (tackle by Khalil Davis and Jake Hansen),4.240,3.560
4,0:26,2,11,HOU 21,41,21,Drake Maye pass incomplete short left,3.560,2.870
4,0:18,3,11,HOU 21,41,21,Drake Maye pass complete short middle to Ja'Lynn Polk for 4 yards (tackle by Neville Hewitt),2.870,2.310
