Quarter,Time,Down,ToGo,Location,BUF,HOU,Detail,EPB,EPA
1,6:30,4,20,HOU 20,3,0,Tyler Bass 38 yard field goal good,2.120,3.000
1,6:27,,,BUF 35,3,0,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
1,6:27,1,10,HOU 30,3,0,Dare Ogunbowale left end for no gain (tackle by Dorian Williams),0.940,0.390
1,5:48,2,10,HOU 30,3,0,C.J. Stroud pass complete short left to Cade Stover for 5 yards (tackle by Dorian Williams),0.390,0.370
1,5:07,3,5,HOU 35,3,0,C.J. Stroud pass complete short left to Dare Ogunbowale for 28 yards (tackle by Damar Hamlin),0.370,3.120
1,4:24,1,10,BUF 37,3,0,C.J. Stroud pass complete short left to Nico Collins for 11 yards (tackle by Dorian Williams),3.120,3.840
1,3:43,1,10,BUF 26,3,0,Cam Akers left guard for 11 yards (tackle by Damar Hamlin and Casey Toohill),3.840,4.580
1,3:01,1,10,BUF 15,3,6,Cam Akers left guard for 15 yards touchdown,4.580,7.000
1,2:55,,,BUF 15,3,7,Ka'imi Fairbairn kicks extra point good,0.000,0.000
1,2:55,,,HOU 35,3,7,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
1,2:55,1,10,BUF 30,3,7,Josh Allen pass incomplete short right,0.940,0.390
1,2:49,2,10,BUF 30,3,7,James Cook left guard for 4 yards (tackle by Henry To'oTo'o and Danielle Hunter),0.390,0.230
1,2:07,3,6,BUF 34,3,7,Penalty on Spencer Brown: False Start 5 yards (accepted) (no play),0.230,-0.430
1,1:54,3,11,BUF 29,3,7,Josh Allen pass incomplete deep left intended for Keon Coleman,-0.430,-1.440
1,1:50,4,11,BUF 29,3,7,Sam Martin punts 38 yards out of bounds,-1.440,-1.140
1,1:43,1,10,HOU 33,3,13,C.J. Stroud pass complete deep middle to Nico Collins for 67 yards touchdown,1.140,7.000
1,1:34,,,BUF 15,3,14,Ka'imi Fairbairn kicks extra point good,0.000,0.000
1,1:34,,,HOU 35,3,14,Ka'imi Fairbairn kicks off 64 yards returned by Brandon Codrington for 26 yards (tackle by Xavier Hutchinson and Jamal Hill),0.000,0.740
1,1:28,1,10,BUF 27,3,14,James Cook up the middle for 2 yards (tackle by Azeez Al-Shaair and Danielle Hunter),0.740,0.470
1,0:45,2,8,BUF 29,3,14,Josh Allen scrambles right end for 10 yards (tackle by Mario Edwards),0.470,1.530
1,0:22,1,10,BUF 39,3,14,James Cook right tackle for 1 yard (tackle by Henry To'oTo'o and Dylan Horton),1.530,1.120
2,15:00,2,9,BUF 40,3,14,Josh Allen pass incomplete short left intended for Curtis Samuel,1.120,0.430
2,14:57,3,9,BUF 40,3,14,Josh Allen pass incomplete deep middle intended for Mack Hollins,0.430,-0.720
2,14:50,4,9,BUF 40,3,14,Penalty on Baylon Spector: False Start 5 yards (accepted) (no play),-0.720,-1.040
2,14:50,4,14,BUF 35,3,14,Sam Martin punts 63 yards returned by Robert Woods for 17 yards (tackle by Baylon Spector and Joe Andreessen),-1.040,-0.150
2,14:38,1,10,HOU 19,3,14,Cam Akers right guard for no gain (tackle by Terrel Bernard),0.150,-0.390
2,13:59,2,10,HOU 19,3,14,Cam Akers left guard for 2 yards (tackle by Dorian Williams),-0.390,-0.810
2,13:23,3,8,HOU 21,3,14,C.J. Stroud pass complete short left to Stefon Diggs for 14 yards (tackle by Cameron Lewis and Damar Hamlin),-0.810,1.270
2,12:42,,,,,,Timeout #1 by Houston Texans,,
2,12:42,1,10,HOU 35,3,14,C.J. Stroud pass complete short right to Tank Dell for 9 yards (tackle by Cameron Lewis),1.270,1.940
2,12:03,2,1,HOU 44,3,14,Dare Ogunbowale left end for -1 yards (tackle by DeWayne Carter),1.940,1.090
2,11:21,3,2,HOU 43,3,14,C.J. Stroud pass complete deep left to Tank Dell for 19 yards (tackle by Cameron Lewis),1.090,3.050
2,10:39,1,10,BUF 38,3,14,C.J. Stroud pass complete short right to Stefon Diggs for 13 yards (tackle by DaQuan Jones),3.050,3.910
2,9:51,1,10,BUF 25,3,14,Cam Akers right tackle for 1 yard (tackle by DaQuan Jones),3.910,3.500
2,9:12,2,9,BUF 24,3,14,Tank Dell left end for -5 yards (tackle by Christian Benford),3.500,2.150
2,8:28,3,14,BUF 29,3,14,C.J. Stroud pass complete short middle to Dare Ogunbowale for 13 yards (tackle by Cole Bishop),2.150,2.530
2,8:02,4,1,BUF 16,3,14,Dare Ogunbowale right guard for no gain (tackle by Cameron Lewis and Terrel Bernard),2.530,0.140
2,7:55,1,10,BUF 16,3,14,Curtis Samuel left end for -1 yards (tackle by Jimmie Ward),-0.140,-0.780
2,7:19,2,11,BUF 15,3,14,Josh Allen pass complete short right to Dalton Kincaid for 8 yards (tackle by Derek Stingley),-0.780,-0.450
2,6:38,3,3,BUF 23,3,14,Josh Allen pass complete short right to Mack Hollins for 6 yards (tackle by Eric Murray),-0.450,0.870
2,6:07,1,10,BUF 29,3,14,James Cook left guard for 5 yards (tackle by Azeez Al-Shaair),0.870,1.000
2,5:33,2,5,BUF 34,3,14,James Cook left end for -1 yards (tackle by Kamari Lassiter),1.000,0.170
2,4:51,3,6,BUF 33,3,14,Josh Allen pass complete short left to Mack Hollins for 21 yards (tackle by Jimmie Ward),0.170,2.520
2,4:13,1,10,HOU 46,3,14,Josh Allen pass complete short left to James Cook for -7 yards (tackle by Folorunso Fatukasi),2.520,1.030
2,3:40,2,17,BUF 47,3,14,Josh Allen pass complete short middle to Ray Davis for 4 yards (tackle by Azeez Al-Shaair),1.030,0.830
2,2:56,3,14,HOU 49,3,14,Josh Allen pass incomplete deep right intended for Dalton Kincaid,0.830,0.000
2,2:48,4,14,HOU 49,3,14,Sam Martin punts 41 yards fair catch by Robert Woods at HOU-8,0.000,0.380
2,2:42,1,10,HOU 8,3,14,Dare Ogunbowale right guard for 7 yards (tackle by Damar Hamlin),-0.380,-0.210
2,2:00,2,3,HOU 15,3,14,Dare Ogunbowale up the middle for 1 yard (tackle by DeWayne Carter),-0.210,-0.480
2,1:25,3,2,HOU 16,3,14,C.J. Stroud pass incomplete deep left intended for Xavier Hutchinson,-0.480,-2.390
2,1:16,4,2,HOU 16,3,14,Tommy Townsend punts 61 yards returned by Brandon Codrington for 5 yards (tackle by Kris Boyd and M.J. Stewart),-2.390,-0.810
2,1:02,1,10,BUF 28,3,14,Josh Allen pass incomplete short left intended for Dalton Kincaid,0.810,0.260
2,0:58,2,10,BUF 28,3,14,Josh Allen pass incomplete deep middle intended for Dalton Kincaid (defended by Azeez Al-Shaair),0.260,-0.430
2,0:53,3,10,BUF 28,3,14,Josh Allen pass incomplete short right intended for Marquez Valdes-Scantling (defended by Azeez Al-Shaair),-0.430,-1.500
2,0:43,4,10,BUF 28,3,14,Sam Martin punts 59 yards returned by Robert Woods for 36 yards (tackle by Javon Solomon),-1.500,-2.190
2,0:30,1,10,HOU 49,3,14,C.J. Stroud pass complete short left to Dare Ogunbowale for 2 yards (tackle by Rasul Douglas),2.190,1.920
2,0:22,,,,,,Timeout #2 by Houston Texans,,
2,0:22,2,8,BUF 49,3,14,C.J. Stroud scrambles up the middle for 9 yards (tackle by Damar Hamlin and Terrel Bernard),1.920,2.920
2,0:15,,,,,,Timeout #3 by Houston Texans,,
2,0:15,,,,,,Timeout #1 by Buffalo Bills,,
2,0:15,1,10,BUF 40,3,14,C.J. Stroud pass complete short right to Tank Dell for 8 yards,2.920,3.450
2,0:12,2,2,BUF 32,3,14,C.J. Stroud pass incomplete deep right,3.450,2.740
2,0:08,3,2,BUF 32,3,14,C.J. Stroud pass incomplete short right,2.740,1.300
2,0:03,4,2,BUF 32,3,17,Ka'imi Fairbairn 50 yard field goal good,1.300,3.000
3,15:00,,,BUF 35,3,17,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,HOU 30,3,17,C.J. Stroud pass complete short middle to Stefon Diggs for 18 yards (tackle by Cameron Lewis and Cole Bishop),0.940,2.130
3,14:23,1,10,HOU 48,3,17,C.J. Stroud pass complete short right to Dalton Schultz for 2 yards (tackle by Cameron Lewis and Christian Benford),2.130,1.850
3,14:08,2,8,HOU 50,3,17,Penalty on Dalton Schultz: Taunting / Offense 15 yards (accepted) (no play),1.850,-0.170
3,13:49,2,23,HOU 35,3,17,C.J. Stroud pass complete short left to Xavier Hutchinson for 12 yards (tackle by Damar Hamlin),-0.170,0.760
3,13:18,3,11,HOU 47,3,17,C.J. Stroud pass complete short middle to Xavier Hutchinson for 19 yards (tackle by Damar Hamlin),0.760,3.310
3,12:46,1,10,BUF 34,3,17,Dare Ogunbowale right end for 3 yards (tackle by Zion Logue),3.310,3.180
3,12:04,2,7,BUF 31,3,17,Dare Ogunbowale up the middle for 2 yards (tackle by Dorian Williams and Cameron Lewis),3.180,2.740
3,11:23,3,5,BUF 29,3,17,C.J. Stroud pass incomplete deep middle intended for Dalton Schultz,2.740,1.540
3,11:19,4,5,BUF 29,3,20,Ka'imi Fairbairn 47 yard field goal good,1.540,3.000
3,11:15,,,HOU 35,3,20,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
3,11:15,1,10,BUF 30,3,20,Ty Johnson left end for 19 yards (tackle by Calen Bullock),0.940,2.190
3,10:39,1,10,BUF 49,3,20,Ty Johnson right end for -2 yards (tackle by Azeez Al-Shaair),2.190,1.380
3,9:56,2,12,BUF 47,3,20,Josh Allen scrambles right end for 7 yards (tackle by Jalen Pitre). Penalty on Jalen Pitre: Unnecessary Roughness / Defense 15 yards (accepted),1.380,3.510
3,9:34,1,10,HOU 31,3,20,Josh Allen pass incomplete short left intended for Keon Coleman,3.510,2.970
3,9:32,2,10,HOU 31,3,20,Josh Allen pass complete short middle to Dalton Kincaid for 26 yards (tackle by Derek Stingley),2.970,6.060
3,8:53,1,5,HOU 5,9,20,James Cook up the middle for 5 yards touchdown,6.060,7.000
3,8:48,,,HOU 15,10,20,Tyler Bass kicks extra point good,0.000,0.000
3,8:48,,,BUF 35,10,20,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
3,8:48,1,10,HOU 30,10,20,C.J. Stroud pass complete short left to Tank Dell for 2 yards (tackle by Cameron Lewis),0.940,0.660
3,8:10,2,8,HOU 32,10,20,Cam Akers up the middle for 5 yards (tackle by Cole Bishop and Dorian Williams),0.660,0.630
3,7:35,3,3,HOU 37,10,20,Penalty on Dare Ogunbowale: False Start 5 yards (accepted) (no play),0.630,-0.030
3,7:17,3,8,HOU 32,10,20,C.J. Stroud pass incomplete short right intended for Dalton Schultz,-0.030,-1.240
3,7:13,4,8,HOU 32,10,20,Tommy Townsend punts 33 yards out of bounds,-1.240,-1.270
3,7:06,1,10,BUF 35,10,20,James Cook right tackle for 11 yards (tackle by Derek Stingley),1.270,1.990
3,6:34,1,10,BUF 46,10,20,James Cook right guard for 2 yards (tackle by Eric Murray),1.990,1.720
3,5:58,2,8,BUF 48,10,20,James Cook up the middle for 3 yards (tackle by Azeez Al-Shaair),1.720,1.420
3,5:15,3,5,HOU 49,10,20,Josh Allen pass complete short left to Curtis Samuel for no gain (tackle by Henry To'oTo'o),1.420,0.000
3,4:30,4,5,HOU 49,16,20,Josh Allen pass complete short left to Keon Coleman for 49 yards touchdown,0.000,7.000
3,4:20,,,HOU 15,17,20,Tyler Bass kicks extra point good,0.000,0.000
3,4:20,,,BUF 35,17,20,Tyler Bass kicks off 70 yards returned by Robert Woods for 31 yards (tackle by Dorian Williams),0.000,0.670
3,4:16,1,10,HOU 26,17,20,C.J. Stroud pass complete short right to Stefon Diggs for 17 yards (tackle by Damar Hamlin),0.670,1.800
3,3:35,1,10,HOU 43,17,20,Dare Ogunbowale right end for no gain (tackle by Rasul Douglas and Dorian Williams). Penalty on Shaq Mason: Offensive Holding 10 yards (accepted) (no play),1.800,1.140
3,3:09,1,20,HOU 33,17,20,C.J. Stroud pass complete short right to Cade Stover for 1 yard (tackle by Dorian Williams). Penalty on Kenyon Green: Ineligible Downfield Pass 5 yards (declined),1.140,0.040
3,2:50,2,19,HOU 34,17,20,C.J. Stroud pass complete short middle to Cam Akers for 6 yards (tackle by Damar Hamlin and Terrel Bernard),0.040,0.170
3,2:06,3,13,HOU 40,17,20,C.J. Stroud scrambles up the middle for 5 yards (tackle by Javon Solomon),0.170,-0.390
3,1:14,4,8,HOU 45,17,20,Tommy Townsend punts 41 yards downed by Del'Shawn Phillips. Penalty on D'Angelo Ross: Illegal Touch Kick 5 yards (accepted),-0.390,-0.150
3,1:14,1,10,BUF 19,17,20,James Cook left tackle for 11 yards (tackle by Azeez Al-Shaair and Henry To'oTo'o),0.150,0.940
3,0:27,1,10,BUF 30,17,20,James Cook left tackle for no gain (tackle by Henry To'oTo'o). Penalty on Tim Settle: Defensive Holding 5 yards (accepted) (no play),0.940,1.270
3,0:09,1,10,BUF 35,17,20,Josh Allen scrambles right end for 19 yards (tackle by Eric Murray),1.270,2.520
4,15:00,1,10,HOU 46,17,20,James Cook right guard for 3 yards (tackle by Derek Stingley and Jalen Pitre),2.520,2.380
4,14:23,2,7,HOU 43,17,20,Ty Johnson right tackle for -2 yards (tackle by Will Anderson and Derek Stingley),2.380,1.420
4,13:42,3,9,HOU 45,17,20,Josh Allen pass incomplete short right intended for Marquez Valdes-Scantling (defended by Derek Stingley),1.420,0.270
4,13:38,4,9,HOU 45,17,20,Sam Martin punts 33 yards fair catch by Robert Woods at HOU-12,0.270,0.350
4,13:30,1,10,HOU 12,17,20,Cam Akers left end for 1 yard (tackle by Dorian Williams),-0.350,-0.700
4,12:52,2,9,HOU 13,17,20,C.J. Stroud pass incomplete short left intended for Stefon Diggs,-0.700,-1.300
4,12:45,3,9,HOU 13,17,20,C.J. Stroud pass complete deep right to Dalton Schultz for 18 yards (tackle by Christian Benford),-1.300,1.000
4,12:05,1,10,HOU 31,17,20,Dare Ogunbowale right tackle for 4 yards (tackle by Zion Logue),1.000,1.000
4,11:25,2,6,HOU 35,17,20,Dare Ogunbowale right tackle for -1 yards (tackle by Rasul Douglas),1.000,0.170
4,10:43,3,7,HOU 34,17,20,C.J. Stroud pass complete deep middle to Stefon Diggs for 18 yards (tackle by Ja'Marcus Ingram),0.170,2.390
4,10:20,1,10,BUF 48,17,20,C.J. Stroud pass complete short right to Cam Akers for -1 yards (tackle by Rasul Douglas),2.390,1.710
4,9:41,2,11,BUF 49,17,20,C.J. Stroud scrambles right end for 13 yards (tackle by DaQuan Jones),1.710,3.180
4,8:58,1,10,BUF 36,17,20,Cam Akers right tackle for 3 yards (tackle by Dorian Williams),3.180,3.040
4,8:16,2,7,BUF 33,17,20,C.J. Stroud pass short middle intended for Stefon Diggs is intercepted by Terrel Bernard at BUF-19 and returned for 1 yard (tackle by Stefon Diggs),3.040,-0.280
4,8:06,1,10,BUF 20,17,20,James Cook right tackle for 2 yards (tackle by Folorunso Fatukasi),0.280,0.000
4,7:32,2,8,BUF 22,17,20,Josh Allen scrambles right end for 18 yards (tackle by Henry To'oTo'o),0.000,1.600
4,6:53,1,10,BUF 40,17,20,James Cook right end for 2 yards (tackle by Azeez Al-Shaair and Derek Stingley),1.600,1.320
4,6:10,2,8,BUF 42,17,20,Josh Allen pass incomplete short right intended for Ray Davis,1.320,0.630
4,6:06,3,8,BUF 42,17,20,Josh Allen pass incomplete short right intended for Marquez Valdes-Scantling (defended by Azeez Al-Shaair),0.630,-0.590
4,6:01,4,8,BUF 42,17,20,Sam Martin punts 56 yards returned by Robert Woods for no gain (tackle by Ja'Marcus Ingram),-0.590,0.380
4,5:50,1,10,HOU 2,17,20,Dare Ogunbowale up the middle for 7 yards (tackle by Dorian Williams),-0.380,-0.270
4,5:15,2,3,HOU 9,17,20,Dare Ogunbowale left guard for 5 yards (tackle by Dorian Williams),-0.270,-0.280
4,4:33,1,10,HOU 14,17,20,C.J. Stroud pass incomplete short right intended for Dare Ogunbowale,-0.280,-0.750
4,4:29,2,10,HOU 14,17,20,C.J. Stroud sacked by Dawuane Smoot for no gain. C.J. Stroud fumbles (forced by Dawuane Smoot) recovered by Dorian Williams at HOU-15 (tackle by Dawuane Smoot),-0.750,-4.580
4,4:21,1,10,HOU 15,17,20,James Cook left tackle for no gain (tackle by Folorunso Fatukasi),4.580,3.950
4,3:36,2,10,HOU 15,17,20,Josh Allen pass incomplete short left intended for James Cook (defended by Eric Murray),3.950,3.100
4,3:30,,,,,,Timeout #1 by Buffalo Bills,,
4,3:30,3,10,HOU 15,17,20,Josh Allen pass incomplete short right intended for Curtis Samuel,3.100,2.440
4,3:21,4,10,HOU 15,20,20,Tyler Bass 33 yard field goal good,2.440,3.000
4,3:18,,,BUF 35,20,20,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
4,3:18,1,10,HOU 30,20,20,Cam Akers left tackle for 4 yards (tackle by Gregory Rousseau),0.940,0.930
4,2:37,2,6,HOU 34,20,20,C.J. Stroud pass incomplete short right intended for Cam Akers,0.930,0.230
4,2:33,3,6,HOU 34,20,20,C.J. Stroud pass complete short right to Dalton Schultz for 11 yards (tackle by Rasul Douglas),0.230,1.930
4,2:00,1,10,HOU 45,20,20,Dare Ogunbowale up the middle for -2 yards (tackle by DaQuan Jones and A.J. Epenesa),1.930,1.110
4,1:56,,,,,,Timeout #2 by Buffalo Bills,,
4,1:56,2,12,HOU 43,20,20,C.J. Stroud pass complete short right to Stefon Diggs for 2 yards (tackle by DaQuan Jones),1.110,0.700
4,1:52,,,,,,Timeout #3 by Buffalo Bills,,
4,1:52,3,10,HOU 45,20,20,C.J. Stroud pass complete short left to Dare Ogunbowale for 11 yards (tackle by Christian Benford),0.700,2.650
4,1:09,1,10,BUF 44,20,20,Dare Ogunbowale up the middle for 2 yards (tackle by Cole Bishop),2.650,2.380
4,0:48,2,8,BUF 42,20,20,C.J. Stroud pass complete short right to Dalton Schultz for 3 yards (tackle by Christian Benford),2.380,2.080
4,0:41,3,5,BUF 39,20,20,C.J. Stroud pass incomplete short right. Penalty on C.J. Stroud: Intentional Grounding 10 yards (accepted),2.080,0.000
4,0:41,4,15,BUF 49,20,20,Tommy Townsend punts 46 yards downed by Kris Boyd,0.000,0.380
4,0:32,1,10,BUF 3,20,20,Josh Allen pass incomplete deep left intended for Keon Coleman (defended by Kamari Lassiter). Penalty on Keon Coleman: Offensive Pass Interference 10 yards (declined),-0.380,-0.780
4,0:27,2,10,BUF 3,20,20,Josh Allen pass incomplete deep left intended for Mack Hollins,-0.780,-1.420
4,0:21,3,10,BUF 3,20,20,Josh Allen pass incomplete deep middle intended for Curtis Samuel,-1.420,-2.490
4,0:16,4,10,BUF 3,20,20,Sam Martin punts 56 yards returned by Robert Woods for 13 yards (tackle by Ty Johnson),-2.490,-2.520
4,0:07,1,10,BUF 46,20,20,C.J. Stroud pass complete short middle to Dare Ogunbowale for 5 yards (tackle by Mike Edwards),2.520,2.650
4,0:02,,,,,,Timeout #1 by Houston Texans,,
4,0:02,2,5,BUF 41,20,23,Ka'imi Fairbairn 59 yard field goal good,2.650,3.000
