Quarter,Time,Down,ToGo,Location,CHI,HOU,Detail,EPB,EPA
1,7:32,2,10,CHI 47,0,3,Caleb Williams pass complete short right to D'Andre Swift for 8 yards (tackle by Henry To'oTo'o),1.520,1.880
1,6:49,3,2,HOU 45,0,3,Caleb Williams pass complete short left to D.J. Moore for 19 yards (tackle by Calen Bullock and Azeez Al-Shaair),1.880,3.840
1,6:05,1,10,HOU 26,0,3,D'Andre Swift left tackle for 2 yards (tackle by Azeez Al-Shaair),3.840,3.570
1,5:23,2,8,HOU 24,0,3,D'Andre Swift up the middle for -1 yards (tackle by Azeez Al-Shaair and Henry To'oTo'o),3.570,2.740
1,4:42,3,9,HOU 25,0,3,Caleb Williams sacked by and Will Anderson for -10 yards and Danielle Hunter for -10 yards,2.740,0.970
1,3:55,4,19,HOU 35,3,3,Cairo Santos 53 yard field goal good,0.970,3.000
1,3:51,,,CHI 35,3,3,Cairo Santos kicks off 63 yards returned by Robert Woods for 31 yards (tackle by Elijah Hicks and Jonathan Owens). Penalty on Kris Boyd: Offensive Holding 10 yards (accepted),0.000,0.480
1,3:45,1,10,HOU 23,3,3,C.J. Stroud pass complete short middle to Nico Collins for 18 yards (tackle by Kyler Gordon),0.480,1.660
1,3:09,1,10,HOU 41,3,3,Joe Mixon right end for 3 yards (tackle by Andrew Billings),1.660,1.530
1,2:28,2,7,HOU 44,3,3,C.J. Stroud pass incomplete short right intended for Joe Mixon (defended by Montez Sweat),1.530,0.830
1,2:21,3,7,HOU 44,3,3,C.J. Stroud pass complete short right to Nico Collins for 6 yards (tackle by Tyrique Stevenson),0.830,-0.060
1,1:39,4,1,HOU 50,3,3,C.J. Stroud pass complete short right to Cade Stover for 18 yards (tackle by Tremaine Edmunds),-0.060,3.450
1,0:59,1,10,CHI 32,3,3,Tank Dell right end for 18 yards (tackle by Kevin Byard),3.450,4.650
1,0:11,1,10,CHI 14,3,3,Joe Mixon right tackle for 1 yard (tackle by Darrell Taylor and Tremaine Edmunds). Penalty on Nico Collins: Unsportsmanlike Conduct / Offense 15 yards (accepted),4.650,2.200
2,15:00,2,24,CHI 28,3,9,C.J. Stroud pass complete short middle to Nico Collins for 28 yards touchdown. Penalty on Tyrique Stevenson: Illegal Use of Hands / Defense 5 yards (declined),2.200,7.000
2,14:55,,,CHI 15,3,10,Ka'imi Fairbairn kicks extra point good,0.000,0.000
2,14:55,,,HOU 35,3,10,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
2,14:55,1,10,CHI 30,3,10,Caleb Williams pass complete short middle to D.J. Moore for no gain (tackle by Kamari Lassiter),0.940,0.390
2,14:29,2,10,CHI 30,3,10,Caleb Williams pass complete short right to Rome Odunze for 6 yards (tackle by Kamari Lassiter),0.390,0.500
2,13:48,3,4,CHI 36,3,10,Caleb Williams pass incomplete short right,0.500,-0.980
2,13:40,4,4,CHI 36,3,10,Tory Taylor punts 41 yards fair catch by Steven Sims at HOU-23,-0.980,-0.480
2,13:33,1,10,HOU 23,3,10,Joe Mixon left guard for no gain (tackle by T.J. Edwards),0.480,-0.070
2,12:56,2,10,HOU 23,3,10,C.J. Stroud pass incomplete short right intended for Joe Mixon (defended by Jaylon Johnson),-0.070,-0.760
2,12:51,3,10,HOU 23,3,10,C.J. Stroud pass complete deep left to Stefon Diggs for 21 yards CHI challenged the pass completion ruling and the play was upheld.,-0.760,1.860
2,12:30,1,10,HOU 44,3,10,C.J. Stroud pass complete deep right to Nico Collins for 18 yards (tackle by Kevin Byard),1.860,3.050
2,11:50,1,10,CHI 38,3,10,Joe Mixon right tackle for 1 yard (tackle by Tremaine Edmunds),3.050,2.640
2,11:12,2,9,CHI 37,3,10,Tank Dell right end for 3 yards (tackle by Austin Booker),2.640,2.340
2,10:33,3,6,CHI 34,3,10,C.J. Stroud pass complete short right to Stefon Diggs for 5 yards (tackle by Tyrique Stevenson) HOU challenged the short of the line to gain ruling and the play was upheld.,2.340,1.620
2,9:58,4,1,CHI 29,3,13,Ka'imi Fairbairn 47 yard field goal good,1.620,3.000
2,9:55,,,HOU 35,3,13,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
2,9:55,1,10,CHI 30,3,13,D'Andre Swift up the middle for 7 yards (tackle by Henry To'oTo'o),0.940,1.340
2,9:33,2,3,CHI 37,3,13,D'Andre Swift right guard for 2 yards (tackle by Henry To'oTo'o),1.340,0.890
2,9:10,3,1,CHI 39,3,13,Caleb Williams up the middle for no gain (tackle by Henry To'oTo'o and Will Anderson),0.890,-0.780
2,8:27,4,1,CHI 39,3,13,Khalil Herbert up the middle for 1 yard (tackle by Jimmie Ward and Kamari Lassiter),-0.780,1.600
2,7:43,1,10,CHI 40,3,13,Caleb Williams pass complete short right to DeAndre Carter for 6 yards (tackle by Jimmie Ward and Azeez Al-Shaair),1.600,1.860
2,7:04,2,4,CHI 46,3,13,Caleb Williams pass incomplete short left intended for D'Andre Swift,1.860,1.160
2,6:58,,,,,,Timeout #2 by Chicago Bears,,
2,6:58,3,4,CHI 46,3,13,Penalty on Darnell Wright: False Start 5 yards (accepted) (no play),1.160,0.500
2,6:58,3,9,CHI 41,3,13,Caleb Williams sacked by Derek Barnett for -8 yards,0.500,-1.180
2,6:07,4,17,CHI 33,3,13,Tory Taylor punts 54 yards out of bounds,-1.180,0.320
2,6:01,1,10,HOU 13,3,13,Joe Mixon left tackle for -2 yards (tackle by Jaquan Brisker),-0.320,-0.930
2,5:21,2,12,HOU 11,3,13,C.J. Stroud pass complete short left to Joe Mixon for 8 yards (tackle by Tremaine Edmunds and Kyler Gordon),-0.930,-0.710
2,4:35,3,4,HOU 19,3,13,C.J. Stroud sacked by Tremaine Edmunds for -7 yards,-0.710,-2.490
2,3:50,4,11,HOU 12,3,13,Tommy Townsend punts 37 yards out of bounds,-2.490,-2.320
2,3:42,1,10,HOU 49,3,13,Caleb Williams pass complete short right to D'Andre Swift for 7 yards (tackle by Calen Bullock),2.320,2.730
2,3:10,2,3,HOU 42,3,13,D'Andre Swift up the middle for no gain (tackle by Jalen Pitre),2.730,2.020
2,2:30,3,3,HOU 42,3,13,Caleb Williams pass complete short right to D.J. Moore for 16 yards (tackle by Jalen Pitre),2.020,3.840
2,2:00,1,10,HOU 26,3,13,Caleb Williams pass complete short left to Gerald Everett for -1 yards (tackle by Will Anderson and Jalen Pitre),3.840,3.160
2,1:16,2,11,HOU 27,3,13,Caleb Williams pass complete short middle to Khalil Herbert for 2 yards (tackle by Henry To'oTo'o),3.160,2.740
2,1:11,,,,,,Timeout #2 by Houston Texans,,
2,1:11,3,9,HOU 25,3,13,Penalty on Darnell Wright: False Start 5 yards (accepted) (no play),2.740,2.080
2,1:11,3,14,HOU 30,3,13,Caleb Williams pass incomplete deep middle intended for DeAndre Carter. Penalty on Calen Bullock: Defensive Pass Interference 24 yards (accepted) (no play),2.080,5.830
2,1:07,1,6,HOU 6,3,13,Penalty on Marcedes Lewis: False Start 5 yards (accepted) (no play),5.830,4.770
2,1:07,1,11,HOU 11,3,13,Caleb Williams scrambles up the middle for 9 yards (tackle by Calen Bullock),4.770,5.720
2,0:38,2,2,HOU 2,3,13,Caleb Williams pass incomplete short right intended for Rome Odunze,5.720,4.950
2,0:35,3,2,HOU 2,9,13,Khalil Herbert left tackle for 2 yards touchdown,4.950,7.000
2,0:32,,,HOU 15,10,13,Cairo Santos kicks extra point good,0.000,0.000
2,0:32,,,CHI 35,10,13,Cairo Santos kicks off 65 yards touchback.. Penalty on Amen Ogbongbemiga: Illegal Formation 5 yards (accepted),0.000,1.270
2,0:32,1,10,HOU 35,10,13,C.J. Stroud pass complete short left to Dare Ogunbowale for 13 yards (tackle by Jaquan Brisker),1.270,2.130
2,0:22,,,,,,Timeout #3 by Houston Texans,,
2,0:22,1,10,HOU 48,10,13,C.J. Stroud pass incomplete deep right intended for Tank Dell,2.130,1.580
2,0:17,2,10,HOU 48,10,13,C.J. Stroud pass complete deep right to Nico Collins for 16 yards (tackle by Kevin Byard) Replay Assistant challenged the pass completion ruling and the play was upheld.,1.580,3.180
2,0:09,1,10,CHI 36,10,13,Penalty on Laremy Tunsil: False Start 5 yards (accepted) (no play),3.180,2.850
2,0:09,,,,,,Timeout #3 by Chicago Bears,,
2,0:09,1,15,CHI 41,10,13,C.J. Stroud pass incomplete short right,2.850,1.960
2,0:06,2,15,CHI 41,10,16,Ka'imi Fairbairn 59 yard field goal good,1.960,3.000
2,0:01,,,HOU 35,10,16,Ka'imi Fairbairn kicks off 67 yards returned by DeAndre Carter for 26 yards (tackle by Dare Ogunbowale),0.000,1.270
3,15:00,,,HOU 35,10,16,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,CHI 30,10,16,Caleb Williams pass complete short left to Cole Kmet for 3 yards (tackle by Azeez Al-Shaair),0.940,0.800
3,14:18,2,7,CHI 33,10,16,D'Andre Swift right guard for 4 yards (tackle by Kamari Lassiter and Azeez Al-Shaair),0.800,0.630
3,13:41,3,3,CHI 37,10,16,Caleb Williams pass incomplete deep left intended for DeAndre Carter,0.630,-0.910
3,13:31,4,3,CHI 37,10,16,Tory Taylor punts 53 yards returned by Steven Sims for no gain (tackle by Josh Blackwell),-0.910,0.380
3,13:25,1,10,HOU 10,10,16,Joe Mixon left end for 1 yard (tackle by Tyrique Stevenson and Jaquan Brisker),-0.380,-0.710
3,13:13,2,9,HOU 11,10,16,C.J. Stroud pass complete short left to Nico Collins for 16 yards (tackle by Tyrique Stevenson and Kevin Byard),-0.710,0.740
3,12:37,1,10,HOU 27,10,16,C.J. Stroud pass complete short right to Tank Dell for -3 yards (tackle by Kevin Byard),0.740,-0.210
3,12:00,2,13,HOU 24,10,16,C.J. Stroud pass complete short right to Joe Mixon for 9 yards (tackle by T.J. Edwards),-0.210,0.300
3,11:32,3,4,HOU 33,10,16,C.J. Stroud pass incomplete deep middle intended for Tank Dell,0.300,-1.180
3,11:26,4,4,HOU 33,10,16,Tommy Townsend punts 60 yards downed by D'Angelo Ross,-1.180,0.380
3,11:12,1,10,CHI 7,10,16,Caleb Williams pass incomplete short right intended for Cole Kmet. Penalty on Jalen Pitre: Defensive Pass Interference 6 yards (accepted) (no play),-0.380,-0.320
3,11:06,1,10,CHI 13,10,16,D'Andre Swift left end for -4 yards (tackle by Henry To'oTo'o),-0.320,-1.070
3,10:25,2,14,CHI 9,10,16,Caleb Williams pass incomplete deep right intended for Rome Odunze,-1.070,-1.890
3,10:19,3,14,CHI 9,10,16,Caleb Williams scrambles left end for 10 yards (tackle by Azeez Al-Shaair),-1.890,-2.140
3,9:40,4,4,CHI 19,10,16,Tory Taylor punts 57 yards returned by Steven Sims for no gain (tackle by Scott Daly and Daniel Hardy). Penalty on Kris Boyd: Offensive Holding 10 yards (accepted),-2.140,0.280
3,9:24,1,10,HOU 14,10,16,C.J. Stroud pass incomplete deep right intended for Dalton Schultz,-0.280,-0.750
3,9:17,2,10,HOU 14,10,16,C.J. Stroud pass incomplete deep middle intended for Stefon Diggs,-0.750,-1.400
3,9:13,3,10,HOU 14,10,16,Penalty on Laremy Tunsil: False Start 5 yards (accepted) (no play),-1.400,-2.010
3,9:13,3,15,HOU 9,10,16,C.J. Stroud pass incomplete short middle intended for Stefon Diggs,-2.010,-2.490
3,9:07,4,15,HOU 9,10,16,Tommy Townsend punts 47 yards downed by D'Angelo Ross. Penalty on Elijah Hicks: Offensive Holding 10 yards (accepted),-2.490,-1.200
3,8:56,1,10,CHI 34,10,16,Penalty on Caleb Williams: Delay of Game 5 yards (accepted) (no play),1.200,0.870
3,8:56,1,15,CHI 29,10,16,Caleb Williams pass complete short right to Cole Kmet for 6 yards (tackle by Jimmie Ward and Henry To'oTo'o),0.870,0.790
3,8:20,2,9,CHI 35,10,16,Caleb Williams pass deep left is intercepted by Kamari Lassiter at HOU-30 and returned for no gain (tackle by Rome Odunze). Penalty on Henry To'oTo'o: Defensive Holding 5 yards (accepted) (no play),0.790,1.600
3,8:11,1,10,CHI 40,10,16,Caleb Williams pass complete short right to D.J. Moore for 10 yards (tackle by Henry To'oTo'o and Danielle Hunter),1.600,2.260
3,7:26,1,10,CHI 50,10,16,Penalty on Nate Davis: False Start 5 yards (accepted) (no play),2.260,1.930
3,7:26,1,15,CHI 45,10,16,Caleb Williams sacked by Azeez Al-Shaair for no gain,1.930,1.040
3,7:02,2,15,CHI 45,10,16,Caleb Williams pass complete short left to D'Andre Swift for 14 yards (tackle by Jimmie Ward),1.040,2.210
3,6:14,3,1,HOU 41,10,16,Caleb Williams sacked by Will Anderson for -7 yards,2.210,0.070
3,5:28,4,8,HOU 48,10,16,Tory Taylor punts 25 yards out of bounds,0.070,-0.480
3,5:27,1,10,HOU 23,10,16,C.J. Stroud pass complete short right to Dalton Schultz for 5 yards (tackle by Kevin Byard),0.480,0.610
3,4:59,2,5,HOU 28,10,16,Cam Akers left tackle for 7 yards (tackle by T.J. Edwards and Kevin Byard),0.610,1.270
3,4:21,1,10,HOU 35,10,16,C.J. Stroud pass incomplete short right,1.270,0.720
3,4:16,2,10,HOU 35,10,16,C.J. Stroud pass incomplete short right intended for Nico Collins (defended by Kyler Gordon) CHI challenged the pass interception ruling and the play was upheld.,0.720,0.040
3,4:11,3,10,HOU 35,10,16,C.J. Stroud sacked by Gervon Dexter for -10 yards,0.040,-1.700
3,3:36,4,20,HOU 25,10,16,Tommy Townsend punts 42 yards returned by DeAndre Carter for 1 yard (tackle by Kris Boyd),-1.700,-1.200
3,3:28,1,10,CHI 34,10,16,D'Andre Swift right end for 6 yards (tackle by Folorunso Fatukasi),1.200,1.470
3,3:01,2,4,CHI 40,10,16,D'Andre Swift right tackle for 1 yard (tackle by Danielle Hunter). Penalty on Folorunso Fatukasi: Defensive Holding 5 yards (accepted),1.470,1.990
3,2:34,1,10,CHI 46,10,16,D'Andre Swift left end for 1 yard (tackle by Azeez Al-Shaair),1.990,1.590
3,1:59,2,9,CHI 47,10,16,Caleb Williams pass complete short right to D.J. Moore for 1 yard (tackle by Jimmie Ward). Penalty on D'Andre Swift: Offensive Holding 10 yards (accepted),1.590,0.370
3,1:51,2,18,CHI 38,10,16,Caleb Williams pass complete short left to Khalil Herbert for 2 yards (tackle by Jalen Pitre),0.370,-0.030
3,0:57,3,16,CHI 40,10,16,Caleb Williams pass deep left intended for D.J. Moore is intercepted by Derek Stingley at HOU-34 and returned for no gain (tackle by D.J. Moore),-0.030,-1.200
3,0:50,1,10,HOU 34,10,16,Tank Dell left end for -5 yards (tackle by Kyler Gordon),1.200,-0.020
3,0:09,2,15,HOU 29,10,16,C.J. Stroud pass complete short right to Stefon Diggs for 7 yards (tackle by Kyler Gordon and Tremaine Edmunds),-0.020,0.230
4,15:00,3,8,HOU 36,10,16,C.J. Stroud pass complete deep right to Nico Collins for 26 yards (tackle by Kyler Gordon),0.230,3.050
4,14:31,1,10,CHI 38,10,16,C.J. Stroud pass incomplete short right intended for Tank Dell,3.050,2.510
4,14:26,2,10,CHI 38,10,16,Joe Mixon right tackle for 4 yards (tackle by T.J. Edwards),2.510,2.340
4,13:47,3,6,CHI 34,10,16,C.J. Stroud pass incomplete short right intended for Xavier Hutchinson (defended by Tyrique Stevenson),2.340,1.070
4,13:43,4,6,CHI 34,10,19,Ka'imi Fairbairn 53 yard field goal good,1.070,3.000
4,13:39,,,HOU 35,10,19,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
4,13:39,1,10,CHI 30,10,19,Caleb Williams pass complete short right to D'Andre Swift for -5 yards (tackle by Jalen Pitre),0.940,-0.280
4,13:09,2,15,CHI 25,10,19,Caleb Williams pass deep right intended for Cole Kmet is intercepted by Kamari Lassiter at HOU-48 and returned for 9 yards (tackle by Rome Odunze),-0.280,-2.720
4,12:55,1,10,CHI 43,10,19,Joe Mixon left end for 1 yard (tackle by T.J. Edwards),2.720,2.310
4,12:15,2,9,CHI 42,10,19,C.J. Stroud sacked by Jack Sanborn for -8 yards,2.310,0.560
4,11:32,3,17,CHI 50,10,19,C.J. Stroud pass complete short right to Nico Collins for 7 yards (tackle by Tremaine Edmunds and Kevin Byard),0.560,0.400
4,10:50,4,10,CHI 43,10,19,Tommy Townsend punts 37 yards downed by D'Angelo Ross,0.400,0.380
4,10:43,1,10,CHI 6,10,19,D'Andre Swift left tackle for 3 yards (tackle by Eric Murray),-0.380,-0.560
4,10:21,2,7,CHI 9,10,19,Caleb Williams pass incomplete deep left,-0.560,-1.070
4,10:15,3,7,CHI 9,10,19,Caleb Williams sacked by Mario Edwards for -7 yards,-1.070,-2.490
4,9:36,4,14,CHI 2,10,19,Tory Taylor punts 54 yards returned by Steven Sims for 11 yards (tackle by Daniel Hardy and Jaylon Jones),-2.490,-2.590
4,9:24,1,10,CHI 45,10,19,Cam Akers right tackle for 7 yards (tackle by Kevin Byard),2.590,2.990
4,8:49,2,3,CHI 38,10,19,Cam Akers right guard for 13 yards (tackle by Tyrique Stevenson),2.990,3.910
4,8:07,1,10,CHI 25,10,19,Cam Akers up the middle for 1 yard (tackle by DeMarcus Walker),3.910,3.500
4,7:30,2,9,CHI 24,10,19,Cam Akers up the middle for 4 yards (tackle by Tremaine Edmunds and Jaquan Brisker),3.500,3.340
4,7:22,,,,,,Timeout #2 by Chicago Bears,,
4,7:22,3,5,CHI 20,10,19,C.J. Stroud pass complete short left to Dalton Schultz for 16 yards (tackle by T.J. Edwards and Jaquan Brisker),3.340,6.280
4,6:39,1,4,CHI 4,10,19,Cam Akers up the middle for no gain. Cam Akers fumbles (forced by Andrew Billings) recovered by Kevin Byard at CHI-3 (tackle by Andrew Billings),6.280,0.380
4,6:28,1,10,CHI 3,10,19,D'Andre Swift left guard for 1 yard (tackle by Henry To'oTo'o),-0.380,-0.710
4,6:05,2,9,CHI 4,10,19,Caleb Williams pass incomplete short middle intended for D.J. Moore (defended by Eric Murray),-0.710,-1.300
4,6:00,3,9,CHI 4,10,19,Caleb Williams scrambles right end for 24 yards (tackle by Calen Bullock),-1.300,0.810
4,5:32,1,10,CHI 28,10,19,Caleb Williams pass complete short left to D.J. Moore for 7 yards (tackle by Jalen Pitre),0.810,1.210
4,5:11,2,3,CHI 35,10,19,Caleb Williams pass incomplete deep left intended for D.J. Moore,1.210,0.500
4,5:02,3,3,CHI 35,10,19,Caleb Williams pass complete short left to Cole Kmet for 12 yards (tackle by Eric Murray),0.500,2.060
4,4:31,1,10,CHI 47,10,19,Caleb Williams pass complete short right to Cole Kmet for 6 yards (tackle by Jalen Pitre),2.060,2.330
4,4:11,2,4,HOU 47,10,19,Caleb Williams pass incomplete short right. Penalty on Caleb Williams: Intentional Grounding 10 yards (accepted),2.330,0.300
4,4:07,3,14,CHI 43,10,19,Caleb Williams pass incomplete deep right intended for D.J. Moore. Penalty on Mario Edwards: Roughing the Passer 15 yards (accepted) (no play),0.300,2.790
4,4:02,1,10,HOU 42,10,19,Caleb Williams sacked by Henry To'oTo'o for no gain,2.790,2.240
4,3:36,2,10,HOU 42,10,19,Travis Homer up the middle for 6 yards (tackle by Jimmie Ward and Henry To'oTo'o),2.240,2.340
4,3:01,3,4,HOU 36,10,19,Caleb Williams pass incomplete deep left intended for D.J. Moore,2.340,0.890
4,2:56,4,4,HOU 36,13,19,Cairo Santos 54 yard field goal good,0.890,3.000
4,2:51,,,CHI 35,13,19,Cairo Santos kicks off 63 yards returned by Steven Sims for 37 yards (tackle by Elijah Hicks),0.000,1.530
4,2:45,1,10,HOU 39,13,19,Dare Ogunbowale up the middle for no gain (tackle by Jack Sanborn and DeMarcus Walker),1.530,0.990
4,2:03,2,10,HOU 39,13,19,Dare Ogunbowale right guard for 3 yards (tackle by Jaquan Brisker and T.J. Edwards),0.990,0.700
4,1:57,3,7,HOU 42,13,19,C.J. Stroud scrambles right end for no gain (tackle by Jaquan Brisker). Penalty on Tytus Howard: Illegal Use of Hands / Offense 10 yards (accepted) (no play),0.700,-0.630
4,1:50,3,17,HOU 32,13,19,C.J. Stroud pass complete short left to Stefon Diggs for 4 yards (tackle by Kyler Gordon and Jaquan Brisker),-0.630,-0.980
4,1:45,,,,,,Timeout #3 by Chicago Bears,,
4,1:45,4,13,HOU 36,13,19,Tommy Townsend punts 44 yards fair catch by DeAndre Carter at CHI-20,-0.980,-0.280
4,1:37,1,10,CHI 20,13,19,Caleb Williams pass complete short right to Rome Odunze for 27 yards (tackle by Jimmie Ward),0.280,2.060
4,1:11,1,10,CHI 47,13,19,Caleb Williams pass incomplete short right intended for Gerald Everett,2.060,1.520
4,1:07,2,10,CHI 47,13,19,Caleb Williams sacked by Danielle Hunter for -8 yards,1.520,-0.230
4,0:42,3,18,CHI 39,13,19,Caleb Williams scrambles left end for 1 yard (tackle by Jalen Pitre and Azeez Al-Shaair). Penalty on Braxton Jones: Illegal Formation 5 yards (declined),-0.230,-0.720
4,0:34,4,17,CHI 40,13,19,Caleb Williams pass incomplete deep right intended for Rome Odunze,-0.720,-2.920
4,0:30,1,10,CHI 40,13,19,C.J. Stroud kneels for -1 yards,2.920,2.240
