Quarter,Time,Down,ToGo,Location,CLE,NOR,Detail,EPB,EPA
3,12:15,1,10,CLE 28,6,14,Jameis Winston pass complete short middle to Jerry Jeudy for 4 yards (tackle by Pete Werner),0.810,0.800
3,11:36,2,6,CLE 32,6,14,Nick Chubb left tackle for 14 yards (tackle by Will Harris),0.800,1.990
3,10:55,1,10,CLE 46,6,14,Nick Chubb right tackle for 6 yards (tackle by Ugo Amadi and Will Harris),1.990,2.260
3,10:16,2,4,NOR 48,6,14,Nick Chubb right tackle for 7 yards (tackle by Bryan Bresee and Pete Werner),2.260,2.850
3,9:38,1,10,NOR 41,6,14,Jameis Winston pass complete short left to Jerry Jeudy for 11 yards (tackle by Kool-Aid McKinstry),2.850,3.580
3,8:58,1,10,NOR 30,12,14,Jameis Winston pass complete deep right to Elijah Moore for 30 yards touchdown,3.580,7.000
3,8:49,,,NOR 2,14,14,Two Point Attempt: Jameis Winston pass complete to to David Njoku for no gain,1.000,1.000
3,8:49,,,CLE 35,14,14,Dustin Hopkins kicks off 65 yards touchback.,0.000,0.940
3,8:49,1,10,NOR 30,14,14,Alvin Kamara right end for 2 yards (tackle by Isaiah McGuire and Maurice Hurst),0.940,0.660
3,8:12,2,8,NOR 32,14,14,Derek Carr pass complete deep right to Foster Moreau for 19 yards (tackle by Denzel Ward),0.660,2.320
3,7:35,1,10,CLE 49,14,14,Alvin Kamara left tackle for -1 yards (tackle by Devin Bush),2.320,1.650
3,6:51,2,11,CLE 50,14,14,Alvin Kamara left end for -3 yards (tackle by Martin Emerson),1.650,0.560
3,6:09,3,14,NOR 47,14,14,Derek Carr pass complete short right to Alvin Kamara for no gain (tackle by Dalvin Tomlinson and Grant Delpit),0.560,-0.260
3,5:34,4,14,NOR 47,14,14,Matthew Hayball punts 43 yards fair catch by Elijah Moore at CLE-10,-0.260,0.380
3,5:27,1,10,CLE 10,14,14,Nick Chubb left guard for no gain (tackle by Demario Davis and Will Harris),-0.380,-0.780
3,4:53,2,10,CLE 10,14,14,Jameis Winston pass complete short right to Jerome Ford for 13 yards (tackle by Alontae Taylor),-0.780,0.480
3,4:18,1,10,CLE 23,14,14,Jameis Winston pass incomplete deep right intended for Jerry Jeudy (defended by Alontae Taylor),0.480,-0.070
3,4:10,2,10,CLE 23,14,14,Jerome Ford right tackle for 3 yards (tackle by Pete Werner and Demario Davis),-0.070,-0.360
3,3:37,3,7,CLE 26,14,14,Jameis Winston pass incomplete deep left intended for Elijah Moore,-0.360,-1.630
3,3:31,4,7,CLE 26,14,14,Corey Bojorquez punts 52 yards returned by Dante Pettis for 1 yard (tackle by D'Anthony Bell),-1.630,-0.480
3,3:18,1,10,NOR 23,14,14,Derek Carr sacked by Ogbonnia Okoronkwo for -7 yards. Derek Carr fumbles (forced by Ogbonnia Okoronkwo) recovered by Derek Carr at NO-16,0.480,-1.150
3,2:37,2,17,NOR 16,14,14,Alvin Kamara right guard for 4 yards (tackle by Ogbonnia Okoronkwo and Devin Bush),-1.150,-1.150
3,1:58,3,13,NOR 20,14,14,Derek Carr pass complete short right to Taysom Hill for 14 yards (tackle by Jordan Hicks),-1.150,1.200
3,1:16,1,10,NOR 34,14,14,Jordan Mims right end for 2 yards (tackle by Mohamoud Diabate),1.200,0.930
3,0:35,2,8,NOR 36,14,14,Derek Carr pass complete deep right to Foster Moreau for 22 yards (tackle by Juan Thornhill and Denzel Ward),0.930,2.790
4,15:00,1,10,CLE 42,14,14,Derek Carr pass incomplete deep middle intended for Marquez Valdes-Scantling (defended by Denzel Ward),2.790,2.240
4,14:55,2,10,CLE 42,14,14,Derek Carr pass complete short right to Alvin Kamara for no gain (tackle by Devin Bush),2.240,1.550
4,14:17,3,10,CLE 42,14,14,Derek Carr pass complete short right to Foster Moreau for 9 yards (tackle by Jordan Hicks and Greg Newsome),1.550,1.210
4,13:29,4,1,CLE 33,14,20,Taysom Hill right end for 33 yards touchdown,1.210,7.000
4,13:22,,,CLE 15,14,21,Blake Grupe kicks extra point good,0.000,0.000
4,13:22,,,NOR 35,14,21,Blake Grupe kicks off 60 yards returned by Jerome Ford for 11 yards (tackle by J.T. Gray and Anfernee Orji),0.000,-0.140
4,13:17,1,10,CLE 16,14,21,Jameis Winston pass complete short right to Jamari Thrash for 11 yards (tackle by Ugo Amadi),-0.140,0.740
4,12:36,1,10,CLE 27,14,21,Jameis Winston pass incomplete short left intended for Jerry Jeudy,0.740,0.200
4,12:31,2,10,CLE 27,14,21,Jameis Winston pass complete short left to David Njoku for 6 yards (tackle by Demario Davis),0.200,0.300
4,11:55,3,4,CLE 33,14,21,Jameis Winston pass complete short left to David Njoku for 18 yards (tackle by Jordan Howden),0.300,2.320
4,11:14,1,10,NOR 49,14,21,Nick Chubb left tackle for 4 yards (tackle by Cameron Jordan),2.320,2.320
4,10:36,2,6,NOR 45,14,21,Penalty on Jack Conklin: False Start 5 yards (accepted) (no play),2.320,1.650
4,10:36,2,11,NOR 50,14,21,Jameis Winston sacked by and Bryan Bresee for no gain and Chase Young for no gain,1.650,0.960
4,9:53,3,11,NOR 50,14,21,Jameis Winston sacked by Carl Granderson for -11 yards,0.960,-0.780
4,9:14,4,21,CLE 39,14,21,Corey Bojorquez punts returned by Dante Pettis for 53 yards touchdown Replay Assistant challenged the runner was in bounds ruling and the original play was overturned. Corey Bojorquez punts 49 yards returned by Dante Pettis for 53 yards (tackle by Corey Bojorquez),-0.780,-3.250
4,9:00,1,10,CLE 35,14,21,Derek Carr pass incomplete deep right intended for Foster Moreau (defended by Grant Delpit),3.250,2.700
4,8:54,2,10,CLE 35,14,21,Penalty on Dalvin Tomlinson: Encroachment 5 yards (accepted) (no play),2.700,3.380
4,8:54,2,5,CLE 30,14,21,Alvin Kamara right tackle for 18 yards (tackle by Ronnie Hickman),3.380,4.780
4,8:12,1,10,CLE 12,14,21,Taysom Hill left end for 6 yards (tackle by Martin Emerson),4.780,5.210
4,7:31,2,4,CLE 6,14,21,Alvin Kamara right guard for 5 yards (tackle by Dalvin Tomlinson),5.210,6.970
4,6:50,1,1,CLE 1,14,21,Alvin Kamara right tackle for no gain (tackle by Mohamoud Diabate and Jordan Hicks),6.970,5.910
4,6:08,2,1,CLE 1,14,27,Derek Carr pass complete short right to Juwan Johnson for 1 yard touchdown,5.910,7.000
4,6:04,,,CLE 15,14,28,Blake Grupe kicks extra point good,0.000,0.000
4,6:04,,,NOR 35,14,28,Blake Grupe kicks off 65 yards touchback.,0.000,0.940
4,6:04,1,10,CLE 30,14,28,Jameis Winston pass complete short right to Jerome Ford for 6 yards (tackle by Nathan Shepherd and Demario Davis),0.940,1.200
4,5:30,2,4,CLE 36,14,28,Jameis Winston pass complete deep right to Cedric Tillman for 22 yards (tackle by Tyrann Mathieu),1.200,2.790
4,5:01,1,10,NOR 42,14,28,Jameis Winston pass complete short left to Jerome Ford for -4 yards (tackle by Chase Young),2.790,1.700
4,4:33,2,14,NOR 46,14,28,Jameis Winston pass complete short right to David Njoku for 4 yards (tackle by Ugo Amadi),1.700,1.550
4,3:58,3,10,NOR 42,14,28,Jameis Winston pass complete short left to Elijah Moore for 8 yards (tackle by Ugo Amadi),1.550,1.100
4,3:31,4,2,NOR 34,14,28,Jameis Winston pass complete short right to Elijah Moore for 8 yards (tackle by Alontae Taylor),1.100,3.840
4,3:25,1,10,NOR 26,14,28,Jameis Winston pass complete short left to David Njoku for 4 yards (tackle by Kool-Aid McKinstry),3.840,3.840
4,2:55,2,6,NOR 22,14,28,Jameis Winston pass incomplete short left intended for Jerry Jeudy,3.840,3.140
4,2:52,,,,,,Timeout #1 by New Orleans Saints,,
4,2:52,3,6,NOR 22,14,28,Jameis Winston pass incomplete short left,3.140,2.020
4,2:48,4,6,NOR 22,14,28,Jameis Winston pass incomplete deep right intended for Cedric Tillman,2.020,-0.410
4,2:43,1,10,NOR 22,14,28,Taysom Hill right tackle for 3 yards (tackle by Mohamoud Diabate),0.410,0.270
4,2:38,,,,,,Timeout #1 by Cleveland Browns,,
4,2:38,2,7,NOR 25,14,34,Taysom Hill left end for 75 yards touchdown,0.270,7.000
4,2:26,,,CLE 15,14,35,Blake Grupe kicks extra point good,0.000,0.000
4,2:26,,,NOR 35,14,35,Blake Grupe kicks off 65 yards touchback.,0.000,0.940
4,2:26,1,10,CLE 30,14,35,Dorian Thompson-Robinson pass incomplete short right intended for Jordan Akins (defended by Demario Davis),0.940,0.390
4,2:23,2,10,CLE 30,14,35,Pierre Strong left tackle for 3 yards (tackle by Cameron Jordan and Isaiah Foskey),0.390,0.100
4,2:00,3,7,CLE 33,14,35,Pierre Strong left guard for 2 yards (tackle by Payton Turner and Demario Davis),0.100,-1.040
4,1:13,4,5,CLE 35,14,35,Corey Bojorquez punts 44 yards fair catch by Dante Pettis at NO-21,-1.040,-0.340
4,1:07,1,10,NOR 21,14,35,Jake Haener kneels for -1 yards,0.340,-0.340
4,0:30,2,11,NOR 20,14,35,Jake Haener kneels for -1 yards,-0.340,-1.220
