Quarter,Time,Down,ToGo,Location,MIN,CHI,Detail,EPB,EPA
1,8:24,1,10,CHI 13,0,0,Caleb Williams pass complete short right to D.J. Moore for 6 yards (tackle by Blake Cashman),-0.320,0.030
1,7:55,2,4,CHI 19,0,0,D.J. Moore right end for 13 yards (tackle by Andrew Van Ginkel and Harrison Smith),0.030,1.070
1,7:13,1,10,CHI 32,0,0,D'Andre Swift right end for -1 yards (tackle by Blake Cashman),1.070,0.390
1,6:31,2,11,CHI 31,0,0,Caleb Williams pass incomplete short middle intended for Keenan Allen,0.390,-0.290
1,6:26,3,11,CHI 31,0,0,Caleb Williams pass complete short left to Keenan Allen for -4 yards. Keenan Allen fumbles (forced by Jonathan Greenard) recovered by Keenan Allen at CHI-27 (tackle by Jonathan Greenard),-0.290,-1.570
1,5:49,4,15,CHI 27,0,0,Tory Taylor punts 49 yards returned by Brandon Powell for 9 yards (tackle by Tarvarius Moore). Penalty on C.J. Ham: Offensive Illegal Block Above the Waist 10 yards (accepted),-1.570,-0.480
1,5:36,1,10,MIN 23,0,0,Sam Darnold pass incomplete short right intended for Jordan Addison,0.480,-0.070
1,5:31,2,10,MIN 23,0,0,Sam Darnold pass incomplete deep middle intended for Justin Jefferson (defended by Kyler Gordon),-0.070,-0.760
1,5:27,3,10,MIN 23,0,0,Sam Darnold pass incomplete short right intended for C.J. Ham,-0.760,-1.830
1,5:21,4,10,MIN 23,0,0,Ryan Wright punts 46 yards downed by Brian Asamoah. Penalty on Noah Sewell: Offensive Holding 10 yards (accepted),-1.830,-0.340
1,5:10,1,10,CHI 21,0,0,Caleb Williams pass complete deep right to Keenan Allen for 40 yards (tackle by Byron Murphy),0.340,2.980
1,4:20,1,10,MIN 39,0,0,D'Andre Swift right guard for -2 yards (tackle by Jonathan Greenard),2.980,2.170
1,3:32,2,12,MIN 41,0,0,Caleb Williams pass complete deep right to D'Andre Swift for 30 yards (tackle by Harrison Smith),2.170,4.840
1,2:56,1,10,MIN 11,0,0,Caleb Williams sacked by Andrew Van Ginkel for -1 yards,4.840,3.980
1,2:13,2,11,MIN 12,0,0,Caleb Williams pass complete short left to D.J. Moore for 10 yards (tackle by Josh Metellus and Blake Cashman),3.980,5.120
1,1:34,3,1,MIN 2,0,0,Roschon Johnson right guard for 1 yard (tackle by Jerry Tillery),5.120,6.970
1,0:56,1,1,MIN 1,0,6,Roschon Johnson left tackle for 1 yard touchdown,6.970,7.000
1,0:53,,,MIN 15,0,7,Cairo Santos kicks extra point good,0.000,0.000
1,0:53,,,CHI 35,0,7,Cairo Santos kicks off 64 yards returned by Ty Chandler for 32 yards (tackle by Travis Homer and Amen Ogbongbemiga),0.000,1.140
1,0:45,1,10,MIN 33,0,7,Cam Akers left tackle for 15 yards (tackle by Tremaine Edmunds and Kevin Byard),1.140,2.130
1,0:09,1,10,MIN 48,0,7,Sam Darnold pass incomplete deep right intended for Jordan Addison (defended by Terell Smith). Penalty on DeMarcus Walker: Defensive Offside 5 yards (declined) . Penalty on Darrell Taylor: Defensive Offside 5 yards (accepted) (no play),2.130,2.860
1,0:05,1,5,CHI 47,0,7,Sam Darnold pass complete deep middle to Jordan Addison for 45 yards (tackle by Terell Smith),2.860,6.740
2,15:00,1,2,CHI 2,6,7,Sam Darnold pass complete short right to Jordan Addison for 2 yards touchdown,6.740,7.000
2,14:54,,,CHI 15,7,7,John Parker Romo kicks extra point good,0.000,0.000
2,14:54,,,MIN 35,7,7,John Parker Romo kicks off 65 yards touchback.,0.000,0.940
2,14:54,1,10,CHI 30,7,7,D'Andre Swift right end for no gain (tackle by Jonathan Bullard),0.940,0.390
2,14:27,2,10,CHI 30,7,7,D'Andre Swift left end for -1 yards (tackle by Byron Murphy),0.390,-0.430
2,13:50,3,11,CHI 29,7,7,Caleb Williams pass complete deep middle to Keenan Allen for 25 yards (tackle by Camryn Bynum),-0.430,2.520
2,13:07,1,10,MIN 46,7,7,Caleb Williams pass complete short right to Keenan Allen for 2 yards (tackle by Harrison Smith),2.520,2.250
2,12:29,2,8,MIN 44,7,7,D'Andre Swift left guard for 1 yard (tackle by Jalen Redmond and Andrew Van Ginkel),2.250,1.680
2,11:51,3,7,MIN 43,7,7,Caleb Williams pass complete short right to Keenan Allen for 7 yards (tackle by Byron Murphy and Andrew Van Ginkel),1.680,3.180
2,11:07,1,10,MIN 36,7,7,Caleb Williams scrambles right end for 2 yards (tackle by Harrison Smith),3.180,2.910
2,10:27,2,8,MIN 34,7,7,D'Andre Swift right guard for 4 yards (tackle by Andrew Van Ginkel and Stephon Gilmore),2.910,2.740
2,9:46,3,4,MIN 30,7,7,Caleb Williams pass complete deep left to Keenan Allen for 24 yards (tackle by Shaquill Griffin) MIN challenged the pass completion ruling and the original play was overturned. Caleb Williams pass incomplete deep left intended for Keenan Allen,2.740,1.460
2,9:39,4,4,MIN 30,7,7,Cairo Santos 48 yard field goal no good blocked by Jerry Tillery (tackle by Teven Jenkins),1.460,-2.060
2,9:26,1,10,MIN 47,7,7,Aaron Jones left end for 2 yards (tackle by Kevin Byard and Jack Sanborn),2.060,1.790
2,8:45,2,8,MIN 49,7,7,Sam Darnold pass complete short left to Justin Jefferson for 7 yards (tackle by Kevin Byard),1.790,2.020
2,8:37,3,1,CHI 44,7,7,Sam Darnold up the middle for 1 yard (tackle by Gervon Dexter),2.020,2.720
2,7:58,1,10,CHI 43,7,7,Aaron Jones left guard for 2 yards (tackle by Gervon Dexter and DeMarcus Walker),2.720,2.450
2,7:22,2,8,CHI 41,7,7,Sam Darnold pass incomplete deep left intended for Justin Jefferson. Penalty on Jaylon Johnson: Defensive Pass Interference 35 yards (accepted) (no play),2.450,0.000
2,7:14,1,10,CHI 6,7,7,Aaron Jones right guard for 1 yard (tackle by Jonathan Owens),0.000,5.150
2,6:34,2,5,CHI 5,13,7,Sam Darnold pass complete short left to Jalen Nailor for 5 yards touchdown Replay Assistant challenged the runner broke the plane ruling and the play was upheld.,5.150,7.000
2,6:29,,,CHI 15,14,7,John Parker Romo kicks extra point good,0.000,0.000
2,6:29,,,MIN 35,14,7,John Parker Romo kicks off 65 yards touchback.,0.000,0.940
2,6:29,1,10,CHI 30,14,7,D'Andre Swift right guard for 8 yards (tackle by Harrison Smith),0.940,1.470
2,5:47,2,2,CHI 38,14,7,Caleb Williams sacked by Jonathan Greenard for -7 yards,1.470,-0.160
2,5:06,3,9,CHI 31,14,7,Caleb Williams pass incomplete deep middle intended for Rome Odunze,-0.160,-1.310
2,5:00,4,9,CHI 31,14,7,Tory Taylor punts 54 yards returned by Brandon Powell for 12 yards (tackle by Daniel Hardy),-1.310,-0.740
2,4:50,1,10,MIN 27,14,7,Cam Akers right guard for 4 yards (tackle by Jonathan Owens),0.740,0.740
2,4:15,2,6,MIN 31,14,7,Sam Darnold pass incomplete short right,0.740,0.040
2,4:03,3,6,MIN 31,14,7,Sam Darnold pass complete short middle to T.J. Hockenson for 5 yards (tackle by Terell Smith),0.040,-0.980
2,3:18,4,1,MIN 36,14,7,Ryan Wright punts 44 yards out of bounds,-0.980,-0.280
2,3:09,1,10,CHI 20,14,7,Caleb Williams pass complete short left to D'Andre Swift for 3 yards (tackle by Josh Metellus),0.280,0.140
2,2:29,2,7,CHI 23,14,7,D'Andre Swift left guard for 4 yards (tackle by Kamu Grugier-Hill),0.140,-0.030
2,2:00,3,3,CHI 27,14,7,Caleb Williams pass complete short middle to D.J. Moore for 6 yards (tackle by Stephon Gilmore and Josh Metellus),-0.030,1.140
2,1:28,1,10,CHI 33,14,7,Caleb Williams pass complete short left to Rome Odunze for 12 yards (tackle by Blake Cashman and Camryn Bynum),1.140,1.930
2,1:04,1,10,CHI 45,14,7,Caleb Williams pass complete short right to Keenan Allen for 6 yards (tackle by Josh Metellus),1.930,2.190
2,0:57,,,,,,Timeout #1 by Chicago Bears,,
2,0:57,2,4,MIN 49,14,7,Caleb Williams pass complete short left to Cole Kmet for 14 yards (tackle by Camryn Bynum),2.190,3.250
2,0:48,,,,,,Timeout #2 by Chicago Bears,,
2,0:48,1,10,MIN 35,14,7,Penalty on Darnell Wright: False Start 5 yards (accepted) (no play),3.250,2.920
2,0:48,1,15,MIN 40,14,7,Caleb Williams pass complete short left to Rome Odunze for 3 yards (tackle by Stephon Gilmore),2.920,2.430
2,0:21,2,12,MIN 37,14,7,Caleb Williams pass incomplete deep middle intended for Cole Kmet,2.430,1.750
2,0:15,3,12,MIN 37,14,7,Caleb Williams pass complete short right to Cole Kmet for 6 yards (tackle by Shaquill Griffin),1.750,1.340
2,0:03,,,,,,Timeout #3 by Chicago Bears,,
2,0:03,4,6,MIN 31,14,10,Cairo Santos 49 yard field goal good,1.340,3.000
3,15:00,,,CHI 35,14,10,Cairo Santos kicks off 66 yards recovered by Ty Chandler at MIN-5 (tackle by Travis Homer and Terell Smith),0.000,0.480
3,14:55,1,10,MIN 23,14,10,Sam Darnold pass complete deep right to Jordan Addison for 69 yards (tackle by Kevin Byard) CHI challenged the runner was in bounds ruling and the play was upheld.,0.480,5.370
3,14:16,1,8,CHI 8,14,10,Aaron Jones left end for -5 yards (tackle by Byron Cowart and DeMarcus Walker),5.370,3.720
3,13:36,2,13,CHI 13,14,10,Sam Darnold sacked by DeMarcus Walker for -9 yards,3.720,2.080
3,12:50,3,22,CHI 22,14,10,Sam Darnold pass incomplete short middle intended for T.J. Hockenson. Penalty on Brandon Powell: Illegal Shift 5 yards (declined),2.080,1.990
3,12:45,4,22,CHI 22,17,10,John Parker Romo 40 yard field goal good,1.990,3.000
3,12:40,,,MIN 35,17,10,John Parker Romo kicks off 65 yards touchback.,0.000,0.940
3,12:40,1,10,CHI 30,17,10,Caleb Williams pass complete short left to D.J. Moore for 37 yards (tackle by Jonathan Greenard and Byron Murphy),0.940,3.380
3,11:52,1,10,MIN 33,17,10,D.J. Moore pass incomplete deep right intended for Rome Odunze (defended by Camryn Bynum),3.380,2.840
3,11:42,2,10,MIN 33,17,10,D'Andre Swift right tackle for 1 yard (tackle by Jonathan Bullard),2.840,2.280
3,10:59,3,9,MIN 32,17,10,Caleb Williams pass complete short right to Keenan Allen for 5 yards (tackle by Byron Murphy),2.280,1.750
3,10:14,4,4,MIN 27,17,10,Caleb Williams pass incomplete short left intended for Keenan Allen,1.750,-0.810
3,10:07,1,10,MIN 28,17,10,Sam Darnold sacked by Jacob Martin for no gain,0.810,0.260
3,9:22,2,10,MIN 28,17,10,Sam Darnold pass incomplete short left,0.260,-0.430
3,9:13,3,10,MIN 28,17,10,Sam Darnold pass incomplete short middle intended for Jalen Nailor,-0.430,-1.500
3,9:07,4,10,MIN 28,17,10,Ryan Wright punts 41 yards returned by DeAndre Carter for 5 yards (tackle by Trent Sherfield),-1.500,-1.330
3,8:58,1,10,CHI 36,17,10,D'Andre Swift right tackle for 7 yards (tackle by Josh Metellus and Jerry Tillery),1.330,1.740
3,8:18,2,3,CHI 43,17,10,Caleb Williams pass incomplete short left intended for D'Andre Swift,1.740,1.030
3,8:10,3,3,CHI 43,17,10,Caleb Williams pass incomplete short right intended for Cole Kmet,1.030,-0.520
3,8:02,4,4,CHI 43,17,10,Tory Taylor punts 42 yards fair catch by Brandon Powell at MIN-15,-0.520,0.220
3,8:00,1,10,MIN 15,17,10,Aaron Jones right end for 7 yards (tackle by Kevin Byard),-0.220,0.350
3,7:22,2,3,MIN 22,17,10,Sam Darnold pass incomplete short right intended for Justin Jefferson (defended by Jack Sanborn),0.350,-0.510
3,7:13,3,3,MIN 22,17,10,Sam Darnold pass incomplete short middle intended for Justin Jefferson. Penalty on Jaylon Johnson: Defensive Pass Interference 10 yards (accepted) (no play),-0.510,1.070
3,7:09,1,10,MIN 32,17,10,Aaron Jones left guard for 8 yards (tackle by Terell Smith),1.070,1.610
3,6:33,2,2,MIN 40,17,10,Aaron Jones left guard for 4 yards (tackle by T.J. Edwards and Gervon Dexter),1.610,1.860
3,5:51,1,10,MIN 44,17,10,Cam Akers right end for no gain (tackle by Gervon Dexter and T.J. Edwards),1.860,1.320
3,5:11,2,10,MIN 44,17,10,Sam Darnold pass complete short right to T.J. Hockenson for 7 yards (tackle by Kevin Byard and T.J. Edwards),1.320,1.550
3,4:28,3,3,CHI 49,17,10,Sam Darnold pass incomplete deep middle intended for Justin Jefferson (defended by Tremaine Edmunds),1.550,0.000
3,4:20,4,3,CHI 49,17,10,Ryan Wright punts 36 yards recovered by Bo Richter at CHI-15,0.000,4.580
3,4:09,1,10,CHI 15,17,10,Sam Darnold pass complete short right to Aaron Jones for no gain (tackle by Kyler Gordon),4.580,3.950
3,3:28,2,10,CHI 15,17,10,Aaron Jones right tackle for 5 yards (tackle by Tremaine Edmunds and Jonathan Owens),3.950,4.000
3,2:48,3,5,CHI 10,17,10,Sam Darnold pass complete short left to Jordan Addison for 7 yards (tackle by Tyrique Stevenson),4.000,6.510
3,2:09,1,3,CHI 3,17,10,Aaron Jones left guard for 1 yard (tackle by DeMarcus Walker),6.510,5.720
3,1:26,2,2,CHI 2,23,10,Aaron Jones right guard for 2 yards touchdown,5.720,7.000
3,1:22,,,CHI 15,24,10,John Parker Romo kicks extra point good,0.000,0.000
3,1:22,,,MIN 35,24,10,John Parker Romo kicks off 65 yards touchback.,0.000,0.940
3,1:22,1,10,CHI 30,24,10,D'Andre Swift left guard for 2 yards (tackle by Jonathan Bullard),0.940,0.660
3,0:45,2,8,CHI 32,24,10,Caleb Williams pass complete short left to D'Andre Swift for 2 yards (tackle by Harrison Smith),0.660,0.230
3,0:07,3,6,CHI 34,24,10,Caleb Williams pass incomplete short right intended for Keenan Allen,0.230,-1.110
3,0:02,4,6,CHI 34,24,10,Tory Taylor punts 41 yards returned by Brandon Powell for 10 yards (tackle by Collin Johnson),-1.110,-1.270
4,15:00,1,10,MIN 35,24,10,Sam Darnold pass complete short right to T.J. Hockenson for 20 yards (tackle by Kevin Byard). Penalty on Kevin Byard: Defensive Holding 5 yards (declined),1.270,2.590
4,14:39,1,10,CHI 45,24,10,Aaron Jones right tackle for 6 yards (tackle by Chris Williams),2.590,2.850
4,13:56,2,4,CHI 39,24,10,Aaron Jones left guard for no gain (tackle by Tremaine Edmunds). Penalty on Blake Brandel: Offensive Holding 10 yards (accepted) (no play),2.850,1.500
4,13:36,2,14,CHI 49,24,10,Sam Darnold pass complete short middle to Cam Akers for 6 yards (tackle by Gervon Dexter),1.500,1.620
4,12:57,3,8,CHI 43,24,10,Sam Darnold pass complete short left to Jordan Addison for 7 yards (tackle by Kyler Gordon),1.620,0.890
4,12:13,,,,,,Timeout #1 by Minnesota Vikings,,
4,12:13,4,1,CHI 36,24,10,Sam Darnold pass incomplete short middle intended for T.J. Hockenson (defended by Kyler Gordon),0.890,-1.330
4,12:07,1,10,CHI 36,24,10,Caleb Williams right end for 4 yards (tackle by Harrison Smith),1.330,1.330
4,11:45,2,6,CHI 40,24,10,Caleb Williams scrambles right guard for 10 yards (tackle by Harrison Smith),1.330,2.260
4,11:13,1,10,MIN 50,24,10,Caleb Williams pass complete short right to Keenan Allen for 4 yards (tackle by Harrison Smith),2.260,2.250
4,10:27,2,6,MIN 46,24,10,Caleb Williams pass complete deep right to Cole Kmet for 20 yards (tackle by Camryn Bynum),2.250,3.840
4,9:58,1,10,MIN 26,24,10,Caleb Williams pass complete short middle to Cole Kmet for 8 yards (tackle by Kamu Grugier-Hill and Blake Cashman),3.840,4.450
4,9:26,2,2,MIN 18,24,10,Caleb Williams pass incomplete short right intended for Keenan Allen,4.450,3.750
4,9:22,3,2,MIN 18,24,10,Caleb Williams pass complete short left to Cole Kmet for -2 yards (tackle by Byron Murphy),3.750,2.200
4,8:40,4,4,MIN 20,24,10,Caleb Williams scrambles right end for 7 yards (tackle by Byron Murphy and Josh Metellus),2.200,4.710
4,8:02,1,10,MIN 13,24,10,Caleb Williams pass complete short left to Rome Odunze for 3 yards (tackle by Jonathan Greenard),4.710,4.580
4,7:26,2,7,MIN 10,24,16,Caleb Williams pass complete short left to D.J. Moore for 10 yards touchdown,4.580,7.000
4,7:22,,,MIN 2,24,16,Two Point Attempt: Caleb Williams pass incomplete,1.000,-1.000
4,7:22,,,CHI 35,24,16,Cairo Santos kicks off 65 yards touchback.,0.000,0.940
4,7:22,1,10,MIN 30,24,16,Aaron Jones right end for -3 yards (tackle by T.J. Edwards),0.940,-0.010
4,6:42,2,13,MIN 27,24,16,Sam Darnold pass incomplete short right,-0.010,-0.690
4,6:32,3,13,MIN 27,24,16,Nick Mullens pass complete short middle to Aaron Jones for 14 yards (tackle by T.J. Edwards),-0.690,1.660
4,5:55,1,10,MIN 41,24,16,Aaron Jones left guard for 11 yards (tackle by Kevin Byard),1.660,2.390
4,5:17,1,10,CHI 48,24,16,Aaron Jones right tackle for -1 yards (tackle by Montez Sweat and Kevin Byard),2.390,1.710
4,4:38,2,11,CHI 49,24,16,Sam Darnold pass complete short left to Jordan Addison for 9 yards (tackle by Jonathan Owens and Tremaine Edmunds),1.710,2.210
4,3:45,3,2,CHI 40,24,16,Sam Darnold pass complete deep right to Justin Jefferson for no gain touchdown. Penalty on Brandon Powell: Offensive Pass Interference 10 yards (accepted) (no play),2.210,0.890
4,3:37,3,12,CHI 50,24,16,Sam Darnold pass complete deep right to T.J. Hockenson for 34 yards (tackle by Jonathan Owens and T.J. Edwards),0.890,4.510
4,3:23,,,,,,Timeout #2 by Chicago Bears,,
4,3:23,1,10,CHI 16,24,16,Aaron Jones right guard for 6 yards (tackle by Jack Sanborn),4.510,4.970
4,3:18,,,,,,Timeout #3 by Chicago Bears,,
4,3:18,2,4,CHI 10,24,16,Aaron Jones right guard for 3 yards (tackle by Montez Sweat and Terell Smith),4.970,4.850
4,2:33,3,1,CHI 7,24,16,Aaron Jones left guard for no gain (tackle by Tremaine Edmunds and T.J. Edwards),4.850,3.010
4,2:00,,,,,,Timeout #2 by Minnesota Vikings,,
4,2:00,4,1,CHI 7,27,16,John Parker Romo 26 yard field goal good,3.010,3.000
4,1:56,,,MIN 35,27,16,John Parker Romo kicks off 60 yards returned by DeAndre Carter for 55 yards (tackle by Dallas Turner),0.000,2.920
4,1:47,1,10,MIN 40,27,16,Caleb Williams pass complete short left to Rome Odunze for 7 yards (tackle by Stephon Gilmore),2.920,3.320
4,1:41,2,3,MIN 33,27,16,Caleb Williams pass incomplete deep left intended for Keenan Allen (defended by Stephon Gilmore),3.320,2.610
4,1:37,3,3,MIN 33,27,16,Caleb Williams pass incomplete deep right intended for Rome Odunze,2.610,1.190
4,1:32,4,3,MIN 33,27,16,Caleb Williams pass complete short middle to Rome Odunze for 14 yards (tackle by Camryn Bynum and Byron Murphy),1.190,4.310
4,1:16,1,10,MIN 19,27,16,Caleb Williams pass incomplete deep right intended for Rome Odunze,4.310,3.750
4,1:11,2,10,MIN 19,27,16,Caleb Williams pass complete short right to Cole Kmet for 8 yards (tackle by Shaquill Griffin),3.750,4.430
4,0:45,3,2,MIN 11,27,16,Caleb Williams pass complete short right to Roschon Johnson for 10 yards (tackle by Kamu Grugier-Hill and Shaquill Griffin),4.430,6.970
4,0:29,1,1,MIN 1,27,22,Caleb Williams pass complete short right to Keenan Allen for 1 yard touchdown,6.970,7.000
4,0:22,,,MIN 2,27,24,Two Point Attempt: Caleb Williams pass complete to to D.J. Moore for no gain,1.000,1.000
4,0:22,,,,,,Timeout #3 by Minnesota Vikings,,
4,0:22,,,CHI 35,27,24,Cairo Santos kicks onside 8 yards recovered by Tarvarius Moore,0.000,-1.800
4,0:21,1,10,CHI 43,27,24,Caleb Williams pass complete deep middle to D.J. Moore for 27 yards (tackle by Shaquill Griffin),1.800,3.580
4,0:04,1,10,MIN 30,27,24,Caleb Williams spiked the ball,3.580,3.030
4,0:03,2,10,MIN 30,27,27,Cairo Santos 48 yard field goal good,3.030,3.000
,,,,,,,Bears won the coin toss Bears to receive the overtime kickoff.,,
OT,10:00,,,MIN 35,27,27,John Parker Romo kicks off 65 yards touchback.,0.000,0.940
OT,10:00,1,10,CHI 30,27,27,Caleb Williams scrambles right guard for 1 yard (tackle by Andrew Van Ginkel and Jonathan Bullard),0.940,0.530
OT,9:13,2,9,CHI 31,27,27,Caleb Williams sacked by Jonathan Greenard for -12 yards,0.530,-1.870
OT,8:22,3,21,CHI 19,27,27,Penalty on Caleb Williams: Delay of Game 5 yards (accepted) (no play),-1.870,-3.070
OT,8:22,3,26,CHI 14,27,27,Caleb Williams pass complete short middle to D.J. Moore for 10 yards (tackle by Harrison Smith and Josh Metellus),-3.070,-1.770
OT,7:43,4,16,CHI 24,27,27,Tory Taylor punts 54 yards returned by Brandon Powell for -1 yards (tackle by Tarvarius Moore),-1.770,-0.340
OT,7:39,1,10,MIN 21,27,27,Sam Darnold sacked by Montez Sweat for -7 yards,0.340,-1.250
OT,6:56,2,17,MIN 14,27,27,Sam Darnold pass complete short middle to T.J. Hockenson for 7 yards (tackle by T.J. Edwards and Tremaine Edmunds),-1.250,-0.890
OT,6:23,,,,,,Timeout #1 by Chicago Bears,,
OT,6:23,3,10,MIN 21,27,27,Sam Darnold pass complete short right to Jordan Addison for 13 yards (tackle by Kevin Byard),-0.890,1.200
OT,5:43,1,10,MIN 34,27,27,Penalty on Johnny Mundt: False Start 5 yards (accepted) (no play),1.200,0.870
OT,5:43,1,15,MIN 29,27,27,Sam Darnold pass complete short middle to Justin Jefferson for 20 yards (tackle by Tremaine Edmunds),0.870,2.190
OT,5:05,1,10,MIN 49,27,27,Sam Darnold scrambles left end for no gain (tackle by Gervon Dexter). Penalty on Blake Brandel: Offensive Holding 10 yards (accepted) (no play),2.190,1.530
OT,4:55,1,20,MIN 39,27,27,Sam Darnold pass complete short left to Aaron Jones for 9 yards (tackle by T.J. Edwards),1.530,1.510
OT,4:30,2,11,MIN 48,27,27,Sam Darnold pass complete short middle to T.J. Hockenson for 12 yards (tackle by Tremaine Edmunds and Kyler Gordon),1.510,2.920
OT,3:52,1,10,CHI 40,27,27,Aaron Jones left guard for 2 yards (tackle by Tremaine Edmunds),2.920,2.640
OT,3:14,2,8,CHI 38,27,27,Sam Darnold pass complete deep right to T.J. Hockenson for 29 yards (tackle by Kevin Byard and Jonathan Owens),2.640,5.140
OT,2:28,1,9,CHI 9,27,27,Sam Darnold left guard for -2 yards,5.140,4.020
OT,2:13,,,,,,Timeout #2 by Chicago Bears,,
OT,2:13,2,11,CHI 11,30,27,John Parker Romo 29 yard field goal good,4.020,3.000
