Quarter,Time,Down,ToGo,Location,HOU,JAX,Detail,EPB,EPA
2,14:56,4,10,JAX 35,3,0,Ka'imi Fairbairn 53 yard field goal good,0.970,3.000
2,14:51,,,HOU 35,3,0,Ka'imi Fairbairn kicks off 62 yards returned by Devin Duvernay for 21 yards (tackle by Jeff Okudah),0.000,0.540
2,14:43,1,10,JAX 24,3,0,Tank Bigsby up the middle for -3 yards (tackle by Jimmie Ward),0.540,-0.410
2,14:12,2,13,JAX 21,3,0,Tank Bigsby right end for 2 yards (tackle by Danielle Hunter),-0.410,-0.820
2,13:33,3,11,JAX 23,3,0,Trevor Lawrence pass deep middle intended for Brian Thomas is intercepted by Derek Stingley at HOU-25 and returned for 31 yards (tackle by Tank Bigsby),-0.820,-2.650
2,13:17,1,10,JAX 44,3,0,C.J. Stroud pass complete short right to Nico Collins for 4 yards (tackle by Darnell Savage),2.650,2.650
2,12:49,2,6,JAX 40,3,0,C.J. Stroud pass complete short left to Cade Stover for 4 yards (tackle by Antonio Johnson),2.650,2.480
2,12:10,3,2,JAX 36,3,0,C.J. Stroud pass incomplete deep left intended for Tank Dell,2.480,0.890
2,12:05,4,2,JAX 36,3,0,C.J. Stroud pass complete short middle to Dalton Schultz for 6 yards (tackle by Antonio Johnson),0.890,3.580
2,11:26,1,10,JAX 30,3,0,C.J. Stroud pass complete short left to Nico Collins for 6 yards (tackle by Antonio Johnson),3.580,3.840
2,10:43,2,4,JAX 24,3,0,Joe Mixon left end for -2 yards (tackle by DaVon Hamilton),3.840,2.870
2,9:56,3,6,JAX 26,3,0,C.J. Stroud pass complete short right to Nico Collins for no gain (tackle by Tyson Campbell). Penalty on Montaric Brown: Illegal Contact 5 yards (accepted) (no play),2.870,4.170
2,9:27,1,10,JAX 21,3,0,Joe Mixon up the middle for 13 yards (tackle by Antonio Johnson),4.170,5.370
2,8:40,1,8,JAX 8,3,0,Joe Mixon up the middle for 2 yards (tackle by Foyesade Oluokun and Ventrell Miller),5.370,4.950
2,7:58,2,6,JAX 6,3,0,C.J. Stroud sacked by Josh Hines-Allen for -11 yards,4.950,2.740
2,7:12,3,17,JAX 17,3,0,C.J. Stroud scrambles right end for 6 yards (tackle by Darnell Savage),2.740,2.700
2,6:29,4,11,JAX 11,6,0,Ka'imi Fairbairn 30 yard field goal good,2.700,3.000
2,6:26,,,HOU 35,6,0,Ka'imi Fairbairn kicks off 58 yards returned by Devin Duvernay for 25 yards (tackle by Jake Hansen),0.000,1.070
2,6:18,1,10,JAX 32,6,0,Travis Etienne up the middle for 3 yards (tackle by Henry To'oTo'o and Tommy Togiai),1.070,0.930
2,5:38,2,7,JAX 35,6,0,Brian Thomas right end for 11 yards (tackle by Calen Bullock and Tommy Togiai),0.930,1.990
2,4:55,1,10,JAX 46,6,0,Travis Etienne up the middle for 3 yards (tackle by Azeez Al-Shaair),1.990,1.860
2,4:20,2,7,JAX 49,6,0,Trevor Lawrence scrambles left end for 6 yards (tackle by Azeez Al-Shaair). Penalty on Azeez Al-Shaair: Disqualification / Defense 15 yards (offset) . Penalty on Evan Engram: Unnecessary Roughness / Offense 15 yards (offset) . Penalty on Jarrian Jones: Disqualification / Offense 15 yards (offset),1.860,1.950
2,3:57,3,1,HOU 45,6,0,Tank Bigsby right guard for 1 yard (tackle by Kamari Lassiter),1.950,2.650
2,3:17,1,10,HOU 44,6,0,Travis Etienne up the middle for 5 yards (tackle by Eric Murray and Tommy Togiai),2.650,2.780
2,2:44,2,5,HOU 39,6,0,Travis Etienne up the middle for 4 yards (tackle by Tommy Togiai and Henry To'oTo'o),2.780,2.610
2,2:09,3,1,HOU 35,6,0,Penalty on Tommy Togiai: Encroachment 6 yards (accepted) (no play),2.610,3.640
2,2:00,1,10,HOU 29,6,0,Tank Bigsby up the middle for 5 yards (tackle by Kamari Lassiter and Eric Murray),3.640,3.780
2,1:54,,,,,,Timeout #1 by Houston Texans,,
2,1:54,2,5,HOU 24,6,0,Tank Bigsby up the middle for 2 yards (tackle by Henry To'oTo'o and Derek Barnett),3.780,3.340
2,1:50,,,,,,Timeout #2 by Houston Texans,,
2,1:50,3,3,HOU 22,6,0,Travis Etienne up the middle for 6 yards (tackle by Neville Hewitt and Henry To'oTo'o),3.340,4.510
2,1:45,,,,,,Timeout #3 by Houston Texans,,
2,1:45,1,10,HOU 16,6,0,Travis Etienne up the middle for 6 yards (tackle by Kamari Lassiter),4.510,4.970
2,1:12,2,4,HOU 10,6,0,Travis Etienne right end for no gain (tackle by Jimmie Ward). Penalty on Brenton Strange: Offensive Holding 10 yards (accepted) (no play),4.970,3.420
2,1:05,2,14,HOU 20,6,0,Mac Jones pass incomplete short left intended for Evan Engram (defended by Eric Murray),3.420,2.740
2,1:01,,,,,,Timeout #2 by Jacksonville Jaguars,,
2,1:01,3,14,HOU 20,6,0,Mac Jones pass complete short left to Travis Etienne for 5 yards (tackle by Eric Murray),2.740,2.440
2,0:12,,,,,,Timeout #3 by Jacksonville Jaguars,,
2,0:12,4,9,HOU 15,6,3,Cam Little 33 yard field goal good,2.440,3.000
2,0:08,,,JAX 35,6,3,Cam Little kicks off 65 yards touchback.,0.000,0.940
2,0:08,1,10,HOU 30,6,3,C.J. Stroud kneels for -1 yards,0.940,0.260
3,15:00,,,JAX 35,6,3,Cam Little kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,HOU 30,6,3,C.J. Stroud pass complete short middle to Joe Mixon for 4 yards (tackle by Foyesade Oluokun),0.940,0.930
3,14:27,2,6,HOU 34,6,3,Joe Mixon up the middle for 3 yards (tackle by Foyesade Oluokun),0.930,0.630
3,13:46,3,3,HOU 37,6,3,C.J. Stroud pass incomplete short right intended for Tank Dell (defended by Foyesade Oluokun),0.630,-0.910
3,13:41,4,3,HOU 37,6,3,Tommy Townsend punts 63 yards touchback.,-0.910,-0.280
3,13:30,1,10,JAX 20,6,3,Travis Etienne up the middle for 2 yards (tackle by Neville Hewitt and Mario Edwards),0.280,0.000
3,12:58,2,8,JAX 22,6,3,Mac Jones pass complete short right to Parker Washington for 9 yards (tackle by Kamari Lassiter),0.000,1.000
3,12:37,1,10,JAX 31,6,3,Mac Jones pass incomplete deep middle intended for Brian Thomas,1.000,0.460
3,12:30,2,10,JAX 31,6,3,Mac Jones pass incomplete short right intended for Parker Washington,0.460,-0.230
3,12:24,3,10,JAX 31,6,3,Mac Jones pass complete short middle to Brian Thomas for 56 yards (tackle by Calen Bullock),-0.230,4.710
3,11:28,1,10,HOU 13,6,3,Penalty on Mac Jones: Delay of Game 5 yards (accepted) (no play),4.710,4.290
3,11:05,1,15,HOU 18,6,3,Mac Jones pass incomplete short left intended for Parker Washington,4.290,3.400
3,11:00,2,15,HOU 18,6,3,Mac Jones pass complete short middle to Evan Engram for 6 yards (tackle by Eric Murray and Tommy Togiai),3.400,3.280
3,10:16,3,9,HOU 12,6,3,Mac Jones pass incomplete short left intended for Parker Washington,3.280,2.630
3,10:10,4,9,HOU 12,6,6,Cam Little 30 yard field goal good,2.630,3.000
3,10:06,,,JAX 35,6,6,Cam Little kicks off 65 yards touchback.,0.000,0.940
3,10:06,1,10,HOU 30,6,6,C.J. Stroud pass incomplete short left intended for Joe Mixon (defended by Arik Armstead),0.940,0.390
3,10:00,2,10,HOU 30,6,6,C.J. Stroud pass complete deep middle to Nico Collins for 22 yards (tackle by Devin Lloyd),0.390,2.390
3,9:21,1,10,JAX 48,6,6,C.J. Stroud pass complete short right to Dalton Schultz for 11 yards (tackle by Travon Walker and Ronald Darby),2.390,3.120
3,8:50,1,10,JAX 37,6,6,Joe Mixon up the middle for 30 yards (tackle by Darnell Savage),3.120,5.600
3,8:07,1,7,JAX 7,12,6,Joe Mixon left end for 7 yards touchdown,5.600,7.000
3,8:04,,,JAX 15,13,6,Ka'imi Fairbairn kicks extra point good,0.000,0.000
3,8:04,,,HOU 35,13,6,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
3,8:04,1,10,JAX 30,13,6,Mitch Morse aborted snap recovered by Mac Jones at JAC-25 Mac Jones up the middle for no gain,0.940,-0.280
3,7:26,2,15,JAX 25,13,6,Mac Jones pass complete short left to Brian Thomas for 4 yards (tackle by Neville Hewitt and Jimmie Ward),-0.280,-0.430
3,6:47,3,11,JAX 29,13,6,Mac Jones pass complete short right to Tank Bigsby for 7 yards (tackle by Jeff Okudah),-0.430,-0.980
3,6:24,4,4,JAX 36,13,6,Logan Cooke punts 39 yards returned by Tank Dell for 14 yards (tackle by Luke Farrell). Penalty on Luke Farrell: Defensive Holding 10 yards (accepted),-0.980,-2.190
3,6:12,1,10,HOU 49,13,6,C.J. Stroud pass complete short right to Joe Mixon for 9 yards (tackle by Foyesade Oluokun),2.190,2.860
3,5:37,2,1,JAX 42,13,6,Joe Mixon left end for 1 yard (tackle by Josh Hines-Allen and Devin Lloyd),2.860,2.850
3,4:50,1,10,JAX 41,13,6,C.J. Stroud pass complete short left to Joe Mixon for -4 yards (tackle by Devin Lloyd),2.850,1.770
3,4:08,2,14,JAX 45,13,6,C.J. Stroud pass complete short right to John Metchie for 19 yards (tackle by Antonio Johnson) JAX challenged the runner was down by contact ruling and the original play was overturned. C.J. Stroud pass complete short right to John Metchie for 13 yards (tackle by Antonio Johnson),1.770,2.810
3,3:52,3,1,JAX 32,13,6,Joe Mixon left end for 3 yards (tackle by DaVon Hamilton),2.810,3.640
3,3:30,1,10,JAX 29,13,6,C.J. Stroud pass complete short right to Nico Collins for 13 yards,3.640,4.510
3,2:47,1,10,JAX 16,13,6,C.J. Stroud scrambles right end for 3 yards (tackle by Travon Walker and DaVon Hamilton),4.510,4.390
3,2:05,2,7,JAX 13,13,6,C.J. Stroud pass incomplete short middle intended for Dalton Schultz (defended by Devin Lloyd),4.390,3.540
3,1:59,3,7,JAX 13,13,6,C.J. Stroud pass complete short left to John Metchie for 3 yards (tackle by Montaric Brown),3.540,2.840
3,1:20,4,4,JAX 10,16,6,Ka'imi Fairbairn 28 yard field goal good,2.840,3.000
3,1:16,,,HOU 35,16,6,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
3,1:16,1,10,JAX 30,16,6,Travis Etienne right end for 9 yards (tackle by Devin White),0.940,1.610
3,0:42,2,1,JAX 39,16,6,Travis Etienne up the middle for 5 yards (tackle by Eric Murray),1.610,1.860
3,0:06,1,10,JAX 44,16,6,Mac Jones pass complete short left to Brenton Strange for 14 yards (tackle by Neville Hewitt),1.860,2.790
4,15:00,1,10,HOU 42,16,6,Mac Jones pass incomplete deep middle intended for Parker Washington JAX challenged the pass completion ruling and the play was upheld.,2.790,2.240
4,14:50,2,10,HOU 42,16,6,Mac Jones scrambles up the middle for 5 yards (tackle by Neville Hewitt),2.240,2.210
4,14:08,3,5,HOU 37,16,6,Mac Jones pass incomplete deep left intended for Brian Thomas,2.210,0.790
4,14:02,4,5,HOU 37,16,6,Cam Little 55 yard field goal no good,0.790,-1.930
4,13:57,1,10,HOU 45,16,6,C.J. Stroud pass complete deep right to Tank Dell for 23 yards (tackle by Ronald Darby),1.930,3.450
4,13:10,1,10,JAX 32,16,6,Joe Mixon left end for 10 yards (tackle by Darnell Savage),3.450,4.110
4,12:29,1,10,JAX 22,16,6,C.J. Stroud pass incomplete short middle intended for Nico Collins (defended by Montaric Brown),4.110,3.560
4,12:24,2,10,JAX 22,16,6,C.J. Stroud pass incomplete deep right intended for Robert Woods,3.560,2.870
4,12:18,3,10,JAX 22,22,6,C.J. Stroud pass complete short right to Dalton Schultz for 22 yards touchdown,2.870,7.000
4,12:11,,,JAX 15,23,6,Ka'imi Fairbairn kicks extra point good,0.000,0.000
4,12:11,,,HOU 35,23,6,Ka'imi Fairbairn kicks off 57 yards returned by Tim Jones for 20 yards (tackle by Cade Stover),0.000,0.810
4,12:04,1,10,JAX 28,23,6,Mac Jones pass incomplete deep middle intended for Brian Thomas,0.810,0.260
4,11:58,2,10,JAX 28,23,6,Mac Jones pass complete short middle to Evan Engram for 16 yards (tackle by Eric Murray),0.260,1.860
4,11:29,1,10,JAX 44,23,6,Mac Jones pass incomplete short right intended for Parker Washington,1.860,1.320
4,11:24,2,10,JAX 44,23,6,Tank Bigsby up the middle for 19 yards (tackle by Denico Autry),1.320,3.120
4,10:58,1,10,HOU 37,23,6,Mac Jones pass complete short right to Evan Engram for 3 yards (tackle by Neville Hewitt),3.120,2.980
4,10:29,2,7,HOU 34,23,6,Mac Jones pass complete short right to Evan Engram for 4 yards (tackle by Eric Murray and Neville Hewitt),2.980,2.810
4,10:07,3,3,HOU 30,23,6,Mac Jones scrambles up the middle for 1 yard (tackle by Kamari Lassiter),2.810,1.600
4,9:37,4,2,HOU 29,23,6,Mac Jones pass complete short middle to Devin Duvernay for 5 yards (tackle by Jimmie Ward),1.600,3.970
4,9:11,1,10,HOU 24,23,6,Travis Etienne up the middle for 7 yards (tackle by Jimmie Ward),3.970,4.460
4,8:42,2,3,HOU 17,23,6,Mac Jones pass incomplete deep left intended for Brenton Strange,4.460,3.750
4,8:38,3,3,HOU 17,23,6,Travis Etienne right end for -5 yards (tackle by Kamari Lassiter),3.750,1.990
4,7:56,4,8,HOU 22,23,12,Mac Jones pass complete deep right to Parker Washington for 22 yards touchdown. Penalty on Kamari Lassiter: Defensive Pass Interference 15 yards (declined),1.990,7.000
4,7:49,,,HOU 2,23,12,Two Point Attempt: Mac Jones pass incomplete intended for intended for Evan Engram,1.000,-1.000
4,7:49,,,JAX 35,23,12,Cam Little kicks off 65 yards touchback.,0.000,0.940
4,7:49,1,10,HOU 30,23,12,C.J. Stroud pass incomplete short left intended for Nico Collins,0.940,0.390
4,7:45,2,10,HOU 30,23,12,Joe Mixon left tackle for no gain (tackle by Arik Armstead),0.390,-0.300
4,6:57,3,10,HOU 30,23,12,C.J. Stroud pass complete short right to Nico Collins for 9 yards (tackle by Darnell Savage),-0.300,-0.780
4,6:12,4,1,HOU 39,23,12,Penalty on M.J. Stewart: False Start 4 yards (accepted) (no play),-0.780,-1.040
4,6:12,4,5,HOU 35,23,12,Tommy Townsend punts 54 yards returned by Devin Duvernay for 5 yards (tackle by Neville Hewitt),-1.040,0.140
4,5:57,1,10,JAX 16,23,12,Mac Jones pass complete deep right to Parker Washington for 21 yards (tackle by Henry To'oTo'o),-0.140,1.400
4,5:26,1,10,JAX 37,23,12,Mac Jones pass incomplete short right intended for Evan Engram (defended by Mario Edwards),1.400,0.860
4,5:22,2,10,JAX 37,23,12,Mac Jones pass complete short middle to Travis Etienne for 5 yards (tackle by Henry To'oTo'o and Kamari Lassiter),0.860,0.830
4,4:49,3,5,JAX 42,23,12,Mac Jones pass complete short right to Evan Engram for 8 yards (tackle by Henry To'oTo'o),0.830,2.260
4,4:44,1,10,HOU 50,23,12,Mac Jones pass complete short right to Parker Washington for 15 yards,2.260,3.250
4,4:38,1,10,HOU 35,23,12,Mac Jones pass complete short left to Evan Engram for 1 yard (tackle by Henry To'oTo'o),3.250,2.840
4,4:15,2,9,HOU 34,23,12,Mac Jones pass complete short left to Brian Thomas for 10 yards (tackle by Derek Stingley),2.840,3.970
4,3:50,1,10,HOU 24,23,12,Mac Jones pass incomplete deep left intended for Brian Thomas (defended by Derek Stingley),3.970,3.430
4,3:42,2,10,HOU 24,23,12,Mac Jones pass complete short right to Devin Duvernay for 18 yards (tackle by Neville Hewitt),3.430,5.830
4,3:35,,,,,,Timeout #1 by Houston Texans,,
4,3:35,1,6,HOU 6,23,18,Mac Jones pass complete short middle to Brian Thomas for 6 yards touchdown,5.830,7.000
4,3:31,,,HOU 2,23,20,Two Point Attempt: Mac Jones pass complete to to Parker Washington for no gain,1.000,1.000
4,3:31,,,JAX 35,23,20,Cam Little kicks off 65 yards touchback.,0.000,0.940
4,3:31,1,10,HOU 30,23,20,Joe Mixon left end for no gain (tackle by Josh Hines-Allen),0.940,0.390
4,2:46,2,10,HOU 30,23,20,Joe Mixon left end for 14 yards (tackle by Andre Cisco),0.390,1.860
4,2:35,,,,,,Timeout #2 by Jacksonville Jaguars,,
4,2:35,1,10,HOU 44,23,20,Joe Mixon left end for 2 yards (tackle by DaVon Hamilton and Devin Lloyd),1.860,1.590
4,2:31,,,,,,Timeout #3 by Jacksonville Jaguars,,
4,2:31,2,8,HOU 46,23,20,Joe Mixon left end for 4 yards (tackle by Ventrell Miller and Maason Smith),1.590,1.420
4,2:00,3,4,HOU 50,23,20,Joe Mixon left end for 8 yards (tackle by Ventrell Miller),1.420,2.790
4,1:16,1,10,JAX 42,23,20,C.J. Stroud kneels for no gain,2.790,2.240
4,0:39,2,10,JAX 42,23,20,C.J. Stroud kneels for -1 yards,2.240,1.420
